t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.000000000000028225269030952377,80.00000000000537,0,0,5.668744920242622,5.66874492605396,453.4995936194402
1,0,0,50.00000000000001,0,0,-0.248475304785388,79.98459205163091,0,0,5.7123447464252255,5.7123447553201325,456.8995642010987
2,0,0,49.98509148171289,0,0,-0.4943346199998496,79.96906859849935,0,0,5.759370770325339,5.759370783096548,460.5715162163391
3,0,0,49.95543140451289,0,0,-0.737372373780306,79.9534204009553,0,0,5.821649742915116,5.821649748017511,465.46080932240557
4,0,0,49.91118906208608,0,0,-0.9766733892053774,79.93760610345575,0,0,5.862550336842009,5.86255033706866,468.63823958815834
5,0,0,49.852588658733765,0,0,-1.2135203689948366,79.92168386202154,0,0,5.972489000278092,5.972488993896945,477.3313777496267
6,0,0,49.779777436594074,0,0,-1.4437710289781327,79.90546629675414,0,0,5.969268833256104,5.969268825368585,476.9772095720105
7,0,0,49.69315117485539,0,0,-1.6742148989827492,79.88926076363977,0,0,5.976440819592004,5.976440814902315,477.4534390748466
8,0,0,49.59269828091643,0,0,-1.9042284498072135,79.87303905236445,0,0,6.035678675049939,6.035678681138362,482.0879985197871
9,0,0,49.478444573927995,0,0,-2.1306877293042032,79.85665989614698,0,0,6.121670094662705,6.121670100187576,488.8561267458935
10,0,0,49.350603310169745,0,0,-2.351987523624428,79.84005081399975,0,0,6.226990309591742,6.2269903129940944,497.16322273608876
11,0,0,49.20948405875229,0,0,-2.5669681050489124,79.82315952517786,0,0,6.348465974099031,6.34846597587075,506.75461219067057
12,0,0,49.05546597244935,0,0,-2.774660146602961,79.80594240118619,0,0,6.485736596778115,6.485736597466493,517.6003212717395
13,0,0,48.888986363653174,0,0,-2.974115950796265,79.78835683232987,0,0,6.639589712299948,6.639589712270984,529.7619531852547
14,0,0,48.710539406605406,0,0,-3.164340568058261,79.77035811677682,0,0,6.8115066055550395,6.811506605037816,543.3563212399164
15,0,0,48.52067897252191,0,0,-3.344250171724953,79.75189758512141,0,0,7.003652855787348,7.0036528549287205,558.5546052764957
16,0,0,48.320023962218414,0,0,-3.5126310003777066,79.73292075369746,0,0,7.218504270724582,7.218504269625318,575.5524289779097
17,0,0,48.10926610219576,0,0,-3.668120744134227,79.71336649445169,0,0,7.457720450403487,7.4577204491388835,594.4800034761805
18,0,0,47.889178857547705,0,0,-3.809257517110015,79.69316925737022,0,0,7.720212959049972,7.720212957679373,615.2482380485123
19,0,0,47.6606234065211,0,0,-3.9346447395670148,79.672266520455,0,0,7.999929412015741,7.999929410585739,637.372508258945
20,0,0,47.42454472214708,0,0,-4.043248974846069,79.65061222593731,0,0,8.284740125152164,8.28474012369872,659.8846231011584
21,0,0,47.18194978365632,0,0,-4.134764567336938,79.6281932062089,0,0,8.558182060780894,8.558182059332925,681.4725746297721
22,0,0,46.9338639096161,0,0,-4.209873643690083,79.60504086170997,0,0,8.804435093912577,8.80443509249453,700.8774154151839
23,0,0,46.6812714909947,0,0,-4.270207538055328,79.58122935690173,0,0,9.01388610696731,9.013886105598145,717.3361376755556
24,0,0,46.42505903871139,0,0,-4.31797437163729,79.55685877263399,0,0,9.185095430808454,9.185095429499084,730.737340001994
25,0,0,46.16598057641315,0,0,-4.3554686457887835,79.53203297174646,0,0,9.322381787769954,9.322381786522394,741.4279757201288
26,0,0,45.904652457665826,0,0,-4.384725738522587,79.50684402989108,0,0,9.432145610260731,9.432145609069732,749.9201299022218
27,0,0,45.641568913354476,0,0,-4.4073970019069435,79.48136662690256,0,0,9.520416873765475,9.520416872621624,756.6957439847032
28,0,0,45.37712509324006,0,0,-4.424771989481015,79.45565907121826,0,0,9.591954738014635,9.591954736907429,762.1350854902475
29,0,0,45.111638773871206,0,0,-4.437854705200139,79.42976675387125,0,0,9.65023151700296,9.650231515923052,766.5156385164022
30,0,0,44.845367491559195,0,0,-4.447440814179962,79.40372564004096,0,0,9.697644439573509,9.697644438513905,770.0290984345637
31,0,0,44.578521042708395,0,0,-4.454182147805552,79.37756518323398,0,0,9.735734812408815,9.735734811365278,772.798924678661
32,0,0,44.31127011384007,0,0,-4.458638059061025,79.35131064318038,0,0,9.765478643730551,9.765478642701416,774.9035294380068
33,0,0,44.04375183029641,0,0,-4.461309340437193,79.3249846160314,0,0,9.787668694135037,9.787668693120686,776.406668589074
34,0,0,43.776073269870174,0,0,-4.462649218789092,79.29860753223588,0,0,9.803286372408254,9.803286371410199,777.3869585717184
35,0,0,43.50831431674283,0,0,-4.463052036444598,79.27219715177758,0,0,9.81374432616225,9.813744325181986,777.9570750206725
36,0,0,43.24053119455616,0,0,-4.462827376874864,79.2457674072926,0,0,9.820938965942984,9.820938964980837,778.2678450163345
37,0,0,42.97276155194367,0,0,-4.462171038918286,79.21932710816651,0,0,9.827114922948041,9.827114922002272,778.4974316105654
38,0,0,42.70503128960858,0,0,-4.4611441435414045,79.1928790120085,0,0,9.834587850561425,9.83458784962793,778.8293257824797
39,0,0,42.4373626409961,0,0,-4.459668872507721,79.16641964368344,0,0,9.845397563458267,9.845397562531346,779.4248750676356
40,0,0,42.16978250864563,0,0,-4.457545018700226,79.13994004747165,0,0,9.860973921550716,9.860973920624886,780.3968849612052
41,0,0,41.90232980752362,0,0,-4.454486583407184,79.11342743593994,0,0,9.881893353237224,9.881893352309506,781.7904527310303
42,0,0,41.63506061251918,0,0,-4.450172982212952,79.0868674898354,0,0,9.907782435329295,9.907782434400021,783.5754765810067
43,0,0,41.368050233586416,0,0,-4.444306036093196,79.06024691241424,0,0,9.937369916316504,9.937369915388096,785.6509192439801
44,0,0,41.10139187142082,0,0,-4.436663841114208,79.03355583895019,0,0,9.968633526209787,9.968633525283707,787.8565544317322
45,0,0,40.83519204095398,0,0,-4.4271458295416215,79.00678984722455,0,0,9.998980908745686,9.998980907819599,789.9873833436808
46,0,0,40.56956329118148,0,0,-4.415806975016882,78.97995147830265,0,0,10.02546620469266,10.025466203759471,791.8108343939894
47,0,0,40.30461487268047,0,0,-4.402879002735324,78.95305117308875,0,0,10.045240872104424,10.04524087115413,793.1024166212633
48,0,0,40.04044213251635,0,0,-4.388764550409061,78.92610699781376,0,0,10.05648589516124,10.056485894185156,793.719281783501
49,0,0,39.777116259491805,0,0,-4.373975396699388,78.89914187084716,0,0,10.05917742142625,10.059177420420145,793.6604664771322
50,0,0,39.51467773568985,0,0,-4.359024751413815,78.87217874325366,0,0,10.054473951884306,10.054473950849053,793.018266702407
51,0,0,39.253136250605024,0,0,-4.344356314300758,78.84523743104164,0,0,10.043291364125453,10.043291363065983,791.8656921936015
52,0,0,38.99247487174698,0,0,-4.330358832453233,78.81833527028186,0,0,10.025725539058326,10.025725537982558,790.2109968653266
53,0,0,38.73265334179978,0,0,-4.317415300109735,78.79148931670024,0,0,10.00151263108872,10.001512630006463,788.0340756232694
54,0,0,38.473608423793195,0,0,-4.305924542244412,78.76471730896911,0,0,9.970687505603639,9.970687504525339,785.338382754941
55,0,0,38.21525295125854,0,0,-4.296283291908195,78.73803686847117,0,0,9.933941425074371,9.933941424010008,782.1790461767389
56,0,0,37.95747595374405,0,0,-4.288846806403734,78.71146374408768,0,0,9.892658423872433,9.892658422830657,778.6656248632786
57,0,0,37.700145145359826,0,0,-4.283887300971389,78.6850099633121,0,0,9.848755333325727,9.84875533231315,774.949411528958
58,0,0,37.44311190730154,0,0,-4.281561980971846,78.6586824146447,0,0,9.804435117570163,9.804435116591069,771.2039481679411
59,0,0,37.186218188443235,0,0,-4.281895873917637,78.63248209180566,0,0,9.761928907155331,9.76192890621137,767.6046999733716
60,0,0,36.92930443600818,0,0,-4.284780139488318,78.60640402838052,0,0,9.723284175004679,9.723284174094585,764.3124043431764
61,0,0,36.67221762763888,0,0,-4.289983088988039,78.58043779804878,0,0,9.690237192579064,9.690237191698072,761.4630809597979
62,0,0,36.41481864229961,0,0,-4.297168857433296,78.55456835416936,0,0,9.664176324095079,9.664176323234328,759.1651996378721
63,0,0,36.1569885108536,0,0,-4.305918277987592,78.52877696557394,0,0,9.646160272603835,9.646160271750755,757.5011686214865
64,0,0,35.89863341417435,0,0,-4.315748661631363,78.50304210181936,0,0,9.6369206493644,9.636920648505424,756.5275874689459
65,0,0,35.63968849447647,0,0,-4.3261334226695,78.4773403098569,0,0,9.636789584101372,9.636789583227358,756.2696156860077
66,0,0,35.3801204891163,0,0,-4.336526047623418,78.45164728200888,0,0,9.645579777256367,9.645579776367711,756.7116225157943
67,0,0,35.1199289262589,0,0,-4.346391260988037,78.42593924153738,0,0,9.66254536157857,9.662545360685383,757.7941954457597
68,0,0,34.85914545059961,0,0,-4.355238539293324,78.40019442984101,0,0,9.686497198228116,9.686497197344256,759.4232636851945
69,0,0,34.59783113824202,0,0,-4.362648707399638,78.37439428372741,0,0,9.715945940452796,9.715945939588078,761.4813779764282
70,0,0,34.33607221579804,0,0,-4.368291950972472,78.34852422953641,0,0,9.749098653346458,9.749098652502118,763.8274920578557
71,0,0,34.0739746987397,0,0,-4.371946031771685,78.32257448466531,0,0,9.783721438414513,9.783721437583095,766.2862510974376
72,0,0,33.81165793683339,0,0,-4.373522745466815,78.29654122293347,0,0,9.817101057595634,9.817101056764153,768.6450576457403
73,0,0,33.54924657210539,0,0,-4.373096682011078,78.27042783960114,0,0,9.846393056019485,9.846393055173719,770.6813971715228
74,0,0,33.28686077118472,0,0,-4.37091309864991,78.24424528819253,0,0,9.86938808888328,9.8693880880116,772.222822470949
75,0,0,33.02460598526573,0,0,-4.367349813316915,78.21801037980657,0,0,9.885222620921892,9.885222620017371,773.2024455699673
76,0,0,32.762564996466715,0,0,-4.362836456061602,78.1917421975198,0,0,9.894373469646306,9.894373468706776,773.6582995445634
77,0,0,32.50079480910303,0,0,-4.357774047882825,78.16545853248881,0,0,9.897890070085163,9.897890069112176,773.6731158323746
78,0,0,32.23932836623005,0,0,-4.3525006436777165,78.1391743656711,0,0,9.896582603032764,9.896582602030557,773.3107936426443
79,0,0,31.978178327609392,0,0,-4.347305687495752,78.11290250752116,0,0,9.890760086657176,9.890760085631818,772.5959783743335
80,0,0,31.71733998635965,0,0,-4.342460082296323,78.08665493135167,0,0,9.880448437955062,9.880448436913897,771.5311677416096
81,0,0,31.45679238142187,0,0,-4.33823317601902,78.06044352564105,0,0,9.865718458287972,9.865718457239,770.1223585530628
