group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_1,0.042720,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_2,0.041792,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_3,0.043116,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_4,0.044355,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_5,0.043775,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_6,0.043406,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_7,0.051130,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_8,0.052628,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_9,0.044150,,
cgl_direct_limited_descent_ultra_short,cgl_direct_limited_descent_ultra_short_10,0.042311,,
cgl_direct_limited_descent_ultra_short,set_1_avg,,0.044938,0.001189
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_1,0.054187,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_2,0.052672,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_3,0.052850,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_4,0.053285,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_5,0.053019,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_6,0.053484,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_7,0.053574,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_8,0.052634,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_9,0.052688,,
zoh_direct_limited_descent_ultra_short,zoh_direct_limited_descent_ultra_short_10,0.052477,,
zoh_direct_limited_descent_ultra_short,set_1_avg,,0.053087,0.000170
