t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000014,0,0,0.000000000000016383848471558317,80.00000000000388,0,0,5.820251154247033,5.820251150260982,465.6200923397852
1,0,0,50.000000000000014,0,0,-0.53861609417662,79.96441005252115,0,0,5.91008840646993,5.91008839904546,472.59673278161273
2,0,0,49.92728682728617,0,0,-1.0651041593031676,79.92828696545862,0,0,6.058633028833386,6.058633031106425,484.2561593470006
3,0,0,49.78349776578025,0,0,-1.57153870041065,79.89127289638404,0,0,6.182265765431621,6.182265765155153,493.9090813840702
4,0,0,49.5713400412248,0,0,-2.0612828220773727,79.85352118563779,0,0,6.368031144498076,6.368031143094071,508.50970990797833
5,0,0,49.293066860244366,0,0,-2.5259486175701253,79.81465375863407,0,0,6.695293509541691,6.695293506697255,534.3825332765
6,0,0,48.952063796872395,0,0,-2.946433993781992,79.77380927939593,0,0,7.11266135159906,7.1126613478953775,567.4040901313939
7,0,0,48.554295207711824,0,0,-3.3105747113161157,79.7304415541786,0,0,7.558422160271443,7.55842215613234,602.6363362913306
8,0,0,48.10736762168415,0,0,-3.6145377196794684,79.68438174917647,0,0,8.0189446527636,8.018944648378648,638.9846469363321
9,0,0,47.61940502952743,0,0,-3.856330191556381,79.63554468375875,0,0,8.498122369519503,8.498122364979038,676.7526036859202
10,0,0,47.098800453667316,0,0,-4.033433671671247,79.58382199212296,0,0,8.932312113549541,8.932312108957966,710.8675372228103
11,0,0,46.554286907991695,0,0,-4.15192153634206,79.52949287386022,0,0,9.244727940607216,9.24472793604765,735.228524873298
12,0,0,45.99377750058553,0,0,-4.228233264360086,79.47330260153862,0,0,9.447893452610469,9.447893448089493,750.8552953064072
13,0,0,45.4229660098969,0,0,-4.277117648257673,79.41591848970577,0,0,9.58776831613924,9.587768311619678,761.4214270926974
14,0,0,44.845555127382134,0,0,-4.3071189255788775,79.35772717241467,0,0,9.690515670700007,9.690515666155477,769.0172987554201
15,0,0,44.264094072428975,0,0,-4.323249310034377,79.29895557458282,0,0,9.761597582760173,9.76159757818966,774.084493052254
16,0,0,43.680455415574336,0,0,-4.329783636361755,79.23979688077168,0,0,9.803370728360282,9.803370723776778,776.8171052621714
17,0,0,43.095934624665496,0,0,-4.330678588033119,79.18042944437946,0,0,9.833603489604345,9.833603485022234,778.6289472926204
18,0,0,42.51129301528103,0,0,-4.327492116936533,79.12092360861294,0,0,9.877983822286069,9.877983817727118,781.5552034102105
