t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000007,50,0.000000000000003630707587028492,0.000000000000009306074785710042,0.0000000000000032738113089264763,80.00000000001248,-1.434660991173193,-2.8693219543040005,12.081250654033974,12.499917037496914,999.9932095855534
1,9.996041941347384,19.992083882691784,50.00574001279622,-0.10170159694385411,-0.20340319382355387,0.1206741332333062,79.95986495612158,-1.1169480388788628,-2.2338960812454136,9.405565635872374,9.731529529032398,778.1312223951977
2,9.98589929735903,19.97179859475855,50.008378711936906,-0.1621689595571462,-0.3243379190495695,-0.10587874654395264,79.9360117548668,-0.5993329993975801,-1.1986659975150284,5.047141704191122,5.222027229153898,417.42857505656707
3,9.972128620249595,19.944257240511206,49.986387764788425,-0.20483397900048192,-0.40966795801779265,-0.4823636139594153,79.9191862964357,-0.5714629966097642,-1.142925993849106,4.812102536063842,4.978878790307586,397.9075129540952
4,9.95514483273754,19.91028966550491,49.93627277761427,-0.24812108045583164,-0.49624216084630274,-0.8535740323432,79.9021175706444,-0.5765942461667927,-1.153188491416342,4.855769889653761,5.024013032151772,401.43006638967626
5,9.934920451486644,19.869840903000068,49.8582661664398,-0.29114794209987305,-0.582295884193459,-1.2270171662354568,79.88515684091763,-0.5729009138283288,-1.1458018290898653,4.823801252428835,4.991023064374288,398.70725644524003
6,9.911469855797183,19.822939711616733,49.75224423518341,-0.3342424140504584,-0.6684848281053396,-1.59987139549918,79.86817222806835,-0.575931987710349,-1.151863974405877,4.8505242603483705,5.01855433628331,400.82424406076393
7,9.884782183790195,19.769564367622905,49.61830267707434,-0.3774133418630328,-0.7548266836891073,-1.9720437219645446,79.85115947526704,-0.5748451299232874,-1.1496902603501966,4.840649293679087,5.008407449164619,399.92694285230385
8,9.854860405355426,19.709720810734346,49.45641358517139,-0.4204966654889748,-0.8409933310223346,-2.345043052885642,79.83418867313237,-0.5745115621473031,-1.1490231252316392,4.837107829174008,5.0048119968736655,399.55340403716707
9,9.8217062846595,19.64341256933353,49.266559381843294,-0.46362700512575006,-0.9272540102862911,-2.7175971897676803,79.81720085372999,-0.5755571208929784,-1.151114240739379,4.847597529298916,5.015508214405717,400.3254907596654
