t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50,-0.0000000000000000004799494685720119,-0.0000000000000000016127670670204343,-0.0000000000000000003925471201988198,80.00000000000004,-0.700763102928348,-1.4015262058573486,5.901087380639075,6.105585712761407,488.4468570876857
1,10.000000000000002,20.000000000000004,50,-0.35038155146417393,-0.7007631029286742,-1.9544563096804626,79.86181196171444,-0.5748627651832483,-1.149725530366456,4.840887716785876,5.008645512316671,399.9995061867673
2,9.824809224267915,19.649618448535666,49.022771845159774,-0.6378129340557982,-1.2756258681119022,-4.439012451287525,79.74862927027189,-0.5756752819446325,-1.1513505638885995,4.847730153104732,5.015725049367042,399.9971976241534
3,9.505902757240015,19.011805514479715,46.80326561951602,-0.9256505750281143,-1.8513011500562018,-6.9201473747351585,79.6354473454819,-0.5400391513497677,-1.0800783026995018,4.875476765064044,5.022796540833802,399.9926496212741
4,9.043077469725958,18.086154939451614,43.34319193214843,-1.195670150702998,-2.3913403014059527,-9.387408992203136,79.52226682087438,-0.44048352019706,-0.8809670403940688,4.932488268238099,5.029867708507433,399.98648206114103
5,8.445242394374459,16.890484788748637,38.64948743604686,-1.4159119108015281,-2.8318238216029874,-11.826164858084088,79.40908815467066,-0.507585098206128,-1.0151701964121806,7.431901384888096,7.518069654373421,597.0030560759659
6,7.737286438973695,15.474572877947143,32.73640500700482,-1.6697044599045923,-3.339408919809078,-13.01521416564004,79.24022190237825,-0.5989702367378581,-1.197940473475542,12.547669741941323,12.618947763139117,999.9282210088181
7,6.902434209021399,13.804868418042606,26.228797924184793,-1.9691895782735211,-3.9383791565468487,-11.64637929466938,78.95758969645814,-0.34886911041412727,-0.697738220828249,12.640062084122805,12.664111406966308,999.92771247687
8,5.917839419884638,11.83567883976918,20.405608276850106,-2.143624133480585,-4.287248266960972,-10.231348252607978,78.6749594404179,-0.10020276506974335,-0.20040553013945475,12.707622972121762,12.709598125857744,999.9271172150445
9,4.846027353144346,9.692054706288694,15.289934150546117,-2.1937255160154567,-4.387451032030701,-8.782536766547096,78.39233117166606,0.14567858660402577,0.2913571732080658,12.751252168463218,12.755412304776089,999.9265057865719
10,3.7491645951366177,7.498329190273345,10.898665767272568,-2.1208862227134437,-4.241772445426667,-7.311910682315489,78.10970490784283,0.3875307264077969,0.7750614528155771,12.772195541131545,12.801557688161783,999.9258934352645
11,2.688721483779896,5.37744296756001,7.242710426114824,-1.9271208595095453,-3.854241719018879,-5.8308129117497165,77.8270806624052,0.6242907999050994,1.2485815998099936,12.771976313322224,12.848037748591722,999.9252701316689
12,1.7251610540251232,3.450322108050571,4.327303970239965,-1.6149754595569956,-3.229950919113882,-4.349824755088605,77.5444584518063,0.8550445121708263,1.710089024341114,12.752325591227793,12.894856091532683,999.9246322884868
13,0.9176733242466256,1.8353466484936298,2.1523915926956625,-1.1874532034715823,-2.374906406943325,-2.8786619594747087,77.26183829368486,1.0791195168998269,2.1582390337987807,12.715081467116185,12.942016506860583,999.9239868765487
14,0.32394672251083445,0.6478934450219672,0.7130606129583082,-0.6478934450216689,-1.2957868900439347,-1.4261212259166167,76.97922020399126,1.2957868900433378,2.5915737800878693,12.662242451833233,12.989522780630345,999.9233349565312
15,0.00000000000000000004275166356004118,0.00000000000000000030061680251237844,0.0000000000000000029238177944241214,-0.00000000000000000018576530202120465,-0.000000000000000001413729718042588,-0.000000000000000011268662561149271,76.69660419828536,0,0,0,0,0
