run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_descent_very_short_1,coarse,16,1,137,0.230851,0.290734,Solved,7.560000
zoh_offset_descent_very_short_1,fine,1,1,15,0.203655,0.209711,Solved,7.560000
zoh_offset_descent_very_short_1,total,17,2,152,0.434506,0.504858,Solved,7.560000
zoh_offset_descent_very_short_2,coarse,16,1,137,0.226565,0.276302,Solved,7.560000
zoh_offset_descent_very_short_2,fine,1,1,15,0.203106,0.209177,Solved,7.560000
zoh_offset_descent_very_short_2,total,17,2,152,0.429671,0.489854,Solved,7.560000
zoh_offset_descent_very_short_3,coarse,16,1,137,0.223495,0.273712,Solved,7.560000
zoh_offset_descent_very_short_3,fine,1,1,15,0.211737,0.218666,Solved,7.560000
zoh_offset_descent_very_short_3,total,17,2,152,0.435233,0.496325,Solved,7.560000
zoh_offset_descent_very_short_4,coarse,16,1,137,0.227997,0.283688,Solved,7.560000
zoh_offset_descent_very_short_4,fine,1,1,15,0.208226,0.215225,Solved,7.560000
zoh_offset_descent_very_short_4,total,17,2,152,0.436223,0.504592,Solved,7.560000
zoh_offset_descent_very_short_5,coarse,16,1,137,0.238722,0.298444,Solved,7.560000
zoh_offset_descent_very_short_5,fine,1,1,15,0.203682,0.210116,Solved,7.560000
zoh_offset_descent_very_short_5,total,17,2,152,0.442405,0.513682,Solved,7.560000
zoh_offset_descent_very_short_6,coarse,16,1,137,0.223874,0.277861,Solved,7.560000
zoh_offset_descent_very_short_6,fine,1,1,15,0.199904,0.205795,Solved,7.560000
zoh_offset_descent_very_short_6,total,17,2,152,0.423778,0.488147,Solved,7.560000
zoh_offset_descent_very_short_7,coarse,16,1,137,0.225522,0.277970,Solved,7.560000
zoh_offset_descent_very_short_7,fine,1,1,15,0.208376,0.214696,Solved,7.560000
zoh_offset_descent_very_short_7,total,17,2,152,0.433898,0.496858,Solved,7.560000
zoh_offset_descent_very_short_8,coarse,16,1,137,0.225262,0.281493,Solved,7.560000
zoh_offset_descent_very_short_8,fine,1,1,15,0.210347,0.216788,Solved,7.560000
zoh_offset_descent_very_short_8,total,17,2,152,0.435610,0.502157,Solved,7.560000
zoh_offset_descent_very_short_9,coarse,16,1,137,0.235629,0.301187,Solved,7.560000
zoh_offset_descent_very_short_9,fine,1,1,15,0.205331,0.213343,Solved,7.560000
zoh_offset_descent_very_short_9,total,17,2,152,0.440961,0.519652,Solved,7.560000
zoh_offset_descent_very_short_10,coarse,16,1,137,0.232337,0.289475,Solved,7.560000
zoh_offset_descent_very_short_10,fine,1,1,15,0.204452,0.211531,Solved,7.560000
zoh_offset_descent_very_short_10,total,17,2,152,0.436789,0.505281,Solved,7.560000
zoh_offset_descent_very_short_1,coarse,16,1,137,0.223439,0.272103,Solved,7.560000
zoh_offset_descent_very_short_1,fine,1,1,15,0.206599,0.212473,Solved,7.560000
zoh_offset_descent_very_short_1,total,17,2,152,0.430038,0.488738,Solved,7.560000
zoh_offset_descent_very_short_2,coarse,16,1,137,0.225387,0.277490,Solved,7.560000
zoh_offset_descent_very_short_2,fine,1,1,15,0.200244,0.206893,Solved,7.560000
zoh_offset_descent_very_short_2,total,17,2,152,0.425631,0.488537,Solved,7.560000
zoh_offset_descent_very_short_3,coarse,16,1,137,0.228459,0.281628,Solved,7.560000
zoh_offset_descent_very_short_3,fine,1,1,15,0.206487,0.213408,Solved,7.560000
zoh_offset_descent_very_short_3,total,17,2,152,0.434946,0.499839,Solved,7.560000
zoh_offset_descent_very_short_4,coarse,16,1,137,0.224637,0.273336,Solved,7.560000
zoh_offset_descent_very_short_4,fine,1,1,15,0.204374,0.210512,Solved,7.560000
zoh_offset_descent_very_short_4,total,17,2,152,0.429011,0.489042,Solved,7.560000
zoh_offset_descent_very_short_5,coarse,16,1,137,0.234163,0.287789,Solved,7.560000
zoh_offset_descent_very_short_5,fine,1,1,15,0.205992,0.211845,Solved,7.560000
zoh_offset_descent_very_short_5,total,17,2,152,0.440155,0.503527,Solved,7.560000
zoh_offset_descent_very_short_6,coarse,16,1,137,0.223082,0.272259,Solved,7.560000
zoh_offset_descent_very_short_6,fine,1,1,15,0.208829,0.215579,Solved,7.560000
zoh_offset_descent_very_short_6,total,17,2,152,0.431911,0.492356,Solved,7.560000
zoh_offset_descent_very_short_7,coarse,16,1,137,0.224781,0.274108,Solved,7.560000
zoh_offset_descent_very_short_7,fine,1,1,15,0.209223,0.215658,Solved,7.560000
zoh_offset_descent_very_short_7,total,17,2,152,0.434004,0.493783,Solved,7.560000
zoh_offset_descent_very_short_8,coarse,16,1,137,0.229922,0.281388,Solved,7.560000
zoh_offset_descent_very_short_8,fine,1,1,15,0.210997,0.217391,Solved,7.560000
zoh_offset_descent_very_short_8,total,17,2,152,0.440919,0.503749,Solved,7.560000
zoh_offset_descent_very_short_9,coarse,16,1,137,0.225272,0.275965,Solved,7.560000
zoh_offset_descent_very_short_9,fine,1,1,15,0.214991,0.222627,Solved,7.560000
zoh_offset_descent_very_short_9,total,17,2,152,0.440263,0.503103,Solved,7.560000
zoh_offset_descent_very_short_10,coarse,16,1,137,0.222462,0.272679,Solved,7.560000
zoh_offset_descent_very_short_10,fine,1,1,15,0.217574,0.223849,Solved,7.560000
zoh_offset_descent_very_short_10,total,17,2,152,0.440035,0.500918,Solved,7.560000
