t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.00000000000002,20.000000000000043,49.99999999999999,0.000000000000044768584503575857,0.00000000000010964748990029811,0.0000000000000005902877861418345,80.00000000001177,-0.41427210176384627,-0.8292543122004253,9.635389206769815,9.680043574788911,774.3901208236238
1,9.995900369331938,19.991800737712488,50.01939887594653,-0.06552564605228091,-0.13105121919777554,0.31378882063059876,79.92994377642917,-0.5196749797969548,-1.0393468047188104,12.334578000067932,12.389193703546079,990.2675486787283
2,9.984857716521288,19.969715430471012,50.05002795718789,-0.1037785120177046,-0.20755706225549914,0.0028246761358601013,79.88834313774724,-0.20979609247001438,-0.4195816611453098,5.080301515558693,5.101913940869135,407.5834578287624
3,9.970268778999968,19.940537557934885,50.01315153514347,-0.12951406655126957,-0.25902813058275537,-0.5938955147332478,79.85974830747361,-0.2032538770381122,-0.4064935909704554,5.02338477018825,5.043901222416589,402.8047152474409
4,9.95250526197872,19.905010527627912,49.901449281639145,-0.1546085628095065,-0.309217055368354,-1.1935027868293882,79.83129954531073,-0.19846100192352573,-0.39692687619646716,5.00791421681597,5.027538870064444,401.3549252073858
5,9.931639507015907,19.863279018979327,49.7147476605291,-0.1791569217880505,-0.3583137773486607,-1.7937116565426914,79.80289287159013,-0.19439905878760078,-0.3887919540761319,5.010974012121431,5.029792190627485,401.3919772464591
6,9.907738056799236,19.815476118392173,49.453014003965954,-0.2031795532037478,-0.4063591407283524,-2.394022130018747,79.77450546897784,-0.18997323844285005,-0.37995245795350946,5.004262306726853,5.022260492687926,400.6483032981718
7,9.880865799634718,19.761731605747737,49.11625695152335,-0.22668889611731552,-0.45337781719972486,-2.9941110698622633,79.74612257969964,-0.1862501274308069,-0.3724931681272192,5.016441397917711,5.033698777325742,401.41796913759646
8,9.851086708340656,19.70217342539019,48.704509566391536,-0.24968871085438987,-0.4993774389733907,-3.5938720552416545,79.71773928961157,-0.18236931180756308,-0.364731182360938,5.024633438754065,5.041153347265698,401.8693603098242
9,9.818464082528074,19.63692817576062,48.21782445691378,-0.27217991822725585,-0.544359878975941,-4.193270307916586,79.68935393740924,-0.177948933807655,-0.3558973811575835,5.01786432297838,5.0336162925163705,401.12561569509097
10,9.783060182041353,19.566120379271545,47.65628568112609,-0.2941800665424435,-0.5883601049641453,-4.791791504830651,79.66094316534746,-0.1646751605547397,-0.3293580403301938,4.755061336788313,4.7692984684502155,379.926773000192
11,9.744236555047332,19.488473126799708,47.04046320247183,-0.33091097583326123,-0.6618219016269434,-4.943074131343967,79.61232140693195,-0.33421762700182867,-0.6684284198130872,9.88825911166296,9.916459177974094,789.4723497689005
12,9.70027524176063,19.400550502717465,46.42342070668351,-0.3723137319985247,-0.7446274720685273,-4.9291537693936425,79.55627161498609,-0.32790696712118983,-0.6558207817663041,9.945501690803445,9.972494012585047,793.3744061562343
13,9.651197901788262,19.302395824611516,45.80826950723092,-0.4127591156064169,-0.8255182160340846,-4.9130467851339095,79.5001701902992,-0.31950742238247143,-0.6390072772146744,9.94092622378528,9.966565415796817,792.3436599009174
14,9.597127357602663,19.194254741449644,45.19519051947447,-0.4522065704919745,-0.904413057829973,-4.895946451091016,79.44407094751011,-0.31141208795020126,-0.6228269407566366,9.945136927696186,9.969485606838896,792.0165064496234
15,9.538187313526203,19.076374654804646,44.584341860772525,-0.4906658891049279,-0.981331782516083,-4.87752330709947,79.38795890305406,-0.30379022436752434,-0.6075870714564194,9.964938043522224,9.988065307635418,792.9320870518926
16,9.474502031167434,18.949004091550815,43.97586737805655,-0.5281305788433412,-1.0562611991672883,-4.857951900776317,79.3318418182813,-0.2958647942618502,-0.5917287545133213,9.975495923217636,9.997409682526204,793.1129134063739
17,9.40619636625862,18.812392764808678,43.36989418630093,-0.5645937142331686,-1.1291874390792553,-4.837443544663862,79.27572908237721,-0.28777227518414905,-0.5755385336890745,9.980485514234362,10.001207277921383,792.8530048836672
18,9.333395638004482,18.666791311905094,42.76653536905146,-0.6000519709278751,-1.2001039149907309,-4.816106090651322,79.219625402946,-0.27966818717518543,-0.5593294175680522,9.984915696453058,10.004479127131473,792.5510989081928
19,9.25622555818422,18.51245115574329,42.165890979107715,-0.6345028676172444,-1.2690056881044398,-4.794027559923142,79.16353458202032,-0.2715781292082084,-0.543149800436498,9.989715825330432,10.008155990782841,792.2810120580058
20,9.174812188978501,18.349624420460234,41.568048191798376,-0.6679439639821072,-1.3358878775859622,-4.771303687183579,79.10746075588715,-0.2634914482236546,-0.5269766517156323,9.99453502967773,10.011885960302966,792.0148840412465
21,9.089281900510748,18.17856384636537,40.97308147798396,-0.7003729702931776,-1.4007459021244455,-4.748035282936716,79.05140827544945,-0.25539890431254103,-0.5107912832646407,9.99900181815898,10.015296879820784,791.7233309499825
22,8.999761327498945,17.99952270287239,40.381052843194915,-0.7317878832687585,-1.4635757552246975,-4.724323612288541,78.99538149838828,-0.2472935413893565,-0.49458061561612027,10.002766134726807,10.018038363191508,791.378769386164
23,8.906377326594415,17.812754703660154,39.79201206657668,-0.7621870724215443,-1.5243741693664443,-4.700266620574369,78.93938462027691,-0.23916678869662336,-0.47832898107333727,10.005349920102232,10.01963202879024,790.9435880432395
24,8.809256936134082,17.61851392600026,39.20599689498055,-0.7915693459911028,-1.5831387371062424,-4.675955191636747,78.88342150799699,-0.23101215735089553,-0.4620242732205017,10.006315211388172,10.01963968632996,790.3834517271424
25,8.708527338251399,17.417054734379537,38.6230331769041,-0.8199339158782399,-1.6398678493414616,-4.651473587083532,78.82749572075109,-0.22283749697157068,-0.44568013536209056,10.00587684696315,10.018276481392279,789.7156273936727
26,8.604315821471427,17.20863170498964,38.04313501844116,-0.8472801694483634,-1.6945602849793744,-4.626909894076216,78.77161097784833,-0.21466985339377206,-0.42934535483838776,10.005252730593524,10.0167613209768,789.0364080305778
27,8.496749740593659,16.99349954582018,37.466305126562936,-0.8736074510557784,-1.7472148108117405,-4.6023681143060395,78.71577169755405,-0.20653074171580232,-0.41306064898999423,10.005494836825767,10.016147064977686,788.4287415280435
28,8.385956475166418,16.77191301586282,36.89253527649222,-0.8989153235279495,-1.797830620608882,-4.577955740663949,78.65998244070377,-0.1984016760736727,-0.39679716394432346,10.005535683616296,10.015365910126729,787.8085114060187
29,8.272063395225484,16.54412685828047,36.32180642792001,-0.9232041433608036,-1.846408334530292,-4.553750151006388,78.60424641331043,-0.19024711156972693,-0.3804933573171733,10.00322885856303,10.01227038928837,787.0069625831227
30,8.155197836895816,16.310395746266153,35.75408844308305,-0.9464748362615061,-1.8929496593274362,-4.529807771966334,78.54856587958953,-0.1820821154881052,-0.3641703136975495,9.999373864828941,10.007659865923467,786.0873130538135
31,8.035487068637927,16.07097421258925,35.18934044453006,-0.968727960470588,-1.9374558308610825,-4.506221987625457,78.49294474109104,-0.17395074200368224,-0.347901295768454,9.996683434320396,10.004247859637749,785.2628690136802
32,7.913058244870121,15.826116565281893,34.627511880343924,-0.9899640328709668,-1.9799280652726357,-4.483104906787672,78.43738772052271,-0.16583546512468667,-0.3316651198493689,9.99377951045507,10.000656551278931,784.4253777260894
33,7.788038377535946,15.57607683373665,34.06854242022068,-1.0101845953687363,-2.0203692311927797,-4.460510570913305,78.38189694875592,-0.15770473992741532,-0.3154128275021728,9.988244821092081,9.994468154625773,783.3853609896943
34,7.660554321527469,15.321108725657195,33.512361373246094,-1.0293913661472436,-2.0587826558630566,-4.43849460781798,78.32647462128472,-0.1495954113726327,-0.29919407134075376,9.982958550099807,9.98856145403055,782.3687949264023
35,7.530732734179524,15.061465550839216,32.95888906165397,-1.0475855719221576,-2.0951711211364086,-4.417170354335321,78.27112548654098,-0.14151551814499946,-0.2830251381237625,9.978387439686816,9.98340349462393,781.4122293989154
36,7.39870003922548,14.797400163132789,32.40803736225977,-1.0647692532322333,-2.129538555176383,-4.396593918811779,78.21585174453034,-0.1334322496517977,-0.26686710951661063,9.971289411048433,9.975752465998998,780.2619660234877
37,7.264582418578732,14.529164925473971,31.859708667183252,-1.080944766735978,-2.161889457457028,-4.376806714883241,78.16065493905181,-0.1253728754559629,-0.2507485878447392,9.96446613604464,9.968409145207673,779.1373784820261
38,7.128505779760148,14.257011647080553,31.313797504096964,-1.0961140443664312,-2.192228088193611,-4.357915893198908,78.10553951825918,-0.11734089415527015,-0.23467602473499613,9.958092695281467,9.961548664558778,778.0521330923863
39,6.990595723864847,13.981191537959084,30.77019100648774,-1.1102797539284195,-2.220559541305593,-4.339956849674675,78.05050674662026,-0.10931583598369854,-0.21863622818896403,9.949338037113787,9.952340524109347,776.7852103254044
40,6.850977540090448,13.701955172474248,30.228767946709162,-1.1234445914097275,-2.2468891019334793,-4.322978530421031,77.99555848440333,-0.10132201805666517,-0.20264350833908693,9.941713716120328,9.944295021575858,775.610838764827
41,6.709776175668101,13.419552442638409,29.68940093108848,-1.1356111452915056,-2.2712223382577466,-4.30707129229194,77.94069841534362,-0.09334925517877984,-0.1866949425455822,9.933302789146527,9.93549566705013,774.3794683954851
42,6.56711621614748,13.134232526946922,29.151955846476547,-1.146782554411063,-2.2935650885996757,-4.292242444296078,77.8859265507783,-0.08539645671706535,-0.17079861369703647,9.923558996926669,9.92539623911691,773.0486722003089
43,6.423121879540031,12.846243853054482,28.61629204684551,-1.1569617444685536,-2.313923449247079,-4.27856628954722,77.83124585580543,-0.07747442687610183,-0.15494379849779558,9.915200572421451,9.916713810960216,771.8301885456236
44,6.277916991407712,12.555834077290141,28.082264298822366,-1.166151895778845,-2.3323038534004255,-4.266083802159902,77.77665782027103,-0.06957314493658354,-0.13914861811771678,9.904768724779824,9.905990517671807,770.4548274661213
45,6.13162497799934,12.263250052290026,27.549721374343314,-1.174356282075508,-2.3487124922513627,-4.2548082134844085,77.72216270999515,-0.061700827384295706,-0.1234029245514877,9.895137222419875,9.89609910768042,769.1462186616163
46,5.984368859102863,11.968737812329428,27.018508175420305,-1.1815781656173776,-2.3631563791608174,-4.244813769138192,77.66776347456523,-0.05385396943288134,-0.1077036982559156,9.885184275818666,9.885917736584465,767.8171166012778
47,5.836271232796156,11.672542561920428,26.48846561412173,-1.1878209471465802,-2.3756418855590593,-4.23608836282866,77.61345926131989,-0.0460351860758424,-0.0920760740585727,9.8740882785506,9.874624985305982,766.4037960556018
48,5.687454277490675,11.374908649540464,25.95943068595138,-1.1930879946093942,-2.386175961503509,-4.228685641764248,77.55925210899497,-0.03824209778670595,-0.07647902063486048,9.864400081913036,9.864770728109214,765.1042357968314
49,5.538039745577893,11.076079585449017,25.43123847654982,-1.1973827674076352,-2.394765600723221,-4.222618467538566,77.50514226171173,-0.03047841015564091,-0.06095984062625441,9.852820160915,9.853055962623742,763.6624976313684
50,5.388148958998946,10.776298012616476,24.903720800734767,-1.2007086024107718,-2.4014171394130575,-4.217887019405921,77.45112940789397,-0.02274048653491284,-0.045481109105898504,9.842518114729277,9.842649539373868,762.3243174653587
51,5.237902819066561,10.475805729880141,24.37670859733061,-1.203069012214141,-2.4061380919188013,-4.214536117384046,77.3972151944543,-0.015029110917691546,-0.030055018007734986,9.831519338580947,9.8315768356817,760.9366625700308
52,5.0874217999706906,10.174843692865968,23.850031330820986,-1.2044672209873515,-2.4089344234233785,-4.212530659806414,77.34339776442773,-0.007348056055369797,-0.014701419874770302,9.820175186141704,9.820189013660496,759.526779288127
53,4.936825961224082,9.873652012195487,23.323517747577053,-1.2049066432215705,-2.409813284076405,-4.2119100841624375,77.28967852955357,0.00031375644191841673,0.0006331619898649901,9.80999000676805,9.809990111579713,758.2109759682922
54,4.786234955683944,9.572470000586348,22.796997295979537,-1.2043904789489521,-2.408781020579653,-4.2126499697193935,77.2360561056212,0.007941136197949014,0.015878168213935662,9.79818359578008,9.798199745097477,756.774300160747
55,4.6357680315798895,9.271536151185312,22.27029905924311,-1.202921787436163,-2.4058435173963346,-4.214742865189354,77.18252985493592,0.015551934417684576,0.031104875420026712,9.788094873654154,9.788156729172977,755.4746929685041
56,4.485544058280541,8.971088201309394,21.743254203648842,-1.200503814821952,-2.4010077085747774,-4.218200488648729,77.12909997991281,0.02313483248614218,0.04627220700089946,9.777033802078396,9.77717075504604,754.1043741045796
57,4.335681526119996,8.671363137239041,21.21569496908057,-1.1971391983585482,-2.394278380584193,-4.222969227253018,77.07576383144497,0.03069205937149224,0.06137890133255181,9.766228047953284,9.766469197860767,752.7580696676197
58,4.186298570960438,8.372597223096042,20.687455863817195,-1.192830980557206,-2.3856619613886707,-4.229068629480445,77.02252196000434,0.038237835287168384,0.07648132870799947,9.756526314160675,9.756901116902098,751.501122010884
59,4.037512993897078,8.07502606752744,20.15837463197161,-1.187581677707118,-2.375163431494644,-4.2364500723688545,76.96937194358057,0.04574852994810091,0.09149365464963677,9.745405137726111,9.745942043796514,750.1390341379052
60,3.889442267898094,7.778884614009833,19.628291346321983,-1.1813936535689384,-2.362787254651102,-4.245085247416106,76.91631225223713,0.05325283175897394,0.10650485777060076,9.7361226033109,9.736850817588705,748.9226525130299
61,3.742203577514555,7.484407229042094,19.097050615015355,-1.1742695243037102,-2.3485391106024722,-4.254969316082897,76.86334238285703,0.06073607898458749,0.12147689166953318,9.726339492086387,9.727287792046104,747.671842662957
62,3.595913826746899,7.191827726791665,18.564500792067925,-1.1662110124953797,-2.33242206045792,-4.266028664488687,76.81045884180355,0.06819352597103671,0.1363812721301194,9.716309220368785,9.71750561721239,746.4060638870188
63,3.450689664902754,6.901379399965494,18.030494527921295,-1.1572202542684769,-2.3144404651276242,-4.27825340916676,76.75766091620989,0.07565517090366497,0.15131295557864546,9.708158803480686,9.709632780684466,745.2886924316138
64,3.3066475249581155,6.613295116393831,17.49489022069411,-1.1472990723487584,-2.2945982290315565,-4.291602783361067,76.70494655390128,0.08308874265697361,0.16618034799600834,9.698830668825325,9.700610199826212,744.0847779858567
65,3.163903630388471,6.327807326322336,16.957550926168285,-1.1364485499318582,-2.2728971183853073,-4.3060030816207275,76.65231227781923,0.09050994277714464,0.18101388736725355,9.690148502922373,9.692261658136477,742.9342674404335
66,3.0225740337069125,6.045148129367248,16.418345569200934,-1.1246703305247423,-2.2493406216910325,-4.321440349388996,76.5997572134113,0.09794091142250826,0.19588486646651654,9.683101671581579,9.685578127187862,741.9129236319658
67,2.8827746516019483,5.765549361380336,15.87714969574244,-1.1119654666874947,-2.2239310135682033,-4.337857736875596,76.54727862860308,0.10534550133474893,0.2106946146814629,9.674912407496825,9.677779844162886,740.8076994643859
68,2.7446212765166025,5.4892426098776,15.33384463355694,-1.0983343456895946,-2.1966687363661848,-4.3551771177392675,76.49487287604369,0.11274159114510322,0.22547735785622797,9.667276886155296,9.670563212273914,739.7485045762609
69,2.608229616421582,5.216459286792116,14.788318489409113,-1.0837778492896988,-2.1675556506005815,-4.373370052603586,76.4425384700995,0.12015716564990608,0.24031384435549624,9.661534105834017,9.665269325533295,738.8377168286108
70,2.4737153339728413,4.947430717655811,14.24046687779655,-1.0682964720272488,-2.136592971542076,-4.392385782047928,76.39027296315612,0.12756067846497038,0.2551275636243399,9.655316289388214,9.659528888584745,737.8940330699054
71,2.341194064316549,4.682388175889937,13.690192365145059,-1.05188986465468,-2.103779823427164,-4.412138940352217,76.33807241651724,0.13494570205853262,0.2698908134329076,9.648581347759336,9.65329865766946,736.9142058344238
72,2.210781446653639,4.421562938812453,13.137404771637266,-1.0345577777558645,-2.069115577544763,-4.432570620084385,76.28593404504495,0.14234790403250563,0.2846894778317354,9.643394516929861,9.64864591420642,736.0559692190426
73,2.0825931669552036,4.165186376300393,12.582021969682815,-1.0163000949693373,-2.0326001432259724,-4.453638376071528,76.23385578195573,0.1497729421244263,0.2995447222609975,9.639604191337844,9.64542010628468,735.3075610462788
74,1.9567449897785862,3.9134900180811627,12.023969978542729,-0.9971161453687115,-1.994232278829293,-4.475277453111312,76.18183460222096,0.1571959441259927,0.3143975197490178,9.63566008847267,9.64206958457848,734.5505338498356
75,1.8333527853267013,3.666705605965817,11.463182836167237,-0.9770046865227396,-1.9540094347651524,-4.497407567383371,76.12986681783413,0.16460929153336132,0.3292240408530756,9.631285080778936,9.638316317454802,733.7637200603709
76,1.7125325633113997,3.4250651595435544,10.899602826708369,-0.9559643020613897,-1.9119286970957219,-4.519955299218157,76.07794904547478,0.1720290235246149,0.34405833625985077,9.627349538578768,9.63503147032142,733.013424673948
77,1.5944005106507488,3.188801052081657,10.333180840378372,-0.9339935009489054,-1.8679870762560322,-4.542856048518445,76.0260782898811,0.17947070694006412,0.35893692750071093,9.624483483752906,9.632846285138953,732.3475267300306
78,1.4790730275890511,2.9581460836559557,9.763876596620587,-0.9110905581958139,-1.822181154706666,-4.56604466925983,75.97425153918772,0.18693785061060736,0.3738691007121986,9.622655863737592,9.631730282402307,731.763505162331
79,1.3666667622488817,2.733333550467931,9.191658768440144,-0.8872534003181526,-1.774506810551165,-4.589450781495275,75.92246556302733,0.1944271147204624,0.3888474114256523,9.62155845689377,9.631375266746744,731.2377641987156
80,1.2572986457208812,2.5145973148595506,8.616505114967499,-0.862479606175625,-1.7249592091744095,-4.612999961413981,75.87071696425727,0.20193511156652572,0.40386360941320537,9.62093934980677,9.63152925151114,730.7510370775839
81,1.151085928518513,2.302171877955335,8.03840264819526,-0.8367664495867655,-1.6735328987253075,-4.63661623649137,75.81900228662876,0.20945990329903727,0.41891296300926134,9.6206381685958,9.632031885163592,730.2910556176631
82,1.0481462179193184,2.096292454278525,7.457347811695039,-0.8101109417493052,-1.6202219035587873,-4.660224082428667,75.76731810067332,0.21699974447904563,0.43399221329084847,9.620506659217988,9.632735033239578,729.846508448131
83,0.9485975155283815,1.8971950469563759,6.873346642183265,-0.782509877339126,-1.565019812506797,-4.68375038561339,75.71566108776341,0.22455608784826997,0.4491060851240677,9.620528766150509,9.633623101491121,729.4161472661692
84,0.8525582544914851,1.7051165221158116,6.286414884867028,-0.7539598060802808,-1.5079196986504149,-4.707123228362777,75.66402798750558,0.23215225934210987,0.4643040755458883,9.621585156778641,9.635578671329334,729.0666846197428
85,0.7601473377749852,1.5202946862237017,5.6965781347776,-0.724456555509327,-1.4489131528163277,-4.730252659834623,75.61241477275236,0.23985602596188302,0.4797192968038926,9.626307846737712,9.641238079448826,728.9972634605343
86,0.6714841900988822,1.3429683896769788,5.103872472218122,-0.6939944157700716,-1.38798878011149,-4.752999910169396,75.56081533246837,0.2476566233978274,0.49531578581869373,9.634091760892625,9.649994782540297,729.161459178474
87,0.586688819207096,1.1733776466472328,4.508345394951534,-0.6625694205392791,-1.325138866372363,-4.775307659353785,75.50922705823226,0.2551623964068802,0.5103166470247978,9.629742282065203,9.6466296833146,728.4095632397172
88,0.5058817607544898,1.0117635270420142,3.910052321790159,-0.6301839700679406,-1.2603679801071646,-4.797364927775601,75.4576578920134,0.26290312913702707,0.5258141358427196,9.633443942320882,9.651365160990178,728.2693764202487
89,0.4291946345509343,0.858389274279959,3.30943290669638,-0.5957843440421242,-1.191568667873753,-4.78165015484705,75.40450223579856,0.34384920673541886,0.6876902611574552,12.24194849852029,12.266069004652467,924.9168411663933
90,0.3576372946984923,0.7152745919322745,2.7378823753185766,-0.5487655289375722,-1.0975310626730952,-4.358140884744692,75.33394309846325,0.38321544592886037,0.7664400978286965,13.255386928895923,13.2830561537069,1000.6649577602241
