run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_limited_descent_short_1,coarse,26,1,246,1.200142,1.308199,Solved,12.500000
cgl_offset_limited_descent_short_1,fine,1,1,13,0.380624,0.387857,Solved,12.500000
cgl_offset_limited_descent_short_1,total,27,2,259,1.580766,1.703895,Solved,12.500000
cgl_offset_limited_descent_short_2,coarse,26,1,246,1.220622,1.337517,Solved,12.500000
cgl_offset_limited_descent_short_2,fine,1,1,13,0.415349,0.423314,Solved,12.500000
cgl_offset_limited_descent_short_2,total,27,2,259,1.635971,1.770613,Solved,12.500000
cgl_offset_limited_descent_short_3,coarse,26,1,246,1.194403,1.306159,Solved,12.500000
cgl_offset_limited_descent_short_3,fine,1,1,13,0.387301,0.394119,Solved,12.500000
cgl_offset_limited_descent_short_3,total,27,2,259,1.581703,1.709146,Solved,12.500000
cgl_offset_limited_descent_short_4,coarse,26,1,246,1.179199,1.287048,Solved,12.500000
cgl_offset_limited_descent_short_4,fine,1,1,13,0.390531,0.398086,Solved,12.500000
cgl_offset_limited_descent_short_4,total,27,2,259,1.569729,1.693263,Solved,12.500000
cgl_offset_limited_descent_short_5,coarse,26,1,246,1.199563,1.318461,Solved,12.500000
cgl_offset_limited_descent_short_5,fine,1,1,13,0.380514,0.389598,Solved,12.500000
cgl_offset_limited_descent_short_5,total,27,2,259,1.580077,1.718131,Solved,12.500000
cgl_offset_limited_descent_short_6,coarse,26,1,246,1.215194,1.339022,Solved,12.500000
cgl_offset_limited_descent_short_6,fine,1,1,13,0.382265,0.389893,Solved,12.500000
cgl_offset_limited_descent_short_6,total,27,2,259,1.597459,1.736896,Solved,12.500000
cgl_offset_limited_descent_short_7,coarse,26,1,246,1.224352,1.340196,Solved,12.500000
cgl_offset_limited_descent_short_7,fine,1,1,13,0.401187,0.408862,Solved,12.500000
cgl_offset_limited_descent_short_7,total,27,2,259,1.625538,1.756762,Solved,12.500000
cgl_offset_limited_descent_short_8,coarse,26,1,246,1.225101,1.341385,Solved,12.500000
cgl_offset_limited_descent_short_8,fine,1,1,13,0.400076,0.408056,Solved,12.500000
cgl_offset_limited_descent_short_8,total,27,2,259,1.625177,1.757793,Solved,12.500000
cgl_offset_limited_descent_short_9,coarse,26,1,246,1.206026,1.319763,Solved,12.500000
cgl_offset_limited_descent_short_9,fine,1,1,13,0.409548,0.417040,Solved,12.500000
cgl_offset_limited_descent_short_9,total,27,2,259,1.615575,1.744285,Solved,12.500000
cgl_offset_limited_descent_short_10,coarse,26,1,246,1.200826,1.311360,Solved,12.500000
cgl_offset_limited_descent_short_10,fine,1,1,13,0.375324,0.382127,Solved,12.500000
cgl_offset_limited_descent_short_10,total,27,2,259,1.576150,1.701274,Solved,12.500000
cgl_offset_limited_descent_short_1,coarse,26,1,246,1.204241,1.319172,Solved,12.500000
cgl_offset_limited_descent_short_1,fine,1,1,15,0.876464,0.888551,Solved,12.500000
cgl_offset_limited_descent_short_1,total,27,2,261,2.080706,2.216593,Solved,12.500000
cgl_offset_limited_descent_short_2,coarse,26,1,246,1.230925,1.339822,Solved,12.500000
cgl_offset_limited_descent_short_2,fine,1,1,15,0.873497,0.884912,Solved,12.500000
cgl_offset_limited_descent_short_2,total,27,2,261,2.104422,2.232308,Solved,12.500000
cgl_offset_limited_descent_short_3,coarse,26,1,246,1.211171,1.318919,Solved,12.500000
cgl_offset_limited_descent_short_3,fine,1,1,15,0.850077,0.860028,Solved,12.500000
cgl_offset_limited_descent_short_3,total,27,2,261,2.061249,2.186472,Solved,12.500000
cgl_offset_limited_descent_short_4,coarse,26,1,246,1.205062,1.326667,Solved,12.500000
cgl_offset_limited_descent_short_4,fine,1,1,15,0.847189,0.859241,Solved,12.500000
cgl_offset_limited_descent_short_4,total,27,2,261,2.052251,2.194707,Solved,12.500000
cgl_offset_limited_descent_short_5,coarse,26,1,246,1.207143,1.326363,Solved,12.500000
cgl_offset_limited_descent_short_5,fine,1,1,15,0.843771,0.854625,Solved,12.500000
cgl_offset_limited_descent_short_5,total,27,2,261,2.050913,2.189057,Solved,12.500000
cgl_offset_limited_descent_short_6,coarse,26,1,246,1.201971,1.317924,Solved,12.500000
cgl_offset_limited_descent_short_6,fine,1,1,15,0.832319,0.842913,Solved,12.500000
cgl_offset_limited_descent_short_6,total,27,2,261,2.034290,2.168334,Solved,12.500000
cgl_offset_limited_descent_short_7,coarse,26,1,246,1.182928,1.294443,Solved,12.500000
cgl_offset_limited_descent_short_7,fine,1,1,15,0.854426,0.864496,Solved,12.500000
cgl_offset_limited_descent_short_7,total,27,2,261,2.037354,2.166698,Solved,12.500000
cgl_offset_limited_descent_short_8,coarse,26,1,246,1.202993,1.305774,Solved,12.500000
cgl_offset_limited_descent_short_8,fine,1,1,15,0.853831,0.864616,Solved,12.500000
cgl_offset_limited_descent_short_8,total,27,2,261,2.056824,2.177549,Solved,12.500000
cgl_offset_limited_descent_short_9,coarse,26,1,246,1.201372,1.311377,Solved,12.500000
cgl_offset_limited_descent_short_9,fine,1,1,15,0.857497,0.868330,Solved,12.500000
cgl_offset_limited_descent_short_9,total,27,2,261,2.058869,2.187213,Solved,12.500000
cgl_offset_limited_descent_short_10,coarse,26,1,246,1.202942,1.306321,Solved,12.500000
cgl_offset_limited_descent_short_10,fine,1,1,15,0.859365,0.869345,Solved,12.500000
cgl_offset_limited_descent_short_10,total,27,2,261,2.062307,2.183496,Solved,12.500000
cgl_offset_limited_descent_short_1,coarse,26,1,246,1.196499,1.298564,Solved,12.500000
cgl_offset_limited_descent_short_1,fine,1,1,15,0.957734,0.967645,Solved,12.500000
cgl_offset_limited_descent_short_1,total,27,2,261,2.154233,2.273974,Solved,12.500000
cgl_offset_limited_descent_short_2,coarse,26,1,246,1.227819,1.336454,Solved,12.500000
cgl_offset_limited_descent_short_2,fine,1,1,15,0.958407,0.968893,Solved,12.500000
cgl_offset_limited_descent_short_2,total,27,2,261,2.186226,2.313577,Solved,12.500000
cgl_offset_limited_descent_short_3,coarse,26,1,246,1.215541,1.331216,Solved,12.500000
cgl_offset_limited_descent_short_3,fine,1,1,15,0.974332,0.985142,Solved,12.500000
cgl_offset_limited_descent_short_3,total,27,2,261,2.189873,2.325230,Solved,12.500000
cgl_offset_limited_descent_short_4,coarse,26,1,246,1.192553,1.306273,Solved,12.500000
cgl_offset_limited_descent_short_4,fine,1,1,15,0.976678,0.987413,Solved,12.500000
cgl_offset_limited_descent_short_4,total,27,2,261,2.169231,2.301994,Solved,12.500000
cgl_offset_limited_descent_short_5,coarse,26,1,246,1.187985,1.298445,Solved,12.500000
cgl_offset_limited_descent_short_5,fine,1,1,15,0.959212,0.969906,Solved,12.500000
