group_name,run_type,method,rmse_xyz,rmse_sigma,rmse_uxyz,avg_solve_time,std_error_solve_time,time_of_flight_s,zoh_fine_dt_s,cgl_fine_nodes
Direct Descent,coarse,zoh,0.6785557769,1.068638085,1.166350642,0.076286,0.001636,7.100000,0.200000,10
Direct Descent,fine,zoh,0.2276400446,0.006346024932,0.1840592508,0.910123,0.008255,7.025000,0.025000,30
Direct Descent,very_fine,zoh,0.07952412844,0.0003136095958,0.130142296,3.167957,0.026197,7.012500,0.012500,46
Direct Limited Descent,coarse,zoh,0.663027929,2.451281469,0.7321922311,0.067966,0.000264,11.400000,0.300000,10
Direct Limited Descent,less_coarse,zoh,0.4014982271,2.33367939,0.2955186259,0.411795,0.002995,11.160000,0.090000,20
Direct Limited Descent,less_fine,zoh,0.1176086418,0.02392289206,0.0003981098524,2.924172,0.014582,11.100000,0.025000,44
Direct Limited Descent,fine,zoh,0.2381583433,0.06484945879,0.00114756545,1.348687,0.008766,11.100000,0.050000,34
Direct Limited Descent,very_fine,zoh,0.05774865029,0.009661694459,0.0001895589009,5.674318,0.030213,11.100000,0.012500,60
Offset Descent,coarse,zoh,0.9635310393,1.068994757,1.168108405,0.116193,0.002651,7.300000,0.200000,10
Offset Descent,fine,zoh,0.2671348347,0.3910977309,0.3918376798,0.763525,0.008954,7.230000,0.030000,31
Offset Descent,very_fine,zoh,0.0527240279,0.000136097931,0.01666580917,5.988870,0.022384,7.229200,0.006200,68
Offset Limited Descent,coarse,zoh,0.9256089588,0.9972149218,1.373408271,0.123954,0.000807,12.000000,0.400000,10
Offset Limited Descent,fine,zoh,0.4496332081,1.573170703,0.5935334006,1.602848,0.007751,12.000000,0.050000,34
Offset Limited Descent,very_fine,zoh,0.07165534942,0.4726828655,0.155100622,7.036589,0.007800,11.975000,0.012500,63
Direct Descent,coarse,cgl,0.526695746,1.682337772,1.689644928,0.076584,0.001316,7.120000,0.200000,10
Direct Descent,fine,cgl,0.2990413863,1.424545805,1.43061516,0.854149,0.011405,7.030000,0.025000,30
Direct Descent,very_fine,cgl,0.2525775093,1.404691604,1.397592395,2.891473,0.013082,7.010000,0.012500,46
Direct Limited Descent,coarse,cgl,0.4081693245,2.796789925,1.59240793,0.070142,0.000741,11.500000,0.300000,10
Direct Limited Descent,less_coarse,cgl,0.29896727,1.591000954,1.449744242,0.499866,0.001858,11.130000,0.090000,20
Direct Limited Descent,less_fine,cgl,0.2306901828,2.270196152,1.383888324,2.600210,0.005651,11.130000,0.025000,44
Direct Limited Descent,fine,cgl,0.3140792666,1.562849949,1.427923328,1.470143,0.002648,11.120000,0.050000,34
Direct Limited Descent,very_fine,cgl,0.2891552119,1.531344707,1.396240062,5.665498,0.031941,11.100000,0.012500,60
Offset Descent,coarse,cgl,0.5317194691,1.681483947,1.687079486,0.113093,0.002820,7.300000,0.200000,10
Offset Descent,fine,cgl,0.3374103361,1.379630383,1.38363618,0.761620,0.008597,7.230000,0.030000,31
Offset Descent,very_fine,cgl,0.3108332404,1.375597999,1.378459579,6.306237,0.072774,7.230000,0.006200,68
Offset Limited Descent,coarse,cgl,0.7155791595,1.710025622,1.864201284,0.113205,0.000902,12.440000,0.400000,10
Offset Limited Descent,fine,cgl,0.3449456229,1.528898084,1.517856119,1.616991,0.005206,11.980000,0.050000,34
Offset Limited Descent,very_fine,cgl,0.3209901627,1.644424704,1.493236935,7.169705,0.060424,11.980000,0.012500,63
