run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_descent_long_1,coarse,16,1,137,0.321077,0.466297,Solved,7.500000
zoh_direct_descent_long_1,fine,1,1,15,1.669067,1.701873,Solved,7.500000
zoh_direct_descent_long_1,total,17,2,152,1.990144,2.180693,Solved,7.500000
zoh_direct_descent_long_2,coarse,16,1,137,0.273609,0.427969,Solved,7.500000
zoh_direct_descent_long_2,fine,1,1,15,1.743117,1.777903,Solved,7.500000
zoh_direct_descent_long_2,total,17,2,152,2.016726,2.219365,Solved,7.500000
zoh_direct_descent_long_3,coarse,16,1,137,0.285399,0.431087,Solved,7.500000
zoh_direct_descent_long_3,fine,1,1,15,1.639222,1.665420,Solved,7.500000
zoh_direct_descent_long_3,total,17,2,152,1.924620,2.118353,Solved,7.500000
zoh_direct_descent_long_4,coarse,16,1,137,0.259346,0.340703,Solved,7.500000
zoh_direct_descent_long_4,fine,1,1,15,1.709333,1.735931,Solved,7.500000
zoh_direct_descent_long_4,total,17,2,152,1.968679,2.085665,Solved,7.500000
zoh_direct_descent_long_5,coarse,16,1,137,0.283504,0.386311,Solved,7.500000
zoh_direct_descent_long_5,fine,1,1,15,1.649850,1.670426,Solved,7.500000
zoh_direct_descent_long_5,total,17,2,152,1.933354,2.066654,Solved,7.500000
zoh_direct_descent_long_6,coarse,16,1,137,0.309028,0.456939,Solved,7.500000
zoh_direct_descent_long_6,fine,1,1,15,1.659327,1.681578,Solved,7.500000
zoh_direct_descent_long_6,total,17,2,152,1.968355,2.148165,Solved,7.500000
zoh_direct_descent_long_7,coarse,16,1,137,0.282614,0.405921,Solved,7.500000
zoh_direct_descent_long_7,fine,1,1,15,1.623791,1.644674,Solved,7.500000
zoh_direct_descent_long_7,total,17,2,152,1.906406,2.060231,Solved,7.500000
zoh_direct_descent_long_8,coarse,16,1,137,0.251219,0.330609,Solved,7.500000
zoh_direct_descent_long_8,fine,1,1,15,1.713677,1.746101,Solved,7.500000
zoh_direct_descent_long_8,total,17,2,152,1.964896,2.083294,Solved,7.500000
zoh_direct_descent_long_9,coarse,16,1,137,0.300374,0.396166,Solved,7.500000
zoh_direct_descent_long_9,fine,1,1,15,1.623053,1.644242,Solved,7.500000
zoh_direct_descent_long_9,total,17,2,152,1.923427,2.047666,Solved,7.500000
zoh_direct_descent_long_10,coarse,16,1,137,0.271464,0.365340,Solved,7.500000
zoh_direct_descent_long_10,fine,1,1,15,1.645868,1.667192,Solved,7.500000
zoh_direct_descent_long_10,total,17,2,152,1.917331,2.042056,Solved,7.500000
