t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.000000000000036,0,0,0.0000000000005051825169632106,80.00000000007486,0,0,3.705904777371297,5.000000002356184,296.4723821899812
1,0,0,50.00000000000007,0,0,-0.07630119028185219,79.9971684725042,0,0,3.7060359439613584,5.000176972063329,296.47238177423293
2,0,0,49.99904623512158,0,0,-0.15260074098183754,79.99433694493935,0,0,3.7061671093664628,5.000353940196653,296.4723805209127
3,0,0,49.99713872585932,0,0,-0.22889865211426283,79.99150541738848,0,0,3.7062982736070245,5.000530906748728,296.47237843169387
4,0,0,49.99427749270792,0,0,-0.30519492369368484,79.98867388985954,0,0,3.7064294366768,5.000707871712141,296.47237550611635
5,0,0,49.99046255616177,0,0,-0.38148955573473836,79.98584236236047,0,0,3.706560598570885,5.000884835079491,296.4723717438273
6,0,0,49.985693936715116,0,0,-0.45778254825211945,79.98301083489899,0,0,3.7066917592699733,5.001061796843371,296.4723671433211
7,0,0,49.97997165486199,0,0,-0.5340739012607657,79.98017930748357,0,0,3.7068229187691646,5.0012387569963295,296.47236170424736
8,0,0,49.97329573109627,0,0,-0.6103636147756757,79.97734778012192,0,0,3.706954077094977,5.001415715530957,296.47235542876587
9,0,0,49.96566618591159,0,0,-0.6866516888115167,79.9745162528222,0,0,3.707085234184564,5.001592672439826,296.4723483118906
10,0,0,49.95708303980147,0,0,-0.7629381233837416,79.97168472559235,0,0,3.707216390068871,5.001769627715485,296.4723403561363
11,0,0,49.9475463132592,0,0,-0.8392229185074163,79.96885319844012,0,0,3.7073475447520323,5.001946581350515,296.4723315618727
12,0,0,49.937056026777874,0,0,-0.9155060741975549,79.96602167137394,0,0,3.707478698206537,5.002123533337461,296.47232192694116
13,0,0,49.92561220085044,0,0,-0.9917875904695159,79.96319014440166,0,0,3.7076098504352357,5.00230048366884,296.47231145160936
14,0,0,49.91321485596959,0,0,-1.068067467338622,79.96035861753133,0,0,3.7077410014508363,5.002477432337251,296.4723001369336
15,0,0,49.899864012627894,0,0,-1.1443457048200363,79.95752709077095,0,0,3.7078721511900525,5.002654379335215,296.4722879778938
16,0,0,49.88555969131766,0,0,-1.2206223029297139,79.95469556412874,0,0,3.7080032996992123,5.00283132465524,296.47227497823536
17,0,0,49.87030191253106,0,0,-1.296897261683031,79.95186403761235,0,0,3.708134446965968,5.00300826828989,296.47226113701
18,0,0,49.85409069676005,0,0,-1.373170581095517,79.94903251123031,0,0,3.7082655929721473,5.003185210231677,296.472246452807
19,0,0,49.83692606449638,0,0,-1.4494422611829292,79.94620098499013,0,0,3.708396737731157,5.0033621504731265,296.4722309267368
20,0,0,49.81880803623162,0,0,-1.5257123019608576,79.94336945890058,0,0,3.7085278812184246,5.003539089006748,296.47221455687827
