run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status
zoh_1,coarse,16,1,130,0.208682,0.211738,Solved
zoh_1,fine,1,1,13,0.299497,0.301910,Solved
zoh_1,total,17,2,143,0.508178,0.522477,Solved
zoh_1,coarse,16,1,130,0.214736,0.217766,Solved
zoh_1,fine,1,1,13,0.288505,0.291783,Solved
zoh_1,total,17,2,143,0.503241,0.519792,Solved
zoh_1,coarse,16,1,130,0.193561,0.195711,Solved
zoh_1,fine,1,1,13,0.280414,0.282660,Solved
zoh_1,total,17,2,143,0.473974,0.484859,Solved
cgl_1,coarse,16,1,133,0.293854,0.298143,Solved
cgl_1,fine,14,1,103,1.525433,1.555016,Solved
cgl_1,total,30,2,236,1.819287,1.869020,Solved
cgl_1,coarse,16,1,133,0.292448,0.297109,Solved
cgl_1,fine,14,1,103,1.494446,1.521798,Solved
cgl_1,total,30,2,236,1.786894,1.833594,Solved
cgl_1,coarse,16,1,133,0.291906,0.296533,Solved
cgl_1,fine,14,1,103,1.483525,1.514943,Solved
cgl_1,total,30,2,236,1.775432,1.826178,Solved
cgl_1,coarse,16,1,133,0.516241,0.609273,Solved
cgl_1,fine,14,1,103,2.865092,3.003442,Solved
cgl_1,total,30,2,236,3.381333,3.629111,Solved
cgl_1,coarse,16,1,133,0.303713,0.350931,Solved
cgl_1,fine,14,1,103,1.568060,1.648254,Solved
cgl_1,total,30,2,236,1.871772,2.010747,Solved
zoh_1,coarse,16,1,133,0.309393,0.357570,Solved
zoh_1,fine,14,1,103,1.512804,1.589733,Solved
zoh_1,total,30,2,236,1.822196,1.957316,Solved
zoh_1,coarse,16,1,130,0.190845,0.193635,Solved
zoh_1,fine,1,1,13,0.281912,0.284719,Solved
zoh_1,total,17,2,143,0.472757,0.487298,Solved
zoh_1,coarse,16,1,130,0.203822,0.246957,Solved
zoh_1,fine,1,1,13,0.295718,0.303516,Solved
zoh_1,total,17,2,143,0.499539,0.554945,Solved
cgl_2,coarse,17,1,137,0.201909,0.263995,Solved
cgl_2,fine,1,1,11,0.061504,0.065912,Solved
cgl_2,total,18,2,148,0.263413,0.336484,Solved
zoh_3,coarse,16,1,130,0.204506,0.257732,Solved
zoh_3,fine,1,1,14,0.679192,0.689173,Solved
zoh_3,total,17,2,144,0.883697,0.951814,Solved
cgl_3,coarse,16,1,144,0.252597,0.318197,Solved
cgl_3,fine,1,1,15,0.197020,0.203671,Solved
cgl_3,total,17,2,159,0.449618,0.527593,Solved
zoh_truth,coarse,1111,1,8335,1279.354208,1294.051524,Solved
zoh_truth,fine,1,1,49,918.465373,921.694397,Solved
zoh_truth,total,1112,2,8384,2197.819581,2217.769620,Solved
zoh_truth,coarse,702,1,6014,556.494693,562.219249,Solved
zoh_truth,fine,11,1,2200,4934.773513,4938.658133,AlmostSolved
zoh_truth,total,713,2,8214,5491.268206,5501.924129,AlmostSolved
zoh_truth_offset,coarse,724,1,6242,569.131274,575.813641,Solved
zoh_truth_offset,fine,1,1,107,268.939309,269.334654,Solved
zoh_truth_offset,total,725,2,6349,838.070583,845.975306,Solved
zoh_truth_5_vel_limit,coarse,1111,1,10177,1407.977467,1424.071329,Solved
zoh_truth_5_vel_limit,fine,1,1,34,154.787752,155.397316,Solved
zoh_truth_5_vel_limit,total,1112,2,10211,1562.765218,1581.346523,Solved
zoh_1,coarse,32,1,160,0.563033,0.722204,Solved
zoh_1,fine,1,1,13,0.818245,0.836322,Solved
zoh_1,total,33,2,173,1.381278,1.574653,Solved
