run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_long_1,coarse,16,1,155,6.587645,6.820557,Solved,7.500000
cgl_direct_descent_long_1,fine,1,1,13,1.649566,1.663272,Solved,7.500000
cgl_direct_descent_long_1,total,17,2,168,8.237211,8.521067,Solved,7.500000
cgl_direct_descent_long_2,coarse,16,1,155,6.466962,6.652946,Solved,7.500000
cgl_direct_descent_long_2,fine,1,1,13,1.822036,1.849585,Solved,7.500000
cgl_direct_descent_long_2,total,17,2,168,8.288997,8.514764,Solved,7.500000
cgl_direct_descent_long_3,coarse,16,1,155,6.434940,6.603187,Solved,7.500000
cgl_direct_descent_long_3,fine,1,1,13,1.622509,1.640139,Solved,7.500000
cgl_direct_descent_long_3,total,17,2,168,8.057449,8.254905,Solved,7.500000
cgl_direct_descent_long_1,coarse,16,1,155,6.401059,6.614544,Solved,7.500000
cgl_direct_descent_long_1,fine,1,1,13,1.587183,1.602030,Solved,7.500000
cgl_direct_descent_long_1,total,17,2,168,7.988242,8.235563,Solved,7.500000
cgl_direct_descent_long_2,coarse,16,1,155,6.178768,6.370401,Solved,7.500000
cgl_direct_descent_long_2,fine,1,1,13,1.531772,1.549375,Solved,7.500000
cgl_direct_descent_long_2,total,17,2,168,7.710540,7.936427,Solved,7.500000
cgl_direct_descent_long_3,coarse,16,1,155,6.269298,6.426753,Solved,7.500000
cgl_direct_descent_long_3,fine,1,1,13,1.592267,1.611733,Solved,7.500000
cgl_direct_descent_long_3,total,17,2,168,7.861565,8.048475,Solved,7.500000
cgl_direct_descent_long_1,coarse,16,1,155,6.532243,6.705938,Solved,7.500000
cgl_direct_descent_long_1,fine,1,1,13,1.640254,1.655050,Solved,7.500000
cgl_direct_descent_long_1,total,17,2,168,8.172497,8.373969,Solved,7.500000
cgl_direct_descent_long_2,coarse,16,1,155,6.517766,6.674974,Solved,7.500000
cgl_direct_descent_long_2,fine,1,1,13,1.676240,1.691536,Solved,7.500000
cgl_direct_descent_long_2,total,17,2,168,8.194007,8.376214,Solved,7.500000
cgl_direct_descent_long_3,coarse,16,1,155,6.588109,6.775288,Solved,7.500000
cgl_direct_descent_long_3,fine,1,1,13,1.583792,1.601080,Solved,7.500000
cgl_direct_descent_long_3,total,17,2,168,8.171902,8.389518,Solved,7.500000
cgl_direct_descent_long_1,coarse,16,1,155,6.303707,6.539038,Solved,7.500000
cgl_direct_descent_long_1,fine,1,1,13,1.609808,1.633135,Solved,7.500000
cgl_direct_descent_long_1,total,17,2,168,7.913516,8.196054,Solved,7.500000
cgl_direct_descent_long_2,coarse,16,1,155,6.250481,6.432313,Solved,7.500000
cgl_direct_descent_long_2,fine,1,1,13,1.733687,1.758733,Solved,7.500000
cgl_direct_descent_long_2,total,17,2,168,7.984168,8.203157,Solved,7.500000
cgl_direct_descent_long_3,coarse,16,1,155,6.312397,6.491526,Solved,7.500000
cgl_direct_descent_long_3,fine,1,1,13,1.629538,1.645085,Solved,7.500000
cgl_direct_descent_long_3,total,17,2,168,7.941935,8.154505,Solved,7.500000
