run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_descent_med_1,coarse,20,1,140,0.697879,0.773950,Solved,9.500000
cgl_direct_descent_med_1,fine,1,1,12,0.698260,0.708241,Solved,9.500000
cgl_direct_descent_med_1,total,21,2,152,1.396138,1.488541,Solved,9.500000
cgl_direct_descent_med_2,coarse,20,1,140,0.695411,0.775106,Solved,9.500000
cgl_direct_descent_med_2,fine,1,1,12,0.692199,0.702080,Solved,9.500000
cgl_direct_descent_med_2,total,21,2,152,1.387611,1.484322,Solved,9.500000
cgl_direct_descent_med_3,coarse,20,1,140,0.713965,0.810106,Solved,9.500000
cgl_direct_descent_med_3,fine,1,1,12,0.701911,0.710302,Solved,9.500000
cgl_direct_descent_med_3,total,21,2,152,1.415876,1.529535,Solved,9.500000
cgl_direct_descent_med_1,coarse,20,1,140,0.721666,0.808537,Solved,9.500000
cgl_direct_descent_med_1,fine,1,1,12,0.695832,0.704965,Solved,9.500000
cgl_direct_descent_med_1,total,21,2,152,1.417498,1.521374,Solved,9.500000
cgl_direct_descent_med_2,coarse,20,1,140,0.715532,0.798080,Solved,9.500000
cgl_direct_descent_med_2,fine,1,1,12,0.688530,0.697979,Solved,9.500000
cgl_direct_descent_med_2,total,21,2,152,1.404062,1.503390,Solved,9.500000
cgl_direct_descent_med_3,coarse,20,1,140,0.718218,0.802609,Solved,9.500000
cgl_direct_descent_med_3,fine,1,1,12,0.697216,0.707205,Solved,9.500000
cgl_direct_descent_med_3,total,21,2,152,1.415434,1.517586,Solved,9.500000
cgl_direct_descent_med_4,coarse,20,1,140,0.703563,0.781181,Solved,9.500000
cgl_direct_descent_med_4,fine,1,1,12,0.697588,0.705881,Solved,9.500000
cgl_direct_descent_med_4,total,21,2,152,1.401151,1.494061,Solved,9.500000
cgl_direct_descent_med_5,coarse,20,1,140,0.730430,0.817807,Solved,9.500000
cgl_direct_descent_med_5,fine,1,1,12,0.684260,0.694780,Solved,9.500000
cgl_direct_descent_med_5,total,21,2,152,1.414690,1.520029,Solved,9.500000
cgl_direct_descent_med_6,coarse,20,1,140,0.708531,0.791969,Solved,9.500000
cgl_direct_descent_med_6,fine,1,1,12,0.699221,0.709210,Solved,9.500000
cgl_direct_descent_med_6,total,21,2,152,1.407752,1.509115,Solved,9.500000
cgl_direct_descent_med_7,coarse,20,1,140,0.704230,0.786702,Solved,9.500000
cgl_direct_descent_med_7,fine,1,1,12,0.696451,0.706939,Solved,9.500000
cgl_direct_descent_med_7,total,21,2,152,1.400681,1.499681,Solved,9.500000
cgl_direct_descent_med_8,coarse,20,1,140,0.705997,0.785995,Solved,9.500000
cgl_direct_descent_med_8,fine,1,1,12,0.688888,0.697423,Solved,9.500000
cgl_direct_descent_med_8,total,21,2,152,1.394885,1.489550,Solved,9.500000
cgl_direct_descent_med_9,coarse,20,1,140,0.711808,0.802961,Solved,9.500000
cgl_direct_descent_med_9,fine,1,1,12,0.699983,0.711298,Solved,9.500000
cgl_direct_descent_med_9,total,21,2,152,1.411791,1.522043,Solved,9.500000
cgl_direct_descent_med_10,coarse,20,1,140,0.708853,0.789522,Solved,9.500000
cgl_direct_descent_med_10,fine,1,1,12,0.672860,0.682952,Solved,9.500000
cgl_direct_descent_med_10,total,21,2,152,1.381714,1.478752,Solved,9.500000
