t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,-0.00000000000000000003549971790699876,80.00000000000011,0,0,12.499980894670829,12.499981213417572,999.9984715736678
1,0,0,49.99602593717946,0,0,-0.13243534888126865,79.9637859925904,0,0,7.961789517683923,7.961789548970897,636.6548331101268
2,-0,-0,49.975287129643455,-0,-0,-0.3121272313058161,79.92972743783334,-0,-0,7.532461481971668,7.532461471767058,602.0675931899736
3,-0,-0,49.93409809573197,-0,-0,-0.5636449821066359,79.89893330104819,-0,-0,6.994406472337977,6.994406466137284,558.8456162137518
4,0,0,49.86818782079937,0,0,-0.8189757351401082,79.868323492503,0,0,7.284007603343887,7.284007624863558,581.761475585721
5,-0,-0,49.77922935113772,-0,-0,-1.0533227757522068,79.83677667257602,-0,-0,7.316932295242573,7.316932293360004,584.1602895836404
6,-0,-0,49.66749444065181,-0,-0,-1.3040298551202703,79.80598170785017,-0,-0,7.008081047877109,7.0080810312491195,559.2867879140119
7,-0,-0,49.530576590036816,-0,-0,-1.5815331199391591,79.77640922699585,-0,-0,6.815691270945519,6.815691271730284,543.7313759958132
8,0,0,49.36684665841562,0,0,-1.8642343388683533,79.74708245399428,0,0,6.886380291068063,6.886380308560228,549.1687368813659
9,0,0,49.17679204232858,0,0,-2.134433543443985,79.7172020552679,0,0,7.039895591772092,7.039895603067518,561.2007793372857
10,-0,-0,48.961659054278954,-0,-0,-2.393740292433378,79.68684129734267,-0,-0,7.099361107767787,7.099361101910743,565.7256619072184
11,-0,-0,48.72197950866469,-0,-0,-2.6528951701591383,79.65648525152892,-0,-0,7.053723400166358,7.053723387370006,561.8748139937159
12,-0,-0,48.45741402743017,-0,-0,-2.917896503665218,79.62640440731194,-0,-0,6.992228689839625,6.992228685603311,556.7660293655789
13,0,0,48.167457792958906,0,0,-3.1866508848790143,79.59650409750107,0,0,6.978932693221584,6.978932701803502,555.498644712196
14,0,0,47.85197879824556,0,0,-3.454661317105289,79.56658149324322,0,0,7.000000104732014,7.0000001175003845,556.9660787858709
15,0,0,47.511121079810266,0,0,-3.7213164575704853,79.53660909157301,0,0,6.9976515433407425,6.997651548940581,556.5694753617353
16,-0,-0,47.14483259810411,-0,-0,-3.991052641303209,79.50678670714458,-0,-0,6.932685000578621,6.932684995073121,551.1955076488249
17,-0,-0,46.75253778163397,-0,-0,-4.269606373175936,79.47737237514087,-0,-0,6.818681881697544,6.818681870567971,541.930919019302
18,-0,-0,46.33325067163064,-0,-0,-4.559218572930295,79.44846647627249,-0,-0,6.710586974660915,6.710586967110623,533.1458442924585
19,0,0,45.886040792902314,0,0,-4.8564318026760365,79.41991295919189,0,0,6.66649148604561,6.666491487565089,529.4521735649362
20,0,0,45.41053077413454,0,0,-5.153560683049818,79.39136591171555,0,0,6.713251661536852,6.71325167039986,532.9742191185046
21,0,0,44.90713087448597,0,0,-5.442375529443578,79.36245545687413,0,0,6.836064632552589,6.8360646418848505,542.5268749012674
22,0,0,44.376916905756396,0,0,-5.717526389219472,79.33294163898034,0,0,6.993044445837443,6.993044448852984,554.7787869004175
23,-0,-0,43.82127267027264,-0,-0,-5.977889958107848,79.30277469106066,-0,-0,7.141532190448424,7.141532184918851,566.3433182480883
24,-0,-0,43.24152150786629,-0,-0,-6.22553062358778,79.27204804310436,-0,-0,7.259552538542662,7.259552527810218,575.4795976067942
25,-0,-0,42.63873267508278,-0,-0,-6.4633021911571324,79.24089042005609,-0,-0,7.352073701614069,7.352073692047528,582.5848665497766
26,-0,-0,42.013758935483864,-0,-0,-6.692625802233986,79.20936608831352,-0,-0,7.441790184344767,7.4417901812576845,589.4594830641828
27,0,0,41.36742815325936,0,0,-6.912594368024312,79.1774348219871,0,0,7.552081680185822,7.5520816847983925,597.9544550032358
28,0,0,40.700742932061225,0,0,-7.120661305171579,79.144982982813,0,0,7.692284225602124,7.692284234646498,608.8057041342411
29,0,0,40.01496091710256,0,0,-7.3143115161161285,79.111898539308,0,0,7.852498559625884,7.852498567504969,621.2260693291852
30,0,0,39.31150995534723,0,0,-7.492692111344973,79.07814410093852,0,0,8.00935338511769,8.009353387154956,633.3648011436763
31,-0,-0,38.59178696343013,-0,-0,-7.657320018660021,79.04378844054564,-0,-0,8.138664235558792,8.138664230480869,643.3108540241443
32,-0,-0,37.85694949000051,-0,-0,-7.811527026217695,79.00898143179647,-0,-0,8.228178690821965,8.228178681238356,650.100017400656
33,-0,-0,37.1078103167664,-0,-0,-7.9589414667200575,78.97388595805444,-0,-0,8.284319652576762,8.284319643391159,654.2449154826664
34,-0,-0,36.34489384758096,-0,-0,-8.10174040402931,78.93859974112178,-0,-0,8.330162849029378,8.33016284477486,657.5713909178927
35,0,0,35.56863709811023,0,0,-8.239471328225394,78.90310283065234,0,0,8.39600862642104,8.396008628953537,662.4711320175435
36,0,0,34.779653625523544,0,0,-8.368952548634292,78.86725341873161,0,0,8.506991628824247,8.506991636500167,670.9230646215103
37,0,0,33.978952688159346,0,0,-8.485277161049442,78.83083294057641,0,0,8.67307641469065,8.673076423331736,683.705837927332
38,0,0,33.168026387078875,0,0,-8.583487024492706,78.79362095977773,0,0,8.885406260758035,8.885406265816648,700.1133329838045
39,-0,-0,32.348772679540744,-0,-0,-8.660235094427804,78.75546933346216,-0,-0,9.120115806262637,9.120115805066817,718.2590006977406
40,-0,-0,31.523287175394298,-0,-0,-8.714797500045849,78.71634717484797,-0,-0,9.347669888793098,9.347669881788411,735.81442824211
41,-0,-0,30.693604946779157,-0,-0,-8.749089076101424,78.67634126549527,-0,-0,9.543759711916174,9.543759702361731,750.8680960506017
42,-0,-0,29.861487393548103,-0,-0,-8.766742993485067,78.6356147670804,-0,-0,9.697462601966901,9.697462594299049,762.5659333864384
43,-0,-0,29.028325555955966,-0,-0,-8.771670120784469,78.59434288929279,-0,-0,9.813726647247684,9.81372664493539,771.3033971355742
44,0,0,28.195181876971628,0,0,-8.766684302488017,78.55265168855753,0,0,9.90962156867143,9.909621572586364,778.4270514492639
45,0,0,27.362938016868423,0,0,-8.75271397365278,78.51058313513292,0,0,10.006222423559421,10.006222431605021,785.5943574534931
46,0,0,26.532478098271923,0,0,-8.72885966955971,78.46809788894463,0,0,10.119546697881775,10.119546706020197,794.0615808811335
47,0,0,25.704828334175144,0,0,-8.693212762455614,78.42511188237027,0,0,10.254123278353958,10.254123282523722,804.1807653605266
48,-0,-0,24.881196812551902,-0,-0,-8.644058964299772,78.38154986869968,-0,-0,10.401561135675228,10.401561133696712,815.2904828682564
49,-0,-0,24.062900761216248,-0,-0,-8.580958866080287,78.33739334031777,-0,-0,10.54443742208064,10.544437414669385,826.0237418858974
50,-0,-0,23.25121503323288,-0,-0,-8.505269113249696,78.29270348086854,-0,-0,10.663750057284522,10.663750047712863,834.893821229072
51,-0,-0,22.447206711698605,-0,-0,-8.419905673801477,78.24761044636928,-0,-0,10.746860112017563,10.746860104587704,840.9161235667748
52,-0,-0,21.6516250813584,-0,-0,-8.328457705287128,78.20227391638926,-0,-0,10.79275367260047,10.792753670635772,844.0178790168181
53,0,0,20.86489288846354,0,0,-8.234016619955268,78.15683117455082,0,0,10.812579818841176,10.812579823123862,845.0769754625251
54,0,0,20.087203629321742,0,0,-8.138192553423947,78.1113536619894,0,0,10.825313611459206,10.825313619842882,845.5799000066378
55,0,0,19.318687086356082,0,0,-8.040710577064411,78.0658293155995,0,0,10.850315759637018,10.850315768028267,847.0388981121828
56,0,0,18.5595782558529,0,0,-7.939744926951318,78.02017757848755,0,0,10.899776487755492,10.899776492027584,850.4024971405069
57,-0,-0,17.810323799098416,-0,-0,-7.832853617340501,77.97429087182766,-0,-0,10.974073345851968,10.974073343810781,855.6955871182324
58,-0,-0,17.07158556286124,-0,-0,-7.718134403924462,77.9280856920232,-0,-0,11.061920061163594,11.061920053638056,862.0342544446671
59,-0,-0,16.34414248834522,-0,-0,-7.595132149324871,77.88154256324391,-0,-0,11.145273020976873,11.145273011489717,868.0110551621844
60,-0,-0,15.628733683829282,-0,-0,-7.465125542320836,77.83471848715061,-0,-0,11.207032335432265,11.20703232856071,872.2962069047644
61,-0,-0,14.925909748466273,-0,-0,-7.33067223647429,77.78772667469116,-0,-0,11.238392366469192,11.238392365636692,874.208993665841
62,0,0,14.235956319122822,0,0,-7.19459790762658,77.74069186616171,0,0,11.242761918440575,11.242761924191372,874.0200900261059
63,0,0,13.558923878607498,0,0,-7.0588525941579645,77.69369997388054,0,0,11.234512172828962,11.234512182457854,872.8508181086821
64,0,0,12.894752814492966,0,0,-6.923725498628359,77.64676367139451,0,0,11.232934451501148,11.232934460294775,872.2010066919752
65,0,0,12.243441079548129,0,0,-6.7877706158502615,77.59981934613702,0,0,11.253861949328085,11.253861952886416,873.2976542142248
66,-0,-0,11.60518160393114,-0,-0,-6.648497854230217,77.55275768373443,-0,-0,11.302552347910519,11.302552344433064,876.5441034452281
67,-0,-0,10.980407728045106,-0,-0,-6.503546384709959,77.50547530925694,-0,-0,11.371082395575574,11.371082386927293,881.3211458498089
68,-0,-0,10.369724258014305,-0,-0,-6.351824263584344,77.45792476246551,-0,-0,11.441695172946364,11.44169516385209,886.2499638611442
69,-0,-0,9.773753460580782,-0,-0,-6.19408321846651,77.41013952705543,-0,-0,11.494928039804966,11.494928035450831,889.8239834147643
70,0,0,9.192966669478475,0,0,-6.032626146399156,77.36222096659881,0,0,11.51902694021344,11.519026943418478,891.1375074689968
71,0,0,8.62758305913414,0,0,-5.870235567090314,77.31429119578596,0,0,11.516221073463615,11.516221082945306,890.3684695488126
72,0,0,8.077589621617767,0,0,-5.708797111682014,77.26643278209892,0,0,11.502504549798687,11.50250456062113,888.7574946228071
73,0,0,7.54287996457532,0,0,-5.548286416821786,77.21864456438257,0,0,11.500413341563256,11.500413347745924,888.0463301656563
74,-0,-0,7.023449017008379,-0,-0,-5.386669749089013,77.17083756864562,-0,-0,11.527771129848018,11.52777112784878,889.6077533900238
