t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.000000000000013923319687585206,80.00000000000374,0,0,5.127327780874168,5.127327782814282,410.1862224699526
1,0,0,50.00000000000001,0,0,-0.1170668054781181,79.99419283986983,0,0,5.1293104124852755,5.129310415298618,410.31504627189935
2,0,0,49.997073329863056,0,0,-0.2340840451659725,79.98838385600978,0,0,5.131365376236122,5.131365379831758,410.44962341981295
3,0,0,49.991221228733906,0,0,-0.351049910760056,79.98257296697449,0,0,5.133467503690924,5.133467507702204,410.5879391875517
4,0,0,49.98244498096491,0,0,-0.4679632231677694,79.97676011983667,0,0,5.135574251865812,5.135574255764378,410.7265900190817
5,0,0,49.97074590038571,0,0,-0.5848238668711109,79.97094530985414,0,0,5.1376538868179935,5.137653890237256,410.8630380036813
6,0,0,49.95612530371393,0,0,-0.7016325197006479,79.96512856821242,0,0,5.1397052523541396,5.139705255379315,410.9971913072154
7,0,0,49.93858449072142,0,0,-0.8183898883917814,79.95930992739692,0,0,5.141732273304916,5.141732276365639,411.12936440488687
8,0,0,49.918124743511626,0,0,-0.9350965815591454,79.95348941544164,0,0,5.143704747314181,5.143704750643574,411.25714307054125
9,0,0,49.89474732897265,0,0,-1.0517539628762782,79.94766709455672,0,0,5.145598699782039,5.14559870307812,411.37861185235835
10,0,0,49.86845347990074,0,0,-1.1683639953817144,79.94184305407107,0,0,5.1474723632546455,5.147472366061936,411.4984277884712
11,0,0,49.8392443800162,0,0,-1.2849271863003358,79.93601731738427,0,0,5.149413657747301,5.149413659924045,411.6236193200633
12,0,0,49.80712120035869,0,0,-1.4014418448566408,79.9301898083952,0,0,5.151394120065213,5.151394121712817,411.7519097946634
13,0,0,49.77208515423727,0,0,-1.5179069918549981,79.92436048323255,0,0,5.153210496054903,5.153210497416468,411.8670533326696
14,0,0,49.734137479440896,0,0,-1.6343267294536135,79.91852952801509,0,0,5.154690657783562,5.154690659226326,411.9552975418591
15,0,0,49.69327931120456,0,0,-1.750709463009012,79.9126973235526,0,0,5.155965105603412,5.155965107409798,412.0270788948844
16,0,0,49.64951157462934,0,0,-1.867060335368915,79.90686410290702,0,0,5.157328687451666,5.157328689740486,412.10596256222414
17,0,0,49.602835066245106,0,0,-1.9833771181826112,79.90102976553172,0,0,5.158928680921549,5.158928683655637,412.20371409256796
18,0,0,49.55325063829054,0,0,-2.0996539011595607,79.8951940443173,0,0,5.160738594874878,5.16073859779817,412.31821144952573
19,0,0,49.50075929076156,0,0,-2.215885436287677,79.88935670219604,0,0,5.162678875014486,5.162678877803145,412.44309418492446
20,0,0,49.445362154854365,0,0,-2.3320684644123038,79.8835175921434,0,0,5.1646873543882,5.164687356893217,412.5733931321904
21,0,0,49.38706044324406,0,0,-2.4482012805525875,79.87767663748363,0,0,5.166730157863186,5.166730160132622,412.70640082293033
22,0,0,49.32585541123024,0,0,-2.5642830266059966,79.87183379986969,0,0,5.168788972590881,5.168788974726711,412.8406537653781
23,0,0,49.261748335565095,0,0,-2.680313302291214,79.86598906167232,0,0,5.170852854447699,5.17085285650027,412.97527751283707
24,0,0,49.194740503007814,0,0,-2.79629198093001,79.86014241764234,0,0,5.172916569964152,5.172916571923933,413.10985399191907
25,0,0,49.12483320348457,0,0,-2.9122190666808954,79.85429386844862,0,0,5.174978814655536,5.174978816486587,413.2442790284991
26,0,0,49.05202772681754,0,0,-3.028094596314496,79.8484434162351,0,0,5.177040112686798,5.177040114354629,413.37859450145123
27,0,0,48.97632536190968,0,0,-3.143918593497315,79.84259106255357,0,0,5.179101782197919,5.179101783681062,413.51290566737083
