t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,-0.000000000000010028905851479555,79.99999999999628,0,0,3.9090751345747923,5.0000000231586865,312.72601076596885
1,-0,-0,49.98583657284808,-0,-0,-0.40685264520288766,79.9827178157532,-0,-0,3.7571021134675564,5.081478556728301,300.50323814644554
2,0,0,49.94199371944011,0,0,-0.8419082826215716,79.9672373852199,0,0,3.6184568767998844,4.856186178785215,289.35800003523775
3,-0,-0,49.867667241277516,-0,-0,-1.270584230104694,79.9512893506962,-0,-0,3.785526332388745,5.130272317530274,302.6577111454923
4,-0,-0,49.76346659319539,-0,-0,-1.6943777471027544,79.93498240221938,-0,-0,3.746382535646733,5.0654657276009685,299.4670220589036
5,0,0,49.62927619549314,0,0,-2.124456419298042,79.91914597792677,0,0,3.6483521470359377,4.905219866722242,291.57318781784767
6,0,0,49.464683050505236,0,0,-2.5580318948366756,79.90356971763087,0,0,3.656371905972288,4.918770622928929,292.1571675024436
7,-0,-0,49.269708714603986,-0,-0,-2.987940989569725,79.88772758512991,-0,-0,3.7354282225896394,5.045965510732186,298.4148722600471
8,-0,-0,49.044697587382416,-0,-0,-3.4129785459719826,79.87153714458324,-0,-0,3.7803828357791938,5.1166721749851245,301.9449880886828
9,-0,-0,48.78985450375747,-0,-0,-3.8375497950412703,79.85531970045507,-0,-0,3.7496297775459815,5.0671030392708145,299.4278846442806
10,0,0,48.505045141010974,0,0,-4.265932767098732,79.83937786360062,0,0,3.6827003072052698,4.962545377151437,294.0245013853596
11,0,0,48.18996633890371,0,0,-4.698367428326792,79.82372205112239,0,0,3.6435580146420583,4.903132229131754,290.842362237927
12,0,0,47.84443804176283,0,0,-5.131498291257507,79.80811424698165,0,0,3.6639024565695117,4.935215317293114,292.4091458436963
13,-0,-0,47.46855308329736,-0,-0,-5.561501773573065,79.79229388124696,-0,-0,3.726211735517217,5.028854283250524,297.32298186414107
14,-0,-0,47.06259962872074,-0,-0,-5.9869823074370245,79.7761742946168,-0,-0,3.784346500926534,5.113366450719209,301.90068604913836
15,-0,-0,46.626847793296655,-0,-0,-6.409780121854171,79.7598862816208,-0,-0,3.797854499781876,5.130689626906526,302.91644301674427
16,-0,-0,46.16136002965065,-0,-0,-6.833605197717347,79.74367461660059,-0,-0,3.7564363540333368,5.07008706169004,299.55203833400384
17,0,0,45.665941607121624,0,0,-7.261666023347354,79.72773700844827,0,0,3.683462734585214,4.969325928498004,293.6741481834296
18,0,0,45.140249747008454,0,0,-7.694744199430576,79.71210603397742,0,0,3.62110705579292,4.888980654287524,288.64606959174904
19,0,0,44.583992538978656,0,0,-8.130654730187288,79.69663188084485,0,0,3.607885630685904,4.87800645062142,287.5363329769642
20,0,0,43.99711164300968,0,0,-8.56519597108677,79.6810634904056,0,0,3.660478168007779,4.948646183822451,291.67079331027145
21,-0,-0,43.37986211327847,-0,-0,-8.993985748210292,79.66517955216392,-0,-0,3.7674509329885173,5.0708726008363385,300.1346550304977
22,-0,-0,42.73275883043396,-0,-0,-9.41426456215517,79.64890467929388,-0,-0,3.8961661275001287,5.1864338497624844,310.32536450395133
23,-0,-0,42.056421911302785,-0,-0,-9.82586029285803,79.63235946833724,-0,-0,4.00870202390526,5.234697783103392,319.22240056907475
24,-0,-0,41.351396829381216,-0,-0,-10.230919392851265,79.61582451644777,-0,-0,4.079789011769467,5.179186854259119,324.81576602516975
25,0,0,40.618035033365544,0,0,-10.632511273083766,79.5996327164216,0,0,4.109948260041915,5.025006696801191,327.15037198283244
26,0,0,39.85649818301473,0,0,-11.032614970668789,79.58402871967544,0,0,4.129481190845752,4.82178884930618,328.64074968962785
27,0,0,39.06690536536659,0,0,-11.43018283910943,79.56904283403874,0,0,4.192436535554224,4.652176004619452,333.588162276503
28,0,0,38.24959446828348,0,0,-11.819919471074925,79.55441887892881,0,0,4.362902532572389,4.610377832827308,347.0881756042032
