run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_descent_short_1,coarse,16,1,137,0.227029,0.283283,Solved,7.500000
zoh_direct_descent_short_1,fine,1,1,13,0.308280,0.317516,Solved,7.500000
zoh_direct_descent_short_1,total,17,2,150,0.535308,0.606355,Solved,7.500000
zoh_direct_descent_short_2,coarse,16,1,137,0.228501,0.285669,Solved,7.500000
zoh_direct_descent_short_2,fine,1,1,13,0.320185,0.328329,Solved,7.500000
zoh_direct_descent_short_2,total,17,2,150,0.548686,0.618911,Solved,7.500000
zoh_direct_descent_short_3,coarse,16,1,137,0.225755,0.282710,Solved,7.500000
zoh_direct_descent_short_3,fine,1,1,13,0.325284,0.333626,Solved,7.500000
zoh_direct_descent_short_3,total,17,2,150,0.551039,0.621289,Solved,7.500000
zoh_direct_descent_short_4,coarse,16,1,137,0.225464,0.285347,Solved,7.500000
zoh_direct_descent_short_4,fine,1,1,13,0.320617,0.328350,Solved,7.500000
zoh_direct_descent_short_4,total,17,2,150,0.546081,0.619389,Solved,7.500000
zoh_direct_descent_short_5,coarse,16,1,137,0.243596,0.303117,Solved,7.500000
zoh_direct_descent_short_5,fine,1,1,13,0.317772,0.327454,Solved,7.500000
zoh_direct_descent_short_5,total,17,2,150,0.561368,0.635539,Solved,7.500000
zoh_direct_descent_short_6,coarse,16,1,137,0.224318,0.279357,Solved,7.500000
zoh_direct_descent_short_6,fine,1,1,13,0.313695,0.321208,Solved,7.500000
zoh_direct_descent_short_6,total,17,2,150,0.538014,0.605468,Solved,7.500000
zoh_direct_descent_short_7,coarse,16,1,137,0.223121,0.278373,Solved,7.500000
zoh_direct_descent_short_7,fine,1,1,13,0.312791,0.319691,Solved,7.500000
zoh_direct_descent_short_7,total,17,2,150,0.535911,0.603810,Solved,7.500000
zoh_direct_descent_short_8,coarse,16,1,137,0.226166,0.285399,Solved,7.500000
zoh_direct_descent_short_8,fine,1,1,13,0.306902,0.313769,Solved,7.500000
zoh_direct_descent_short_8,total,17,2,150,0.533068,0.604776,Solved,7.500000
zoh_direct_descent_short_9,coarse,16,1,137,0.225429,0.282061,Solved,7.500000
zoh_direct_descent_short_9,fine,1,1,13,0.310776,0.318694,Solved,7.500000
zoh_direct_descent_short_9,total,17,2,150,0.536205,0.606231,Solved,7.500000
zoh_direct_descent_short_10,coarse,16,1,137,0.231504,0.293709,Solved,7.500000
zoh_direct_descent_short_10,fine,1,1,13,0.305862,0.312580,Solved,7.500000
zoh_direct_descent_short_10,total,17,2,150,0.537366,0.611660,Solved,7.500000
