t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,-0.00000000000003248855931186089,80.00000000009597,0,0,3.7059047757994756,5.000000000961177,296.4723820643137
1,0,0,50.00000000000001,0,0,-0.15260238060507916,79.99433704512163,0,0,3.7061671031425125,5.000353932518195,296.4723803943242
2,0,0,49.99618494048488,0,0,-0.305198203026551,79.98867409019336,0,0,3.706429425806052,5.000707857747249,296.4723753791028
3,0,0,49.988554985409216,0,0,-0.45778746738143533,79.983011135375,0,0,3.706691743713338,5.001061776589037,296.4723670128265
4,0,0,49.97711029872469,0,0,-0.6103701737886386,79.97734818073067,0,0,3.7069540568547796,5.001415688984158,296.4723552950468
5,0,0,49.96185104437998,0,0,-0.7629463223673069,79.97168522632438,0,0,3.707216365174891,5.001769594873199,296.4723402216448
6,0,0,49.9427773863208,0,0,-0.9155159132379733,79.96602227222002,0,0,3.7074786686295704,5.002123494196624,296.47232178941283
7,0,0,49.91988948848985,0,0,-1.068078946522274,79.96035931848162,0,0,3.7077409671563277,5.002477386894795,296.47229999367454
8,0,0,49.89318751482679,0,0,-1.2206354223434066,79.95469636517402,0,0,3.7080032607659383,5.002831272908074,296.4722748356158
9,0,0,49.86267162926821,0,0,-1.3731853408243002,79.94903341236093,0,0,3.7082655493317476,5.003185152176684,296.4722463054309
10,0,0,49.82834199574761,0,0,-1.5257287020910495,79.94337046010705,0,0,3.7085278328920617,5.003539024640796,296.47221440650804
11,0,0,49.79019877819534,0,0,-1.678265506268792,79.93770750847666,0,0,3.70879011135647,5.0038928902404995,296.4721791319441
12,0,0,49.74824214053863,0,0,-1.8307957534849253,79.93204455753411,0,0,3.70905238467257,5.004246748915824,296.472140477876
13,0,0,49.70247224670151,0,0,-1.9833194438681574,79.92638160734423,0,0,3.7093146528389185,5.004600600606703,296.472098444517
14,0,0,49.6528892606048,0,0,-2.1358365775472317,79.92071865797139,0,0,3.709576915768645,5.004954445252984,296.4720530252511
15,0,0,49.599493346166135,0,0,-2.288347154653064,79.91505570948026,0,0,3.7098391734247524,5.005308282794493,296.4720042174513
16,0,0,49.54228466729981,0,0,-2.440851175317494,79.90939276193551,0,0,3.710101425779905,5.005662113170922,296.47195201926337
17,0,0,49.48126338791687,0,0,-2.593348639673047,79.90372981540197,0,0,3.7103636727669067,5.006015936321903,296.47189642564945
18,0,0,49.41642967192505,0,0,-2.745839547853926,79.89806686994449,0,0,3.710625914386523,5.006369752187015,296.4718374370033
