t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,0.00000000000000007588627072595608,80.00000000000004,0,0,3.7059048673065424,5.0000000592444165,296.4723893845236
1,0,0,49.9849292339808,0,0,-0.41827557903154905,79.98368751439264,0,0,4.133009519155512,5.110288445073349,330.57334187414466
2,0,0,49.94100680834357,0,0,-0.8124780698532486,79.96706955272587,0,0,4.388282153724827,5.191235218191509,350.91806420389895
3,-0,-0,49.869541522765054,-0,-0,-1.1935762681459987,79.95024272083982,-0,-0,4.5065607734587685,5.242042927299557,360.3006276742442
4,-0,-0,49.77114595436633,-0,-0,-1.5702070637313776,79.93330310638775,-0,-0,4.518564668642825,5.263713105264811,361.18379926444146
5,-0,-0,49.64589232155704,-0,-0,-1.9489572832901358,79.91634111714771,-0,-0,4.451212216813334,5.258658844487983,355.7245939036697
6,-0,-0,49.49344907265066,-0,-0,-2.334623475715982,79.89943750169866,-0,-0,4.327922750923264,5.230362451348358,345.7985933495731
7,-0,-0,49.31319972975094,-0,-0,-2.7304507576741437,79.88266041054464,-0,-0,4.168902965356284,5.18307494990046,333.0230598660686
8,-0,-0,49.10434544002394,-0,-0,-3.138351803747233,79.86606336602303,-0,-0,3.99141832291527,5.121554341285827,318.7788686982563
9,-0,-0,48.86599261042975,-0,-0,-3.5591070327887038,79.84968401924144,-0,-0,3.8100499199453535,5.050839658979394,304.2312822051726
10,0,0,48.59722692826705,0,0,-3.9925470097668625,79.83354358185325,0,0,3.636937260785493,4.976057991011068,290.3495893133846
11,0,0,48.297174998448895,0,0,-4.43771805046968,79.81764682968539,0,0,3.4820073867766097,4.902261768689661,277.92563585609116
12,0,0,47.965054759251544,0,0,-4.893031984952882,79.80198258402962,0,0,3.353190799088194,4.8342937471080605,267.5912737497644
13,0,0,47.60021577132643,0,0,-5.356401004550696,79.78652458480089,0,0,3.256624608659297,4.776677225825586,259.8347594022626
14,0,0,47.202170410013075,0,0,-5.825358486630398,79.77123267773729,0,0,3.1968433405837238,4.733529178605959,255.01613395597917
15,0,0,46.770616928401594,0,0,-6.297166661058233,79.75605424534868,0,0,3.176957814303256,4.708494078936925,253.38161977275487
16,0,0,46.30545529814326,0,0,-6.768911952555673,79.74092581843817,0,0,3.1988225150066207,4.704696323270628,255.07706887549276
17,0,0,45.806796676661,0,0,-7.237588803760944,79.7257748117049,0,0,3.2631918656659327,4.72470926650216,260.1604998494693
18,0,0,45.2749672931421,0,0,-7.700172754871704,79.7105213332208,0,0,3.3698658031762383,4.770538994147276,268.6137599941708
19,0,0,44.71050749147052,0,0,-8.153683527230324,79.69508002345732,0,0,3.5178250560977826,4.843621062989269,280.353349354236
20,0,0,44.11416661604675,0,0,-8.595238830123668,79.6793618850472,0,0,3.705356515534541,4.9448285466391955,295.2404427143942
21,-0,-0,43.486894376218096,-0,-0,-9.022099582404442,79.66327606961217,-0,-0,3.9301690847165416,5.074489824493188,313.0901447960288
22,-0,-0,42.829829276772195,-0,-0,-9.431707213301275,79.64673159279586,-0,-0,4.189500386887409,5.232414651975469,333.68001282233587
23,-0,-0,42.144284655601076,-0,-0,-9.821713679969271,79.62963895312217,-0,-0,4.480214705132586,5.4179271467258125,356.7578794021765
24,-0,-0,41.43173282519106,-0,-0,-10.190004812942501,79.6119116344823,-0,-0,4.798892521817545,5.6299044195256975,382.0490073903163
25,-0,-0,40.69378777200584,-0,-0,-10.534717574684139,79.59346747593234,-0,-0,5.14191201933933,5.8668196702581366,409.2626070753905
26,-0,-0,39.93218682707695,-0,-0,-10.854251790889135,79.57422989610414,-0,-0,5.505522897928735,6.1267886580623285,438.09774477804666
27,-0,-0,39.14877168216315,-0,-0,-11.147276889078038,79.55412896286505,-0,-0,5.885912860274247,6.407618541075501,468.24867075044335
28,-0,-0,38.34546908866503,-0,-0,-11.412734154329605,79.53310230196888,-0,-0,6.279267106773023,6.706858164751256,499.409593184367
29,-0,-0,37.524271541044186,-0,-0,-11.649834987732826,79.51109584127543,-0,-0,6.681821179247962,7.0218489587055135,531.2789241774487
30,-0,-0,36.68721821277576,-0,-0,-11.858055629297764,79.48806438972606,-0,-0,7.089907485003959,7.34977568036858,563.5630226851955
31,-0,-0,35.8363763808227,-0,-0,-12.037128783647127,79.46397205264414,-0,-0,7.499995827130418,7.687716319414453,595.9794588020392
32,-0,-0,34.97382354423296,-0,-0,-12.187032563818745,79.43879248706969,-0,-0,7.908728260990914,8.032690549996438,628.2598231614808
33,-0,-0,34.10163041369507,-0,-0,-12.307977145941356,79.4125090027657,-0,-0,8.312948590875004,8.381706188241306,660.1521048123898
34,-0,-0,33.2218449217139,-0,-0,-12.400389505403789,79.38511451624314,-0,-0,8.709726814821085,8.731803180242899,691.4226605997654
35,0,0,32.33647737745523,0,0,-12.464896583419458,79.35661136663367,0,0,9.096378819653044,9.08009471094976,721.8577988348845
36,0,0,31.44748686622794,0,0,-12.502307211595468,79.32701100353353,0,0,9.470481622307604,9.423805086860753,751.2649998615574
37,0,0,30.556768970990436,0,0,-12.513593101246828,79.29633355800279,0,0,9.829884447562995,9.760304105326831,779.4737959905791
38,0,0,29.666144872159784,0,0,-12.499869183753226,79.26460730879077,0,0,10.17271592631377,10.08713768050719,806.3363331631429
39,0,0,28.77735186233214,0,0,-12.462373568236858,79.23186805652942,0,0,10.497387692570259,10.402054550642806,831.7276365959626
40,0,0,27.89203529426426,0,0,-12.40244736324593,79.19815841913925,0,0,10.802594651395367,10.703028943291052,855.5456025389566
41,0,0,27.01174196358677,0,0,-12.3215145899594,79.16352706199515,0,0,11.087312184025265,10.98827912451053,877.7107381248727
42,0,0,26.13791491219081,0,0,-12.221062395683953,79.12802787655303,0,0,11.350790550454374,11.256281804696462,898.1656710972684
43,0,0,25.27188962401972,0,0,-12.1026217580949,79.0917191211085,0,0,11.592546743799232,11.505782417843117,916.8744509588898
44,0,0,24.414891572076645,0,0,-11.967748852777632,79.0546625371991,0,0,11.812354044789524,11.735801332451517,933.8216627807548
45,0,0,23.568035063798014,0,0,-11.818007239156437,79.01692245483984,0,0,12.010229518768718,11.94563609110754,949.0113745493762
46,0,0,22.73232332150906,0,0,-11.65495100285212,78.9785648993463,0,0,12.186419691620562,12.134859811927713,962.4659385053262
47,0,0,21.908649725444064,0,0,-11.480108975889536,78.93965671193995,0,0,12.341384635071767,12.303315918607657,974.2246664425755
48,0,0,21.097800138747402,0,0,-11.294970139980332,78.90026469565818,0,0,12.475780685854941,12.451109396710839,984.3423983989348
