group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_1,cgl,0.074300,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_2,cgl,0.074003,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_3,cgl,0.071113,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_4,cgl,0.072783,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_5,cgl,0.075660,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_6,cgl,0.080632,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_7,cgl,0.077389,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_8,cgl,0.074802,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_9,cgl,0.080751,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,cgl_direct_descent_ultra_short_10,cgl,0.084412,7.120000,0.050000,0.100000,0.010000,10,,
cgl_direct_descent_ultra_short,set_1_avg,cgl,,7.120000,0.050000,0.100000,0.010000,10,0.076584,0.001316
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_1,zoh,0.074559,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_2,zoh,0.088306,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_3,zoh,0.081201,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_4,zoh,0.076405,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_5,zoh,0.074529,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_6,zoh,0.076836,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_7,zoh,0.073639,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_8,zoh,0.074686,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_9,zoh,0.073280,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,zoh_direct_descent_ultra_short_10,zoh,0.069417,7.100000,0.050000,0.200000,0.010000,10,,
zoh_direct_descent_ultra_short,set_1_avg,zoh,,7.100000,0.050000,0.200000,0.010000,10,0.076286,0.001636
