t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,-0.00000000000006984334834274985,79.99999999999017,0,0,3.7059047751679377,5.000000000327475,296.4723820133986
1,0,0,49.99999999999999,0,0,-0.3052047612417412,79.98867449070447,0,0,3.7064294065420595,5.000707832040414,296.47237532266774
2,0,0,49.98473976193791,0,0,-0.6103832909147048,79.9773489817876,0,0,3.7069540189854466,5.001415638182747,296.4723552358392
3,0,0,49.95422059739217,0,0,-0.9155355899654974,79.96602347375162,0,0,3.707478612132618,5.002123418279029,296.472321726229
4,0,0,49.9084438178939,0,0,-1.2206616593589297,79.95469796710908,0,0,3.708003185631623,5.002831171852577,296.47227476825475
5,0,0,49.84741073492595,0,0,-1.5257615000774105,79.94337246237399,0,0,3.708527739140582,5.003538898425553,296.4722143371613
6,0,0,49.77112265992208,0,0,-1.8308351131204414,79.93204696006103,0,0,3.7090522722532207,5.004246597518922,296.4721404030655
7,0,0,49.67958090426604,0,0,-2.1358824995078387,79.92072146068587,0,0,3.7095767846410626,5.004954268652478,296.47205294232504
8,0,0,49.57278677929065,0,0,-2.440903660275843,79.90939596476527,0,0,3.710101275981995,5.00566191134474,296.4719519318261
9,0,0,49.45074159627685,0,0,-2.7458985964767986,79.89807047281703,0,0,3.710625745897116,5.006369525113025,296.471837343937
10,0,0,49.313446666453004,0,0,-3.0508673091819967,79.88674498535947,0,0,3.711150194028841,5.00707710947343,296.4717091527493
11,0,0,49.16090330099391,0,0,-3.355809799480607,79.87541950291286,0,0,3.7116746200021846,5.007784663940781,296.47156733098916
12,0,0,48.99311281101988,0,0,-3.6607260684805487,79.86409402599763,0,0,3.712199023490943,5.0084921880287,296.4714118552973
13,0,0,48.810076507595845,0,0,-3.965616117306051,79.85276855513544,0,0,3.7127234041175,5.009199681249556,296.47124269822933
14,0,0,48.611795701730536,0,0,-4.270479947100223,79.84144309084877,0,0,3.713247761527017,5.009907143114442,296.4710598341809
15,0,0,48.39827170437553,0,0,-4.57531755902392,79.83011763366167,0,0,3.7137720953865787,5.010614573133248,296.47086323932075
16,0,0,48.16950582642433,0,0,-4.880128954254636,79.81879218409853,0,0,3.7142964053352174,5.011321970814596,296.4706528875959
17,0,0,47.92549937871159,0,0,-5.184914133987919,79.80746674268512,0,0,3.7148206910757726,5.012029335665866,296.4704287580683
18,0,0,47.66625367201219,0,0,-5.489673099434172,79.7961413099483,0,0,3.715344952333131,5.012736667193162,296.47019083157767
19,0,0,47.391770017040486,0,0,-5.794405851817556,79.78481588641576,0,0,3.715869188995221,5.013443964901344,296.46993910198876
20,0,0,47.1020497244496,0,0,-6.099112392367835,79.77349047261619,0,0,3.7163934004504213,5.014151228294168,296.46967352332535
21,0,0,46.79709410483122,0,0,-6.403792722345352,79.76216506907912,0,0,4.971669480438154,5.014858456869637,396.5511217676108
22,0,0,46.47690446871395,0,0,-6.645709248323481,79.75083967633545,0,0,5.0155656327553695,5.015565650139109,399.99557066401144
23,0,0,46.144619006297766,0,0,-6.885430966685749,79.73951429491696,0,0,5.016272797183351,5.016272807598515,399.9951564182049
24,0,0,45.80034745796347,0,0,-7.125117326826615,79.72818892535638,0,0,5.0169799216598925,5.016979928748636,399.9947230288195
25,0,0,45.44409159162215,0,0,-7.364768330743654,79.7168635681876,0,0,5.017687008739896,5.017687013079381,399.9942707035857
26,0,0,45.07585317508495,0,0,-7.6043839803066895,79.70553822394541,0,0,5.018394057776556,5.018394060094049,399.9937993949298
27,0,0,44.69563397606962,0,0,-7.843964277417892,79.69421289316567,0,0,5.019101066421814,5.0191010692833125,399.9933089197349
28,0,0,44.303435762198724,0,0,-8.083509224096831,79.68288757638513,0,0,5.019808037791641,5.019808040141162,399.99279953038575
29,0,0,43.899260300993866,0,0,-8.323018822207276,79.67156227414166,0,0,5.020514970708678,5.020514972162492,399.99227113707695
30,0,0,43.48310935988351,0,0,-8.562493073671869,79.6602369869746,0,0,5.021221863778939,5.021221864837674,399.99172363280854
31,0,0,43.05498470619992,0,0,-8.801931980482948,79.64891171542348,0,0,5.021928716657994,5.021928717655399,399.99115699424254
32,0,0,42.61488810717577,0,0,-9.041335544650073,79.63758646002957,0,0,5.022635528933037,5.022635530104087,399.9905711926211
33,0,0,42.16282132994327,0,0,-9.280703768203441,79.62626122133476,0,0,5.023342300484332,5.023342301671973,399.9899662225461
34,0,0,41.698786141533084,0,0,-9.520036653179247,79.6149359998821,0,0,5.024049030468265,5.024049031846959,399.98934202100065
35,0,0,41.22278430887412,0,0,-9.759334201655856,79.60361079621575,0,0,5.024755719083692,5.024755720115888,399.9886986079974
36,0,0,40.734817598791324,0,0,-9.998596415701689,79.59228561088105,0,0,5.02546236491218,5.025462365964037,399.98803587482394
37,0,0,40.23488777800625,0,0,-10.2378232974561,79.58096044442404,0,0,5.026168968204067,5.026168968875648,399.98735384563946
