t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,0.0000000000000012154468746882755,80.00000000000061,0,0,12.49999994668969,12.499999958008269,999.9999957351828
1,0,0,50.00614728701857,0,0,0.0725531999867946,79.9540594887443,0,0,9.012246642666039,9.012246643966083,720.5657041949567
2,-0,-0,50.00631854496865,-0,-0,-0.09565237833051832,79.9190412131838,-0,-0,7.333147253045024,7.3331472514404314,586.0580975384509
3,-0,-0,49.984463586059334,-0,-0,-0.36951639783263596,79.8888183607192,-0,-0,6.708853664658493,6.708853663276127,535.9623918245477
4,-0,-0,49.934447007170206,-0,-0,-0.6735359923836853,79.8599707402607,-0,-0,6.638651334999951,6.638651334766455,530.1625013678887
5,0,0,49.85538071602603,0,0,-0.9709534356721511,79.83083505644825,0,0,6.805932005110032,6.805932005888293,543.3232353053411
6,0,0,49.74866496300991,0,0,-1.2487688992446473,79.80082413597931,0,0,7.024530662551362,7.024530663820823,560.5633360400554
7,0,0,49.61624118236816,0,0,-1.5072805227167065,79.76995244249834,0,0,7.1976407126975595,7.197640713924884,574.1554573500741
8,0,0,49.45967618022004,0,0,-1.7530615176595594,79.73851781088558,0,0,7.2869289502897265,7.286928951098137,581.0489138893352
9,0,0,49.27979148479157,0,0,-1.9944946927670553,79.70689930900014,0,0,7.289832351551749,7.289832351767261,581.0499332246269
10,-0,-0,49.07662732157125,-0,-0,-2.239162950310517,79.6754393161627,-0,-0,7.223336113925777,7.223336113555264,575.5224782053397
11,-0,-0,48.84959062085595,-0,-0,-2.4925439025884533,79.64438471559862,-0,-0,7.112810671876345,7.112810671054437,566.4954295601351
12,-0,-0,48.59768327506314,-0,-0,-2.757581368520214,79.61386776949526,-0,-0,6.984728272800812,6.984728271729253,556.0812331166188
13,-0,-0,48.31974277900066,-0,-0,-3.0348093717283553,79.583911937247,-0,-0,6.862290520675192,6.862290519568504,546.1279244852193
14,-0,-0,48.01465435340367,-0,-0,-3.322788293062715,79.55445173511363,-0,-0,6.763180265267108,6.763180264311489,538.0410979890652
15,-0,-0,47.681513349774924,-0,-0,-3.6186806589253595,79.52535883112351,-0,-0,6.698807285353771,6.698807284681411,532.7250531083031
16,-0,-0,47.31973060334753,-0,-0,-3.9188480251659845,79.49646902700351,-0,-0,6.674550124521135,6.674550124199124,530.6031672431768
17,0,0,46.92908266767518,0,0,-4.219392644886662,79.46760669572497,0,0,6.690608722185342,6.690608722216766,531.6866624896118
18,0,0,46.50971456555242,0,0,-4.516599953514838,79.4386047065133,0,0,6.743176479845421,6.743176480179243,535.6685308486983
19,0,0,46.06210569460483,0,0,-4.80726201666514,79.40931895665355,0,0,6.825718267088559,6.82571826763494,542.025638979492
20,0,0,45.58701055109078,0,0,-5.0888794180711745,79.37963740917623,0,0,6.930204581110108,6.930204581757998,550.1171268199324
21,0,0,45.0853855707503,0,0,-5.359750886933602,79.34948406624838,0,0,7.04820343784729,7.048203438481686,559.2713063871406
22,0,0,44.55831210556961,0,0,-5.618967380984225,79.31881864030196,0,0,7.171772244242863,7.171772244759799,568.856501970651
23,0,0,44.00692373608137,0,0,-5.866331306657447,79.28763286165415,0,0,7.29412338185794,7.294123382175927,578.3337767483595
24,0,0,43.432344051460134,0,0,-6.102222886881502,79.25594441934071,0,0,7.410060882854409,7.410060882921687,587.2913734754397
25,0,0,42.83563893311202,0,0,-6.327435071865333,79.22378950216272,0,0,7.516202627853153,7.516202627650695,595.4620548446404
26,-0,-0,42.217785409657544,-0,-0,-6.542996408803366,79.19121481569813,-0,-0,7.611014043646657,7.611014043187213,602.7254480957176
27,-0,-0,41.579657419357915,-0,-0,-6.749998422473552,79.15826982000797,-0,-0,7.694686311948006,7.6946863112719095,609.0980552615023
28,-0,-0,40.922027385624276,-0,-0,-6.9494407008929056,79.12499977971133,-0,-0,7.768895492978321,7.768895492146914,614.71385417051
29,-0,-0,40.24558141413723,-0,-0,-7.1421033401712855,79.09144005728699,-0,-0,7.836479491644684,7.836479490732244,619.7984479735743
30,-0,-0,39.550945161637365,-0,-0,-7.328452922663809,79.05761192285819,-0,-0,7.901068125536641,7.9010681246218315,624.6395776447404
31,-0,-0,38.838716991700004,-0,-0,-7.508584964067672,79.02352000760021,-0,-0,7.966698280297623,7.966698279455268,629.5565409476135
32,-0,-0,38.10950489199761,-0,-0,-7.682202897458801,78.98915139902657,-0,-0,8.037441764175574,8.037441763469511,634.8707043713235
33,-0,-0,37.36396374070056,-0,-0,-7.848631249840943,78.9544762684645,-0,-0,8.117068428940023,8.117068428417568,640.8788866422475
34,-0,-0,36.602829830557106,-0,-0,-8.00685875619739,78.91944983597894,-0,-0,8.208761768404377,8.208761768092696,647.830962597091
35,0,0,35.82695003869279,0,0,-8.155605762494876,78.88401541637027,0,0,8.31489883432639,8.31489883423101,655.9126078325622
36,0,0,35.03730361895686,0,0,-8.293409382223492,78.84810825106122,0,0,8.436901160303426,8.436901160408798,665.2336959911086
37,0,0,34.235015244405766,0,0,-8.418719460228218,78.8116598132294,0,0,8.575158642789425,8.575158643061293,675.8224857999941
38,0,0,33.4213585966613,0,0,-8.529998416671557,78.77460227529119,0,0,8.729024132716484,8.729024133105844,687.6254043061596
39,0,0,32.59775044781814,0,0,-8.625818435632922,78.73687284621225,0,0,8.896872937483781,8.896872937931885,700.5119532075673
40,0,0,31.765735776597094,0,0,-8.7049501623711,78.69841771818075,0,0,9.07621858010486,9.076218580548838,714.2840411186056
41,0,0,30.92696497727447,0,0,-8.766438011878844,78.6591954048843,0,0,9.263874036289689,9.263874036668302,728.6888780267449
42,0,0,30.083164637966572,0,0,-8.809658299142697,78.61917930380115,0,0,9.456146269178234,9.456146269437241,743.4344590594939
43,0,0,29.236103671182903,0,0,-8.834357609964192,78.57835936951761,0,0,9.649051179319331,9.649051179416096,758.2066111434222
44,0,0,28.38755676767301,0,0,-8.840670075268411,78.53674284114827,0,0,9.838536038234043,9.838536038140996,772.6865747681567
45,-0,-0,27.5392672139785,-0,-0,-8.829113431725219,78.49435402175935,-0,-0,10.020697015147382,10.020697014854136,786.5681390517658
46,-0,-0,26.692911069695953,-0,-0,-8.800564894067593,78.45123315887813,-0,-0,10.191980463075321,10.19198046258929,799.5734356594527
47,-0,-0,25.85006455192843,-0,-0,-8.75621888423379,78.40743452062223,-0,-0,10.349358117806005,10.34935811715152,811.4666189523446
48,-0,-0,25.01217623539052,-0,-0,-8.697529522362185,78.3630238000477,-0,-0,10.490468190426304,10.490468189642339,822.0648084800198
49,-0,-0,24.180545363903025,-0,-0,-8.626141456631354,78.31807500974638,-0,-0,10.61371640641247,10.61371640554917,831.2458376495877
