run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_descent_very_short_1,coarse,16,1,137,0.237889,0.314350,Solved,7.500000
zoh_direct_descent_very_short_1,fine,1,1,11,0.084164,0.088973,Solved,7.500000
zoh_direct_descent_very_short_1,total,17,2,148,0.322052,0.408678,Solved,7.500000
zoh_direct_descent_very_short_2,coarse,16,1,137,0.228693,0.283334,Solved,7.500000
zoh_direct_descent_very_short_2,fine,1,1,11,0.087230,0.092325,Solved,7.500000
zoh_direct_descent_very_short_2,total,17,2,148,0.315923,0.379770,Solved,7.500000
zoh_direct_descent_very_short_3,coarse,16,1,137,0.229001,0.283106,Solved,7.500000
zoh_direct_descent_very_short_3,fine,1,1,11,0.087900,0.092956,Solved,7.500000
zoh_direct_descent_very_short_3,total,17,2,148,0.316901,0.380551,Solved,7.500000
zoh_direct_descent_very_short_4,coarse,16,1,137,0.232695,0.292684,Solved,7.500000
zoh_direct_descent_very_short_4,fine,1,1,11,0.086560,0.091351,Solved,7.500000
zoh_direct_descent_very_short_4,total,17,2,148,0.319255,0.388624,Solved,7.500000
zoh_direct_descent_very_short_5,coarse,16,1,137,0.231907,0.291094,Solved,7.500000
zoh_direct_descent_very_short_5,fine,1,1,11,0.085582,0.090822,Solved,7.500000
zoh_direct_descent_very_short_5,total,17,2,148,0.317490,0.386569,Solved,7.500000
zoh_direct_descent_very_short_6,coarse,16,1,137,0.239602,0.297800,Solved,7.500000
zoh_direct_descent_very_short_6,fine,1,1,11,0.093026,0.100149,Solved,7.500000
zoh_direct_descent_very_short_6,total,17,2,148,0.332628,0.402154,Solved,7.500000
zoh_direct_descent_very_short_7,coarse,16,1,137,0.229845,0.282843,Solved,7.500000
zoh_direct_descent_very_short_7,fine,1,1,11,0.087147,0.091794,Solved,7.500000
zoh_direct_descent_very_short_7,total,17,2,148,0.316992,0.378775,Solved,7.500000
zoh_direct_descent_very_short_8,coarse,16,1,137,0.234049,0.292032,Solved,7.500000
zoh_direct_descent_very_short_8,fine,1,1,11,0.086841,0.092052,Solved,7.500000
zoh_direct_descent_very_short_8,total,17,2,148,0.320890,0.388881,Solved,7.500000
zoh_direct_descent_very_short_9,coarse,16,1,137,0.231404,0.288136,Solved,7.500000
zoh_direct_descent_very_short_9,fine,1,1,11,0.084232,0.088891,Solved,7.500000
zoh_direct_descent_very_short_9,total,17,2,148,0.315636,0.381148,Solved,7.500000
zoh_direct_descent_very_short_10,coarse,16,1,137,0.227456,0.281218,Solved,7.500000
zoh_direct_descent_very_short_10,fine,1,1,11,0.085889,0.090025,Solved,7.500000
zoh_direct_descent_very_short_10,total,17,2,148,0.313345,0.376287,Solved,7.500000
zoh_direct_descent_very_short_1,coarse,16,1,137,0.229654,0.286424,Solved,7.500000
zoh_direct_descent_very_short_1,fine,1,1,12,0.144327,0.149848,Solved,7.500000
zoh_direct_descent_very_short_1,total,17,2,149,0.373981,0.441723,Solved,7.500000
zoh_direct_descent_very_short_2,coarse,16,1,137,0.226671,0.278411,Solved,7.500000
zoh_direct_descent_very_short_2,fine,1,1,12,0.143768,0.149472,Solved,7.500000
zoh_direct_descent_very_short_2,total,17,2,149,0.370439,0.432676,Solved,7.500000
zoh_direct_descent_very_short_3,coarse,16,1,137,0.245446,0.325480,Solved,7.500000
zoh_direct_descent_very_short_3,fine,1,1,12,0.141105,0.146420,Solved,7.500000
zoh_direct_descent_very_short_3,total,17,2,149,0.386551,0.477396,Solved,7.500000
zoh_direct_descent_very_short_4,coarse,16,1,137,0.227267,0.280397,Solved,7.500000
zoh_direct_descent_very_short_4,fine,1,1,12,0.145437,0.151250,Solved,7.500000
zoh_direct_descent_very_short_4,total,17,2,149,0.372704,0.437017,Solved,7.500000
zoh_direct_descent_very_short_5,coarse,16,1,137,0.228922,0.279893,Solved,7.500000
zoh_direct_descent_very_short_5,fine,1,1,12,0.147106,0.152018,Solved,7.500000
zoh_direct_descent_very_short_5,total,17,2,149,0.376027,0.436012,Solved,7.500000
zoh_direct_descent_very_short_6,coarse,16,1,137,0.226277,0.275123,Solved,7.500000
zoh_direct_descent_very_short_6,fine,1,1,12,0.143433,0.149756,Solved,7.500000
zoh_direct_descent_very_short_6,total,17,2,149,0.369710,0.428368,Solved,7.500000
zoh_direct_descent_very_short_7,coarse,16,1,137,0.229297,0.282035,Solved,7.500000
zoh_direct_descent_very_short_7,fine,1,1,12,0.145559,0.151405,Solved,7.500000
zoh_direct_descent_very_short_7,total,17,2,149,0.374856,0.437545,Solved,7.500000
zoh_direct_descent_very_short_8,coarse,16,1,137,0.226872,0.277720,Solved,7.500000
zoh_direct_descent_very_short_8,fine,1,1,12,0.153033,0.159855,Solved,7.500000
zoh_direct_descent_very_short_8,total,17,2,149,0.379905,0.441414,Solved,7.500000
zoh_direct_descent_very_short_9,coarse,16,1,137,0.224452,0.276007,Solved,7.500000
zoh_direct_descent_very_short_9,fine,1,1,12,0.143225,0.148855,Solved,7.500000
zoh_direct_descent_very_short_9,total,17,2,149,0.367677,0.429341,Solved,7.500000
zoh_direct_descent_very_short_10,coarse,16,1,137,0.225598,0.275230,Solved,7.500000
zoh_direct_descent_very_short_10,fine,1,1,12,0.147042,0.152990,Solved,7.500000
zoh_direct_descent_very_short_10,total,17,2,149,0.372640,0.432686,Solved,7.500000
zoh_direct_descent_very_short_1,coarse,16,1,137,0.232180,0.286986,Solved,7.500000
zoh_direct_descent_very_short_1,fine,1,1,12,0.140311,0.146864,Solved,7.500000
zoh_direct_descent_very_short_1,total,17,2,149,0.372491,0.439762,Solved,7.500000
zoh_direct_descent_very_short_2,coarse,16,1,137,0.228818,0.287066,Solved,7.500000
zoh_direct_descent_very_short_2,fine,1,1,12,0.142658,0.148326,Solved,7.500000
zoh_direct_descent_very_short_2,total,17,2,149,0.371476,0.440300,Solved,7.500000
zoh_direct_descent_very_short_3,coarse,16,1,137,0.241220,0.299080,Solved,7.500000
zoh_direct_descent_very_short_3,fine,1,1,12,0.140488,0.146938,Solved,7.500000
zoh_direct_descent_very_short_3,total,17,2,149,0.381708,0.450897,Solved,7.500000
zoh_direct_descent_very_short_4,coarse,16,1,137,0.226056,0.279592,Solved,7.500000
zoh_direct_descent_very_short_4,fine,1,1,12,0.140471,0.145729,Solved,7.500000
zoh_direct_descent_very_short_4,total,17,2,149,0.366528,0.430073,Solved,7.500000
zoh_direct_descent_very_short_5,coarse,16,1,137,0.234841,0.290608,Solved,7.500000
zoh_direct_descent_very_short_5,fine,1,1,12,0.141534,0.146891,Solved,7.500000
zoh_direct_descent_very_short_5,total,17,2,149,0.376375,0.441888,Solved,7.500000
zoh_direct_descent_very_short_6,coarse,16,1,137,0.230394,0.282740,Solved,7.500000
zoh_direct_descent_very_short_6,fine,1,1,12,0.141005,0.146600,Solved,7.500000
zoh_direct_descent_very_short_6,total,17,2,149,0.371399,0.433230,Solved,7.500000
zoh_direct_descent_very_short_7,coarse,16,1,137,0.224518,0.275639,Solved,7.500000
