t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,0.000000000000048817199248328774,80.00000000001333,0,0,5.160551705544182,5.160551709814687,412.84413644360336
1,0,0,50.00000000000001,0,0,-0.4184503465009276,79.97896076213854,0,0,5.17057129851367,5.1705713026308935,413.5369190016645
2,0,0,49.962339468814925,0,0,-0.8359989296346517,79.95788622427051,0,0,5.180773633859003,5.180773636030788,414.2437087697986
3,0,0,49.887099565147814,0,0,-1.2526293025872972,79.93677567270204,0,0,5.189931795055686,5.189931796238074,414.86641365799017
4,0,0,49.77436292791496,0,0,-1.6684354410322428,79.91563339199018,0,0,5.197390421045527,5.1973904233181125,415.35274748331585
5,0,0,49.62420373822206,0,0,-2.0835703031381043,79.89446633091869,0,0,5.204871843083547,5.204871846436268,415.84045822398514
6,0,0,49.436682410939625,0,0,-2.4980318372605455,79.87327441933931,0,0,5.21331943300326,5.2133194362147535,416.4048937079438
7,0,0,49.21185954558618,0,0,-2.9117330882902137,79.85205374777108,0,0,5.222260320440509,5.222260323185216,417.00821179266774
8,0,0,48.94980356764007,0,0,-3.324629659450531,79.83080233497465,0,0,5.231526635937028,5.231526638241929,417.6369687836438
9,0,0,48.65058689828952,0,0,-3.7366922622161636,79.80951888473298,0,0,5.2411464780023955,5.241146479975663,418.29337881378393
10,0,0,48.31428459469006,0,0,-4.147889079195914,79.78820198800952,0,0,5.251314929383358,5.251314931121757,418.9929762882893
11,0,0,47.940974577562436,0,0,-4.55817073555138,79.76684944421895,0,0,5.262379826262023,5.2623798278325635,419.7634593197379
12,0,0,47.53073921136281,0,0,-4.967456551187767,79.74545764142852,0,0,5.274832875654465,5.274832877095163,420.64396165111776
13,0,0,47.083668121755906,0,0,-5.375621592378836,79.72402097366492,0,0,5.289284297861022,5.2892842991847235,421.6830122983487
14,0,0,46.59986217844182,0,0,-5.782486005571316,79.70253136218484,0,0,5.306412920431471,5.306412921634084,422.9345422113922
15,0,0,46.0794384379404,0,0,-6.187808842732458,79.6809779802342,0,0,5.326902007711657,5.3269020087827945,424.4527615793379
16,0,0,45.52253564209448,0,0,-6.591287662038384,79.65934723883018,0,0,5.351386845027081,5.351386845962389,426.28798289732015
17,0,0,44.92931975251103,0,0,-6.9925628459859235,79.63762298538506,0,0,5.38043838386044,5.380438384666693,428.48532350997226
18,0,0,44.29998909637229,0,0,-7.391223391438462,79.61578676844385,0,0,5.4145867693797785,5.41458677007323,431.0865856701777
