t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.0000000000000002260101655450763,80.00000000000004,0,0,5.103925528094555,5.103925754236341,408.3140422475646
1,0,0,49.96785075088731,0,0,-0.5351750676293684,79.97158461732619,0,0,5.480053309094448,5.480053476724293,438.248546915705
2,0,0,49.87487492791663,0,0,-1.0270203236664313,79.94121767843826,0,0,5.8353463861544395,5.8353465026201965,466.4846956846601
3,0,0,49.72606245417247,0,0,-1.4779636282984243,79.9090112839899,0,0,6.170495993051415,6.170496065067462,493.07823393655997
4,0,0,49.52612038164495,0,0,-1.8903515102801751,79.87507381071153,0,0,6.486183578411954,6.486183612096222,518.0843920754799
5,0,0,49.27948246030175,0,0,-2.2664503264744242,79.83950994726311,0,0,6.783080805712325,6.783080806621995,541.5578474607587
6,0,0,48.99031856975473,0,0,-2.608447421392126,79.80242073254631,0,0,7.061849553278497,7.06184952644435,563.5526892006749
7,-0,-0,48.66254401352063,-0,-0,-2.9184522867327614,79.76390359628436,-0,-0,7.323141914286127,7.323141864245595,584.122385673028
8,-0,-0,48.29982867587668,-0,-0,-3.198497720924657,79.72405240169574,-0,-0,7.567600196760572,7.567600127589517,603.3197546416228
9,-0,-0,47.90560604131031,-0,-0,-3.4505409886652862,79.68295749008891,-0,-0,7.795856923576872,7.7958568389201055,621.1969358401913
10,-0,-0,47.483082076563534,-0,-0,-3.6764649804615903,79.64070572721802,-0,-0,8.008534832459777,8.00853473556034,637.8053658981044
11,-0,-0,47.035243975271804,-0,-0,-3.878079372170281,79.59738055124612,-0,-0,8.206246875983714,8.206246769710965,653.1957554851504
12,-0,-0,46.56486876519731,-0,-0,-4.057121784538156,79.55306202217068,-0,-0,8.389596221572816,8.389596108449311,667.418068555751
13,-0,-0,46.07453177805664,-0,-0,-4.215258942742407,79.50782687257485,-0,-0,8.559176251500903,8.559176133728126,680.5215035761879
14,-0,-0,45.56661498194311,-0,-0,-4.35408783593094,79.46174855957642,-0,-0,8.715570562891493,8.715570442374458,692.5544766217298
15,-0,-0,45.04331517634344,-0,-0,-4.475136876762675,79.41489731784904,-0,-0,8.859352967717793,8.859352846088516,703.5646062338897
16,-0,-0,44.50665204974897,-0,-0,-4.579867060947864,79.36734021360606,-0,-0,8.991087492802711,8.99108737144259,713.5986999315711
17,-0,-0,43.95847609986123,-0,-0,-4.669673126788399,79.31914119943534,-0,-0,9.111328379818847,9.111328259879992,722.7027422732735
18,-0,-0,43.400476416392145,-0,-0,-4.745884714718127,79.27036116988639,-0,-0,9.22062008528849,9.220619967713994,730.9218843711271
19,-0,-0,42.83418832645857,-0,-0,-4.809767526843159,79.2210580177155,-0,-0,9.31949728058362,9.319497166126817,738.3004347610569
20,-0,-0,42.261000902571496,-0,-0,-4.8625244864821795,79.17128669070041,-0,-0,9.40848485192593,9.408484741168651,744.8818515369398
21,-0,-0,41.68216433321941,-0,-0,-4.905296897706761,79.12109924894233,-0,-0,9.488097900386785,9.488097793756644,750.7087356601842
22,-0,-0,41.09879715604642,-0,-0,-4.939165604881673,79.07054492258135,-0,-0,9.55884174188726,9.558841639674,755.8228253597423
23,-0,-0,40.51189335362475,-0,-0,-4.965152152205196,79.01967016985161,-0,-0,9.621211907198107,9.621211809569008,760.2649915410434
24,-0,-0,39.92232931182172,-0,-0,-4.9842199432494265,78.96851873541416,-0,-0,9.675694141939786,9.675694048954174,764.0752341259091
25,0,0,39.33087064076109,0,0,-4.997275400500598,78.91713170890606,0,0,9.722764406582453,9.72276431820533,767.2926792489312
26,0,0,38.7381788583791,0,0,-5.005169124899383,78.86554758365031,0,0,9.762888876445945,9.762888792560771,769.955577239238
27,0,0,38.14481793657476,0,0,-5.008697055381213,78.81380231547755,0,0,9.796523941699805,9.796523862120443,772.1013013199713
28,0,0,37.55126070995471,0,0,-5.008601628416574,78.76192938161172,0,0,9.824116207363257,9.824116131845116,773.766346961092
29,0,0,36.95789514717265,0,0,-5.005572937551343,78.70995983958086,0,0,9.846102493305239,9.846102421555617,774.9863318244523
30,0,0,36.36503048486302,0,0,-5.000249892947073,78.65792238611083,0,0,9.862909834244363,9.862909765932056,775.7959962432022
31,0,0,35.77290322416934,0,0,-4.993221380921324,78.60584341597215,0,0,9.874955479748943,9.874955414513096,776.2292041808415
32,0,0,35.181682989867,0,0,-4.985027423487962,78.55374708074837,0,0,9.882646894236991,9.882646831695242,776.318944618236
33,0,0,34.59147825208036,0,0,-4.976160337897475,78.50165534749581,0,0,9.88638175697621,9.886381696732156,776.0973333199165
34,0,0,34.0023419105946,0,0,-4.967065896177285,78.4495880572764,0,0,9.88654796208399,9.886547903733966,775.5956149339945
