t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999948,0,0,-0.000000000004969622862480174,79.99999999953258,0,0,4.21997459799071,5.0045280349335854,337.5979678372843
1,0,0,49.96228428476723,0,0,-0.6784981315087748,79.9747978017491,0,0,3.7459879043845765,5.067739423879999,299.58462522095436
2,0,0,49.84904161243503,0,0,-1.3576553959570787,79.94964015490174,0,0,3.7327541282908023,5.083274419390549,298.4323493435736
3,-0,-0,49.66030756244816,-0,-0,-2.0365140139959332,79.92450294691535,-0,-0,3.693770225564981,4.927773341613963,295.2227492783965
4,0,0,49.39602692321041,0,0,-2.7142580132598946,79.89903392589538,0,0,3.711691126032077,5.015779827227029,296.5605352012817
5,0,0,49.05630321380104,0,0,-3.3929719803225598,79.87412608043533,0,0,3.709366289214101,5.018477930919751,296.2823906632036
6,-0,-0,48.64090182014837,-0,-0,-4.075401047616368,79.84894226772926,-0,-0,3.72742573052133,5.026180389976151,297.6310019636462
7,-0,-0,48.1522270603386,-0,-0,-4.676219798970996,79.8188193705941,-0,-0,5.529915235612153,7.497675062527891,441.39130532602275
8,0,0,47.6121395441589,0,0,-4.974193968977063,79.77465291259232,0,0,8.642859636241827,9.392611559508195,689.4811276534456
9,-0,-0,47.05546535932975,-0,-0,-5.0094119212248325,79.72843854295567,-0,-0,9.95386020139818,9.230917407089603,793.6057313323472
10,0,0,46.4990445898581,0,0,-4.996599380116416,79.67779088782183,0,0,9.825883796546712,10.971452791886435,782.9047144292858
11,-0,-0,45.94301113315538,-0,-0,-5.0003954610530705,79.62349063969742,-0,-0,9.77405376527104,10.049880122154635,778.244278490958
12,-0,-0,45.38663846809828,-0,-0,-5.000727837250263,79.57702337040394,-0,-0,9.829011222333094,9.138598389057016,782.1634557475631
13,0,0,44.83040520271882,0,0,-4.999383115366447,79.5249897104711,0,0,9.809358184468644,11.813404596215364,780.0891086861944
14,-0,-0,44.27418882171443,-0,-0,-5.000103146462202,79.46356537340043,-0,-0,9.804070824457035,11.902836323250838,779.0664228846895
15,-0,-0,43.7179142279504,-0,-0,-5.000158505937553,79.40992573959585,-0,-0,9.813245346364795,9.770392003653741,779.2690842192629
16,0,0,43.1616638970586,0,0,-4.999913235648341,79.35952130689681,0,0,9.81013371631683,10.963122912489272,778.5275156835522
17,0,0,42.60541955607914,0,0,-4.999995414892585,79.2998757584659,0,0,9.809483192304599,12.412746936262606,777.8907984045142
18,-0,-0,42.04917037444382,-0,-0,-4.999971672799738,79.2413859096268,-0,-0,9.810371378909142,10.69225405799095,777.3874243528969
19,0,0,41.4929224931868,0,0,-5.000021068381183,79.1911917035715,0,0,9.8088658980806,9.987423518572012,776.7757797295258
20,0,0,40.93666471279998,0,0,-5.000085845823548,79.13693292194587,0,0,9.810544760664216,11.890358096671624,776.3764226524315
21,-0,-0,40.380412965972525,-0,-0,-4.99992475879433,79.07577305737591,-0,-0,9.811580866122487,12.093655251743455,775.8583419035936
22,-0,-0,39.82417579405507,-0,-0,-4.999903427394292,79.02023903945779,-0,-0,9.808574845134407,10.2055071226838,775.0759288989335
23,0,0,39.267924488142214,0,0,-5.000121872734237,78.97051281068666,0,0,9.808492297281829,10.3078536900765,774.581666616016
24,0,0,38.711658841447594,0,0,-5.000091240532557,78.91449160400973,0,0,9.811992705661092,12.168447788135282,774.3084159894969
25,-0,-0,38.15541292390529,-0,-0,-4.99984780353699,78.85326834184292,-0,-0,9.811348302795091,11.961826423249983,773.6568805155864
26,-0,-0,37.59918012794716,-0,-0,-4.999913749491525,78.79857686860363,-0,-0,9.807698485519772,10.119980701202461,772.8326830153172
27,0,0,37.04292435380186,0,0,-5.0001704192009635,78.7491601381059,0,0,9.808713214009959,10.28848045817802,772.4279276388257
28,0,0,36.48665582890043,0,0,-5.000090580519826,78.69346538532525,0,0,9.81243446780287,12.145912424464875,772.1744721378176
29,-0,-0,35.93041183163057,-0,-0,-4.999821953264143,78.63204193716584,-0,-0,9.81137686014659,12.154296096679829,771.4885967283851
30,-0,-0,35.3741816698029,-0,-0,-4.999895009877869,78.57638904744026,-0,-0,9.807566473528,10.282651494202302,770.6431588325679
31,0,0,34.817926787719024,0,0,-5.000176922317292,78.52743968730417,0,0,9.808386442664798,9.97496697288345,770.2274748061318
32,0,0,34.26165552110411,0,0,-5.000129906737885,78.47388139755702,0,0,9.812300942205596,11.811116119123783,770.009340375779
33,-0,-0,33.70540779538857,-0,-0,-4.999835752358265,78.41267012480769,-0,-0,9.811961956696814,12.512255567388587,769.38213618763
34,-0,-0,33.14918014911745,-0,-0,-4.999839009208784,78.35452587842772,-0,-0,9.807983416642356,10.799519165615266,768.4998904344934
35,0,0,32.59293174186941,0,0,-5.000139065520539,78.3051018043235,0,0,9.80763441525056,9.617716183769259,767.9878113457818
36,0,0,32.036658976008184,0,0,-5.000194743400662,78.25507309450752,0,0,9.811556907183572,11.01908405852179,767.8041029425706
37,-0,-0,31.48040233150261,-0,-0,-4.999901780006971,78.1960517250707,-0,-0,9.81274944252438,12.647360243998866,767.3182629727951
38,-0,-0,30.92417413786029,-0,-0,-4.999776584206776,78.13496013122065,-0,-0,9.809087433580737,11.714084446565574,766.4326555464884
39,0,0,30.36793643163875,0,0,-5.000043009247218,78.08266392926636,0,0,9.80697427236017,9.671779453868517,765.7546762716606
40,0,0,29.81166728759026,0,0,-5.000241071484806,78.03592647988819,0,0,9.810102640929776,9.839942967107577,765.540448447753
41,0,0,29.25539926867403,0,0,-5.000025202500016,77.9824856316487,0,0,9.813105213848264,11.964789687348244,765.2503363407792
42,-0,-0,28.699163625982795,-0,-0,-4.999760595940147,77.92099357372925,-0,-0,9.810817124161225,12.581390746770769,764.4686180847997
43,-0,-0,28.142936444496502,-0,-0,-4.999900793856308,77.86356793726307,-0,-0,9.8070862346388,10.551447002494175,763.6147252973957
44,0,0,27.58667878773891,0,0,-5.0002146491802915,77.81680175950792,0,0,9.808245009171957,8.901984273715776,763.2462574874172
45,0,0,27.03040284879583,0,0,-5.000171757415248,77.77136475873687,0,0,9.812410352030762,10.077056054446723,763.1245446501899
46,-0,-0,26.474152200571776,-0,-0,-4.9998363311100915,77.71656086249365,-0,-0,9.812594108949424,12.11232816947897,762.6010672871146
47,-0,-0,25.917928655534936,-0,-0,-4.999768527403324,77.65701407491241,-0,-0,9.808398675950311,11.695465775268278,761.6909540306256
48,0,0,25.361688230958624,0,0,-5.000090273094733,77.6055661146577,0,0,9.80678774641382,9.285763857675004,761.0613148267328
49,0,0,24.805414177409997,0,0,-5.000270120755082,77.5636327291639,0,0,9.810545686304057,8.356564648279006,760.9415624851711
50,0,0,24.24914598225631,0,0,-5.0000001683140045,77.51938315467193,0,0,9.81350589427241,10.032605397518426,760.7369235087343
51,-0,-0,23.69291454790584,-0,-0,-4.999720736388565,77.46606888730801,-0,-0,9.810651648154424,11.470375242141436,759.9926164053126
52,-0,-0,23.136689780462802,-0,-0,-4.999903611848379,77.41179349611532,-0,-0,9.806587879303173,10.390305209837443,759.1455558141247
53,0,0,22.580429181678664,0,0,-5.000257220627374,77.36595223987936,0,0,9.808141900053602,8.594255511831332,758.8162378015066
54,0,0,22.024149287235996,0,0,-5.00018851813146,77.32420258636779,0,0,9.812921968489725,8.991459588149905,758.7763662557185
55,-0,-0,21.46790014046891,-0,-0,-4.99979569620139,77.27571207072063,-0,-0,9.812938859176503,10.908151879175549,758.3018378493092
56,-0,-0,20.91168159765025,-0,-0,-4.999735052647391,77.22084974438991,-0,-0,9.807918929599882,11.176124632574277,757.3758339677901
57,0,0,20.355441056280423,0,0,-5.000127698269936,77.17067476913894,0,0,9.806217147428589,9.30651508137692,756.752394199765
58,0,0,19.799161092888586,0,0,-5.000319704437519,77.12869745799898,0,0,9.810977395100917,8.397039498134998,756.7079072740055
59,-0,-0,19.242891652892833,-0,-0,-4.99996542136571,77.08454206698973,-0,-0,9.814322573510337,10.098132733247805,756.5325612767645
60,-0,-0,18.6866672583589,-0,-0,-4.9996517075399485,77.03077389053041,-0,-0,9.810280354796378,11.69683292465765,755.6934878130322
61,-0,-0,18.13044538185223,-0,-0,-4.999935477040893,76.97604455387982,-0,-0,9.805456582332045,10.382820609640195,754.7852627527257
62,0,0,17.574176171978014,0,0,-5.000353325920574,76.93173746627369,0,0,9.808412301182546,8.120924681024974,754.578200115545
63,0,0,17.017890951781286,0,0,-5.00016309878953,76.892056584769,0,0,9.814482006672458,8.932124930376018,754.6557058072558
64,-0,-0,16.461652419855174,-0,-0,-4.999661455122708,76.84067200697226,-0,-0,9.812866650433415,12.370230871913206,754.0272677341105
65,-0,-0,15.905443003945116,-0,-0,-4.999745223675459,76.77580097710427,-0,-0,9.805783252568787,13.758034966774494,752.8468634238434
66,0,0,15.34918963530686,0,0,-5.000313169848582,76.71398901944853,0,0,9.805918940631807,11.407459198969512,752.2511579372308
67,0,0,14.792894835218274,0,0,-5.000339446893745,76.66496883856581,0,0,9.813856857896772,9.368519018580141,752.3790301968014
68,-0,-0,14.236640324143996,-0,-0,-4.999714353610056,76.61732640270948,-0,-0,9.815243736114033,10.897622382436541,752.0177330519986
69,-0,-0,13.680438862872997,-0,-0,-4.999582133814652,76.55848573113806,-0,-0,9.806462298224773,13.174510887511802,750.7679039315847
70,0,0,13.124200278126409,0,0,-5.000268935587434,76.49580893492556,0,0,9.80358388129572,12.233897796229536,749.9330794611134
71,0,0,12.567897157407387,0,0,-5.000496287486944,76.44302740779781,0,0,9.813432212959409,9.866818071005172,750.1684676198221
72,-0,-0,12.011630290545362,-0,-0,-4.99972341840358,76.39574609909758,-0,-0,9.817701062606199,10.395276340196943,750.0305976557037
