run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_limited_descent_long_1,coarse,16,1,137,0.227833,0.290714,Solved,7.500000
zoh_direct_limited_descent_long_1,fine,1,1,24,2.469881,2.493652,AlmostSolved,7.500000
zoh_direct_limited_descent_long_1,total,17,2,161,2.697713,2.790571,AlmostSolved,7.500000
zoh_direct_limited_descent_long_1,coarse,26,1,252,0.700763,0.813370,Solved,12.500000
zoh_direct_limited_descent_long_1,fine,1,1,23,3.933473,3.964366,Solved,12.500000
zoh_direct_limited_descent_long_1,total,27,2,275,4.634235,4.788526,Solved,12.500000
zoh_direct_limited_descent_long_2,coarse,26,1,252,0.673210,0.768300,Solved,12.500000
zoh_direct_limited_descent_long_2,fine,1,1,23,3.980152,4.013821,Solved,12.500000
zoh_direct_limited_descent_long_2,total,27,2,275,4.653361,4.792318,Solved,12.500000
zoh_direct_limited_descent_long_3,coarse,26,1,252,0.681743,0.781055,Solved,12.500000
zoh_direct_limited_descent_long_3,fine,1,1,23,3.982476,4.014375,Solved,12.500000
zoh_direct_limited_descent_long_3,total,27,2,275,4.664218,4.806158,Solved,12.500000
zoh_direct_limited_descent_long_4,coarse,26,1,252,0.676799,0.773997,Solved,12.500000
zoh_direct_limited_descent_long_4,fine,1,1,23,3.969957,3.999576,Solved,12.500000
zoh_direct_limited_descent_long_4,total,27,2,275,4.646756,4.784283,Solved,12.500000
zoh_direct_limited_descent_long_5,coarse,26,1,252,0.681009,0.783026,Solved,12.500000
zoh_direct_limited_descent_long_5,fine,1,1,23,3.990378,4.024226,Solved,12.500000
zoh_direct_limited_descent_long_5,total,27,2,275,4.671387,4.816865,Solved,12.500000
zoh_direct_limited_descent_long_6,coarse,26,1,252,0.684648,0.786267,Solved,12.500000
zoh_direct_limited_descent_long_6,fine,1,1,23,3.990560,4.021639,Solved,12.500000
zoh_direct_limited_descent_long_6,total,27,2,275,4.675209,4.820349,Solved,12.500000
zoh_direct_limited_descent_long_7,coarse,26,1,252,0.680530,0.780218,Solved,12.500000
zoh_direct_limited_descent_long_7,fine,1,1,23,3.993559,4.023251,Solved,12.500000
zoh_direct_limited_descent_long_7,total,27,2,275,4.674089,4.814050,Solved,12.500000
zoh_direct_limited_descent_long_8,coarse,26,1,252,0.682017,0.783545,Solved,12.500000
zoh_direct_limited_descent_long_8,fine,1,1,23,3.985411,4.016085,Solved,12.500000
zoh_direct_limited_descent_long_8,total,27,2,275,4.667428,4.809251,Solved,12.500000
zoh_direct_limited_descent_long_9,coarse,26,1,252,0.675334,0.775402,Solved,12.500000
zoh_direct_limited_descent_long_9,fine,1,1,23,4.011853,4.042918,Solved,12.500000
zoh_direct_limited_descent_long_9,total,27,2,275,4.687188,4.827902,Solved,12.500000
zoh_direct_limited_descent_long_10,coarse,26,1,252,0.689675,0.794822,Solved,12.500000
zoh_direct_limited_descent_long_10,fine,1,1,23,4.007709,4.036318,Solved,12.500000
zoh_direct_limited_descent_long_10,total,27,2,275,4.697384,4.841560,Solved,12.500000
zoh_direct_limited_descent_long_1,coarse,26,1,252,0.671874,0.774877,Solved,12.500000
zoh_direct_limited_descent_long_1,fine,1,1,23,3.946395,3.976750,Solved,12.500000
zoh_direct_limited_descent_long_1,total,27,2,275,4.618269,4.762560,Solved,12.500000
zoh_direct_limited_descent_long_2,coarse,26,1,252,0.680920,0.789336,Solved,12.500000
zoh_direct_limited_descent_long_2,fine,1,1,23,3.971818,4.004637,Solved,12.500000
zoh_direct_limited_descent_long_2,total,27,2,275,4.652738,4.805105,Solved,12.500000
