t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999999,0,0,-0.00000000000000003123831819121673,79.99999999999983,0,0,3.7059047661285245,4.999999992870135,296.4723812902813
1,0,0,49.99999999999999,0,0,-0.07630119042339348,79.99716847235946,0,0,3.7060359327565457,5.0001769626184105,296.47238087734326
2,0,0,49.99904623511971,0,0,-0.1526007412639367,79.99433694472478,0,0,3.7061670982196735,5.000353930794437,296.47237962843747
3,0,0,49.9971387258539,0,0,-0.2288986525361908,79.99150541710387,0,0,3.706298262512396,5.000530897390889,296.47237754316296
4,0,0,49.9942774926972,0,0,-0.30519492425478584,79.98867388950482,0,0,3.706429425630177,5.000707862400415,296.4723746211969
5,0,0,49.99046255614402,0,0,-0.3814895564344087,79.98584236193535,0,0,3.706560587566532,5.000884825815737,296.4723708620591
6,0,0,49.985693936688584,0,0,-0.457782549089827,79.98301083440343,0,0,3.7066917483176356,5.001061787629527,296.47236626548323
7,0,0,49.979971654824965,0,0,-0.5340739022358566,79.98017930691734,0,0,3.706822907876015,5.001238747834456,296.4723608309124
8,0,0,49.97329573104702,0,0,-0.6103636158874064,79.97734777948487,0,0,3.7069540662381417,5.001415706423215,296.47235455810346
9,0,0,49.96566618584842,0,0,-0.6866516900594297,79.97451625211414,0,0,3.7070852233976663,5.001592663388503,296.47234744658886
10,0,0,49.95708303972268,0,0,-0.762938124766959,79.97168472481316,0,0,3.7072163793497057,5.0017696187230145,296.472339496018
11,0,0,49.9475463131631,0,0,-0.8392229200250876,79.96885319758985,0,0,3.7073475340884268,5.0019465724194605,296.4723307059641
12,0,0,49.93705602666278,0,0,-0.9155060758489824,79.96602167045225,0,0,3.7074786876088126,5.00212352447053,296.4723210760662
13,0,0,49.92561220071467,0,0,-0.9917875922538723,79.96319014340843,0,0,3.7076098399056203,5.0023004748689335,296.4723106059452
14,0,0,49.913214855811496,0,0,-1.068067469255052,79.96035861646627,0,0,3.7077409909729884,5.002477423607413,296.47229929517215
15,0,0,49.89986401244581,0,0,-1.1443457068678897,79.95752708963404,0,0,3.7078721408060926,5.002654370678706,296.4722871434025
16,0,0,49.88555969110996,0,0,-1.2206223051078136,79.95469556291987,0,0,3.7080032894000534,5.0028313160755165,296.4722741502867
17,0,0,49.870301912296114,0,0,-1.296897263990313,79.95186403633144,0,0,3.708134436748761,5.003008259790638,296.4722603153754
18,0,0,49.854090696496236,0,0,-1.3731705835309533,79.94903250987709,0,0,3.7082655828469577,5.003185201816827,296.47224563828973
19,0,0,49.836926064202096,0,0,-1.4494422637453666,79.94620098356445,0,0,3.7083967276900855,5.003362142146883,296.4722301187043
20,0,0,49.81880803590528,0,0,-1.5257123046492405,79.94336945740211,0,0,3.7085278712723357,5.003539080773594,296.47221375619733
21,0,0,49.799736632097165,0,0,-1.6019807062583364,79.94053793139771,0,0,3.7086590135890183,5.003716017689803,296.47219655043295
22,0,0,49.77971187326894,0,0,-1.6782474685884736,79.93770640555942,0,0,3.708790154634646,5.003892952888373,296.4721785010137
23,0,0,49.75873377991157,0,0,-1.7545125916555406,79.93487487989533,0,0,3.708921294403941,5.004069886362167,296.47215960755847
24,0,0,49.73680237251588,0,0,-1.8307760754754914,79.93204335441357,0,0,3.709052432891881,5.004246818104098,296.47213986970695
25,0,0,49.713917671572446,0,0,-1.9070379200643428,79.92921182912221,0,0,3.7091835700937534,5.004423748107142,296.4721192871234
26,0,0,49.69007969757164,0,0,-1.9832981254381712,79.92638030402908,0,0,3.709314706004115,5.0046006763642765,296.4720978594127
27,0,0,49.66528847100366,0,0,-2.05955669161312,79.92354877914238,0,0,3.7094458406185256,5.0047776028685345,296.47207558626155
28,0,0,49.63954401235849,0,0,-2.135813618605388,79.92071725447033,0,0,3.709576973931673,5.004954527613048,296.4720524672869
29,0,0,49.61284634212593,0,0,-2.2120689064312424,79.91788573002088,0,0,3.70970810593927,5.005131450590962,296.4720285021868
30,0,0,49.585195480795534,0,0,-2.288322555107001,79.91505420580211,0,0,3.7098392366360087,5.005308371795509,296.47200369057816
31,0,0,49.5565914488567,0,0,-2.3645745646490517,79.91222268182207,0,0,3.7099703660175676,5.005485291220016,296.4719780321568
32,0,0,49.52703426679859,0,0,-2.440824935073832,79.90939115808901,0,0,3.710101494079305,5.005662208857916,296.4719515265936
33,0,0,49.49652395511016,0,0,-2.517073666397841,79.90655963461091,0,0,3.7102326208169605,5.005839124702743,296.4719241735892
34,0,0,49.46506053428019,0,0,-2.5933207586376286,79.90372811139602,0,0,3.7103637462262262,5.006016038748156,296.47189597284114
35,0,0,49.43264402479721,0,0,-2.669566211809801,79.90089658845217,0,0,3.71049487030356,5.006192950988011,296.471866924107
36,0,0,49.3992744471496,0,0,-2.7458100259310063,79.8980650657876,0,0,3.7106259930445273,5.006369861416317,296.4718370270744
37,0,0,49.36495182182546,0,0,-2.8220522010179496,79.89523354341047,0,0,3.710757114445623,5.006546770027307,296.471806281505
38,0,0,49.329676169312734,0,0,-2.8982927370873797,79.89240202132882,0,0,3.710888234504058,5.006723676815499,296.47177468721736
39,0,0,49.29344751009914,0,0,-2.974531634156079,79.88957049955081,0,0,3.7110193532162885,5.006900581775669,296.47174224397014
40,0,0,49.256265864672194,0,0,-3.0507688922408756,79.88673897808452,0,0,3.7111504705802276,5.0070774849030215,296.47170895163816
41,0,0,49.21813125351918,0,0,-3.127004511358623,79.88390745693823,0,0,3.711281586593898,5.007254386193195,296.4716748101058
42,0,0,49.1790436971272,0,0,-3.2032384915261987,79.88107593611966,0,0,3.711412701255757,5.007431285642379,296.47163981929015
43,0,0,49.139003215983124,0,0,-3.279470832760502,79.87824441563731,0,0,3.7115438145655117,5.007608183247438,296.4716039792108
44,0,0,49.098009830573616,0,0,-3.355701535078433,79.87541289549898,0,0,3.711674926523261,5.0077850790061,296.4715672899163
45,0,0,49.05606356138513,0,0,-3.4319305984968924,79.87258137571322,0,0,3.7118060371305535,5.007961972917104,296.47152975157377
46,0,0,49.01316442890392,0,0,-3.5081580230327605,79.86974985628775,0,0,3.7119371463908615,5.008138864980525,296.4714913645007
47,0,0,48.96931245361601,0,0,-3.5843838087028748,79.86691833723103,0,0,3.71206825430888,5.008315755198146,296.47145212911505
48,0,0,48.92450765600722,0,0,-3.660607955524014,79.86408681855072,0,0,3.712199360892297,5.00849264357392,296.4714120460709
49,0,0,48.878750056563185,0,0,-3.7368304635128604,79.86125530025535,0,0,3.7123304661514935,5.008669530114671,296.4713711162404
50,0,0,48.832039675769266,0,0,-3.813051332685967,79.85842378235293,0,0,3.7124615701021026,5.008846414830982,296.47132934091303
51,0,0,48.784376534110685,0,0,-3.8892705630596898,79.85559226485157,0,0,3.7125926727648113,5.009023297738687,296.4712867217823
52,0,0,48.73576065207245,0,0,-3.9654881546501306,79.85276074775929,0,0,3.7127237741694126,5.009200178860621,296.471243261268
53,0,0,48.686192050139326,0,0,-4.041704107473013,79.84992923108429,0,0,3.7128548743575016,5.009377058229716,296.47119896273284
54,0,0,48.63567074879591,0,0,-4.117918421543544,79.84709771483443,0,0,3.7129859733882964,5.009553935893482,296.47115383094496
55,0,0,48.58419676852662,0,0,-4.19413109687619,79.84426619901815,0,0,3.7131170713480843,5.009730811921146,296.4711078728351
56,0,0,48.531770129815655,0,0,-4.270342133484339,79.84143468364299,0,0,3.7132481683614227,5.009907686415645,296.47106109838546
57,0,0,48.47839085314711,0,0,-4.346551531379822,79.83860316871726,0,0,3.7133792646084953,5.010084559534209,296.47101352202077
58,0,0,48.42405895900486,0,0,-4.422759290572215,79.83577165424865,0,0,3.7135103603649804,5.0102614315260805,296.4709651657852
59,0,0,48.368774467872704,0,0,-4.498965411067653,79.83294014024473,0,0,3.713641456164491,5.010438302808045,296.47091607231107
60,0,0,48.312537400234355,0,0,-4.575169892865597,79.83010862671301,0,0,3.7137725529621295,5.01061517413052,296.4708663178721
61,0,0,48.25534777657354,0,0,-4.65137273595357,79.8272771136608,0,0,3.713903651867259,5.01079204696192,296.4708159910445
62,0,0,48.19720561737412,0,0,-4.727573940305229,79.82444560109413,0,0,3.714034758837378,5.01096892470461,296.47076556738705
63,0,0,48.1381109431203,0,0,-4.803773505819763,79.82161408901742,0,0,3.7141658831209168,5.011145817072984,296.4707157850724
64,0,0,48.078063774297554,0,0,-4.879971432280751,79.81878257742942,0,0,3.7142970875937595,5.011322769112648,296.4706716626256
65,0,0,48.017064131394044,0,0,-4.956167718685829,79.81595106630341,0,0,6.303417013251988,8.31948613215131,503.1132238802251
66,0,0,47.95511203491048,0,0,-5.000000006020179,79.81125058957133,0,0,9.809999971073161,12.106009836321773,782.9483659750075
67,0,0,47.892612034835224,0,0,-5.0000000063817645,79.80441123640644,0,0,9.809999995658142,12.110832600776707,782.8812738826477
68,0,0,47.83011203475545,0,0,-5.0000000064360375,79.79756974503829,0,0,9.809999999767788,12.112478033900556,782.8141591802956
69,0,0,47.767612034675004,0,0,-5.00000000643894,79.79072791078227,0,0,9.809999998971263,12.113472231107906,782.7470407226904
70,0,0,47.70511203459452,0,0,-5.0000000064518,79.78388610163611,0,0,9.809999999910925,12.114502449004815,782.6799226499435
71,0,0,47.64261203451387,0,0,-5.000000006452913,79.77704429735145,0,0,9.809999999419073,12.115448195760484,782.6128045106731
72,0,0,47.580112034433206,0,0,-5.000000006460175,79.77020254572759,0,0,9.80999999959332,12.116480485523963,782.5456869411466
73,0,0,47.51761203435245,0,0,-5.000000006465258,79.7633607979862,0,0,9.8100000002008,12.117413925494295,782.4785694442611
74,0,0,47.455112034271636,0,0,-5.000000006462748,79.75651911003645,0,0,9.809999999379892,12.118264544590572,782.4114524199999
75,0,0,47.392612034190854,0,0,-5.0000000064705,79.74967752871987,0,0,9.809999999894103,12.119321171260202,782.3443365482967
76,0,0,47.33011203410997,0,0,-5.000000006471823,79.7428359378193,0,0,9.809999999953567,12.120242774902032,782.2772205463045
77,0,0,47.26761203402907,0,0,-5.000000006472403,79.73599441365124,0,0,9.809999999820032,12.121230960479924,782.2101051835688
78,0,0,47.20511203394817,0,0,-5.000000006474653,79.72915291872046,0,0,9.809999999643905,12.122215550631227,782.1429901042566
79,0,0,47.14261203386723,0,0,-5.000000006479104,79.72231145514915,0,0,9.809999999902788,12.123186929272531,782.0758753672632
80,0,0,47.08011203378625,0,0,-5.000000006480319,79.71547003048548,0,0,9.810000000011941,12.124142612548612,782.0087610000144
81,0,0,47.01761203370524,0,0,-5.00000000648017,79.70862865367617,0,0,9.809999999925815,12.12508745905875,781.94164708665
82,0,0,46.95511203362424,0,0,-5.000000006481097,79.7017873309238,0,0,9.810000000279713,12.12602901407474,781.8745337386562
83,0,0,46.89261203354323,0,0,-5.000000006477601,79.69494606417244,0,0,9.809999999765747,12.12697320940826,781.8074208708629
84,0,0,46.83011203346226,0,0,-5.000000006480529,79.68810485201881,0,0,9.809999999951684,12.12792204487635,781.7403085944543
85,0,0,46.76761203338125,0,0,-5.000000006481133,79.6812636919323,0,0,9.810000000048213,12.128874338358761,781.6731968216975
86,0,0,46.705112033300246,0,0,-5.000000006480531,79.67442258205018,0,0,9.810000000246331,12.129826705210393,781.6060855495386
87,0,0,46.64261203321923,0,0,-5.0000000064774515,79.66758152241897,0,0,9.809999999467713,12.130777120954155,781.5389746925241
88,0,0,46.58011203313826,0,0,-5.000000006484105,79.66074051422673,0,0,9.810000000232671,12.13172817051205,781.471864463099
89,0,0,46.51761203305722,0,0,-5.000000006481197,79.65389955720377,0,0,9.809999999981274,12.13268086586102,781.4047546546774
90,0,0,46.45511203297619,0,0,-5.0000000064814305,79.64705865050979,0,0,9.810000000141805,12.133634338670223,781.3376453727955
91,0,0,46.39261203289517,0,0,-5.000000006479658,79.64021779379458,0,0,9.810000000037302,12.134587967896922,781.2705365600956
92,0,0,46.33011203281418,0,0,-5.000000006479192,79.63337698705787,0,0,9.810000000024049,12.135541358357484,781.2034282449528
93,0,0,46.26761203273319,0,0,-5.000000006478891,79.62653623052235,0,0,9.809999999698022,12.136494233965603,781.1363203973788
94,0,0,46.2051120326522,0,0,-5.000000006482666,79.61969552456644,0,0,9.809999999998363,12.137446455783842,781.0692130958664
95,0,0,46.14261203257117,0,0,-5.0000000064826855,79.61285486964628,0,0,9.80999999999916,12.138398005756038,781.0021062711631
96,0,0,46.080112032490135,0,0,-5.000000006482697,79.60601426622834,0,0,9.810000000317642,12.13934894396421,780.9349999769862
97,0,0,46.017612032409104,0,0,-5.000000006478726,79.59917371474512,0,0,9.80999999972717,12.140299366589824,780.8678941199325
98,0,0,45.95511203232812,0,0,-5.000000006482137,79.59233321557467,0,0,9.809999999925875,12.141249377416253,780.8007888388877
99,0,0,45.892612032247094,0,0,-5.000000006483063,79.58549276903672,0,0,9.81000000010174,12.142199071411287,780.7336840723472
100,0,0,45.830112032166056,0,0,-5.000000006481791,79.57865237539701,0,0,9.810000000208083,12.14314852894363,780.6665798192037
101,0,0,45.76761203208504,0,0,-5.0000000064791905,79.57181203487627,0,0,9.809999999710598,12.144097814939938,780.599476039108
102,0,0,45.705112032004045,0,0,-5.000000006482808,79.56497174765846,0,0,9.809999999806767,12.14504698094677,780.532372829155
103,0,0,45.64261203192301,0,0,-5.000000006485223,79.55813151389857,0,0,9.810000000255686,12.145996067165218,780.4652701716868
104,0,0,45.58011203184194,0,0,-5.000000006482027,79.5512913337287,0,0,9.810000000315064,12.146945104954332,780.3981680089423
105,0,0,45.51761203176091,0,0,-5.000000006478088,79.54445120726365,0,0,9.809999999956123,12.147894118538149,780.3310663397662
106,0,0,45.45511203167994,0,0,-5.000000006478637,79.53761113460418,0,0,9.809999999547138,12.148843126741298,780.2639651944475
107,0,0,45.39261203159896,0,0,-5.0000000064842975,79.53077111584062,0,0,9.810000000239567,12.149792143752437,780.1968646654494
108,0,0,45.3301120315179,0,0,-5.0000000064813035,79.5239311510552,0,0,9.81000000001745,12.150741179994837,780.1297645932391
109,0,0,45.26761203143689,0,0,-5.000000006481085,79.51709124032445,0,0,9.809999999966958,12.151690243037226,780.0626650649555
110,0,0,45.20511203135588,0,0,-5.000000006481498,79.51025138372034,0,0,9.809999999744806,12.152639338038048,779.995566054006
111,0,0,45.14261203127485,0,0,-5.000000006484688,79.50341158131252,0,0,9.810000000521073,12.153588468189598,779.928467654103
112,0,0,45.0801120311938,0,0,-5.000000006478174,79.4965718331682,0,0,9.80999999977795,12.154537634895378,779.8613696657279
113,0,0,45.01761203111282,0,0,-5.00000000648095,79.48973213935395,0,0,9.809999999974966,12.155486838695648,779.7942722850723
114,0,0,44.95511203103181,0,0,-5.0000000064812635,79.48289249993633,0,0,9.810000000312845,12.15643607894302,779.7271754492413
115,0,0,44.8926120309508,0,0,-5.000000006477353,79.47605291498215,0,0,9.809999999994915,12.157385354339663,779.6600790955707
