run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_limited_descent_med_1,coarse,26,1,246,1.176764,1.287021,Solved,12.500000
cgl_direct_limited_descent_med_1,fine,1,1,15,0.946379,0.957105,Solved,12.500000
cgl_direct_limited_descent_med_1,total,27,2,261,2.123144,2.251676,Solved,12.500000
cgl_direct_limited_descent_med_2,coarse,26,1,246,1.198924,1.307318,Solved,12.500000
cgl_direct_limited_descent_med_2,fine,1,1,15,0.938247,0.949126,Solved,12.500000
cgl_direct_limited_descent_med_2,total,27,2,261,2.137171,2.264292,Solved,12.500000
cgl_direct_limited_descent_med_3,coarse,26,1,246,1.179378,1.292256,Solved,12.500000
cgl_direct_limited_descent_med_3,fine,1,1,15,0.947870,0.958777,Solved,12.500000
cgl_direct_limited_descent_med_3,total,27,2,261,2.127247,2.260937,Solved,12.500000
cgl_direct_limited_descent_med_4,coarse,26,1,246,1.195145,1.309801,Solved,12.500000
cgl_direct_limited_descent_med_4,fine,1,1,15,0.951479,0.962729,Solved,12.500000
cgl_direct_limited_descent_med_4,total,27,2,261,2.146624,2.281361,Solved,12.500000
cgl_direct_limited_descent_med_5,coarse,26,1,246,1.217351,1.339174,Solved,12.500000
cgl_direct_limited_descent_med_5,fine,1,1,15,0.956040,0.965856,Solved,12.500000
cgl_direct_limited_descent_med_5,total,27,2,261,2.173391,2.313520,Solved,12.500000
cgl_direct_limited_descent_med_6,coarse,26,1,246,1.195003,1.315841,Solved,12.500000
cgl_direct_limited_descent_med_6,fine,1,1,15,0.957112,0.969033,Solved,12.500000
cgl_direct_limited_descent_med_6,total,27,2,261,2.152116,2.293265,Solved,12.500000
cgl_direct_limited_descent_med_7,coarse,26,1,246,1.193539,1.318305,Solved,12.500000
cgl_direct_limited_descent_med_7,fine,1,1,15,0.950483,0.961749,Solved,12.500000
cgl_direct_limited_descent_med_7,total,27,2,261,2.144022,2.289862,Solved,12.500000
cgl_direct_limited_descent_med_8,coarse,26,1,246,1.215160,1.350105,Solved,12.500000
cgl_direct_limited_descent_med_8,fine,1,1,15,0.964746,0.975755,Solved,12.500000
cgl_direct_limited_descent_med_8,total,27,2,261,2.179905,2.334692,Solved,12.500000
cgl_direct_limited_descent_med_9,coarse,26,1,246,1.210285,1.334774,Solved,12.500000
cgl_direct_limited_descent_med_9,fine,1,1,15,0.954973,0.965506,Solved,12.500000
cgl_direct_limited_descent_med_9,total,27,2,261,2.165258,2.309422,Solved,12.500000
cgl_direct_limited_descent_med_10,coarse,26,1,246,1.221915,1.342509,Solved,12.500000
cgl_direct_limited_descent_med_10,fine,1,1,15,0.960530,0.971378,Solved,12.500000
cgl_direct_limited_descent_med_10,total,27,2,261,2.182445,2.323024,Solved,12.500000
cgl_direct_limited_descent_med_1,coarse,26,1,246,1.192935,1.301911,Solved,12.500000
cgl_direct_limited_descent_med_1,fine,1,1,15,2.094861,2.110364,Solved,12.500000
cgl_direct_limited_descent_med_1,total,27,2,261,3.287796,3.420791,Solved,12.500000
cgl_direct_limited_descent_med_2,coarse,26,1,246,1.171300,1.279123,Solved,12.500000
cgl_direct_limited_descent_med_2,fine,1,1,15,2.452824,2.470175,Solved,12.500000
cgl_direct_limited_descent_med_2,total,27,2,261,3.624124,3.757891,Solved,12.500000
cgl_direct_limited_descent_med_3,coarse,26,1,246,1.420699,1.570253,Solved,12.500000
cgl_direct_limited_descent_med_3,fine,1,1,15,2.303622,2.322207,Solved,12.500000
cgl_direct_limited_descent_med_3,total,27,2,261,3.724321,3.902026,Solved,12.500000
cgl_direct_limited_descent_med_4,coarse,26,1,246,1.196539,1.307383,Solved,12.500000
cgl_direct_limited_descent_med_4,fine,1,1,15,2.127322,2.142542,Solved,12.500000
cgl_direct_limited_descent_med_4,total,27,2,261,3.323861,3.459499,Solved,12.500000
cgl_direct_limited_descent_med_5,coarse,26,1,246,1.219996,1.335997,Solved,12.500000
cgl_direct_limited_descent_med_5,fine,1,1,15,2.210459,2.224997,Solved,12.500000
cgl_direct_limited_descent_med_5,total,27,2,261,3.430455,3.568928,Solved,12.500000
cgl_direct_limited_descent_med_6,coarse,26,1,246,1.259011,1.386101,Solved,12.500000
cgl_direct_limited_descent_med_6,fine,1,1,15,2.552791,2.573254,Solved,12.500000
cgl_direct_limited_descent_med_6,total,27,2,261,3.811802,3.969326,Solved,12.500000
cgl_direct_limited_descent_med_7,coarse,26,1,246,1.225071,1.352639,Solved,12.500000
cgl_direct_limited_descent_med_7,fine,1,1,15,2.088393,2.107292,Solved,12.500000
cgl_direct_limited_descent_med_7,total,27,2,261,3.313464,3.469177,Solved,12.500000
cgl_direct_limited_descent_med_8,coarse,26,1,246,1.332599,1.467461,Solved,12.500000
cgl_direct_limited_descent_med_8,fine,1,1,15,2.476106,2.493363,Solved,12.500000
cgl_direct_limited_descent_med_8,total,27,2,261,3.808705,3.971300,Solved,12.500000
cgl_direct_limited_descent_med_9,coarse,26,1,246,1.224559,1.342180,Solved,12.500000
cgl_direct_limited_descent_med_9,fine,1,1,15,2.131400,2.145709,Solved,12.500000
cgl_direct_limited_descent_med_9,total,27,2,261,3.355960,3.499451,Solved,12.500000
cgl_direct_limited_descent_med_10,coarse,26,1,246,1.231719,1.344745,Solved,12.500000
cgl_direct_limited_descent_med_10,fine,1,1,15,2.103302,2.117120,Solved,12.500000
cgl_direct_limited_descent_med_10,total,27,2,261,3.335021,3.469630,Solved,12.500000
cgl_direct_limited_descent_med_1,coarse,26,1,246,1.194790,1.296361,Solved,12.500000
cgl_direct_limited_descent_med_1,fine,1,1,15,1.791994,1.807142,Solved,12.500000
cgl_direct_limited_descent_med_1,total,27,2,261,2.986784,3.110642,Solved,12.500000
cgl_direct_limited_descent_med_2,coarse,26,1,246,1.177482,1.300197,Solved,12.500000
cgl_direct_limited_descent_med_2,fine,1,1,15,1.810626,1.825121,Solved,12.500000
cgl_direct_limited_descent_med_2,total,27,2,261,2.988109,3.134270,Solved,12.500000
cgl_direct_limited_descent_med_3,coarse,26,1,246,1.209049,1.315241,Solved,12.500000
cgl_direct_limited_descent_med_3,fine,1,1,15,1.803428,1.818191,Solved,12.500000
cgl_direct_limited_descent_med_3,total,27,2,261,3.012477,3.140995,Solved,12.500000
cgl_direct_limited_descent_med_4,coarse,26,1,246,1.190898,1.307903,Solved,12.500000
cgl_direct_limited_descent_med_4,fine,1,1,15,1.799958,1.814159,Solved,12.500000
cgl_direct_limited_descent_med_4,total,27,2,261,2.990856,3.131030,Solved,12.500000
cgl_direct_limited_descent_med_5,coarse,26,1,246,1.183267,1.306280,Solved,12.500000
cgl_direct_limited_descent_med_5,fine,1,1,15,1.790759,1.806712,Solved,12.500000
cgl_direct_limited_descent_med_5,total,27,2,261,2.974026,3.121638,Solved,12.500000
cgl_direct_limited_descent_med_6,coarse,26,1,246,1.193874,1.297039,Solved,12.500000
cgl_direct_limited_descent_med_6,fine,1,1,15,1.806283,1.821848,Solved,12.500000
cgl_direct_limited_descent_med_6,total,27,2,261,3.000157,3.126791,Solved,12.500000
cgl_direct_limited_descent_med_7,coarse,26,1,246,1.206075,1.322056,Solved,12.500000
cgl_direct_limited_descent_med_7,fine,1,1,15,1.810830,1.825805,Solved,12.500000
cgl_direct_limited_descent_med_7,total,27,2,261,3.016905,3.156523,Solved,12.500000
cgl_direct_limited_descent_med_8,coarse,26,1,246,1.174862,1.288352,Solved,12.500000
cgl_direct_limited_descent_med_8,fine,1,1,15,1.784081,1.796937,Solved,12.500000
cgl_direct_limited_descent_med_8,total,27,2,261,2.958943,3.094247,Solved,12.500000
cgl_direct_limited_descent_med_9,coarse,26,1,246,1.174579,1.288308,Solved,12.500000
cgl_direct_limited_descent_med_9,fine,1,1,15,1.767675,1.783876,Solved,12.500000
cgl_direct_limited_descent_med_9,total,27,2,261,2.942254,3.079903,Solved,12.500000
cgl_direct_limited_descent_med_10,coarse,26,1,246,1.216810,1.339498,Solved,12.500000
cgl_direct_limited_descent_med_10,fine,1,1,15,1.790100,1.805902,Solved,12.500000
cgl_direct_limited_descent_med_10,total,27,2,261,3.006910,3.154315,Solved,12.500000
cgl_direct_limited_descent_med_1,coarse,26,1,246,1.675402,1.858612,Solved,12.500000
cgl_direct_limited_descent_med_1,fine,1,1,15,3.231598,3.255997,Solved,12.500000
cgl_direct_limited_descent_med_1,total,27,2,261,4.906999,5.128080,Solved,12.500000
cgl_direct_limited_descent_med_2,coarse,26,1,246,1.812401,2.097904,Solved,12.500000
cgl_direct_limited_descent_med_2,fine,1,1,15,3.294753,3.320804,Solved,12.500000
cgl_direct_limited_descent_med_2,total,27,2,261,5.107154,5.433952,Solved,12.500000
cgl_direct_limited_descent_med_3,coarse,26,1,246,1.657324,1.830578,Solved,12.500000
cgl_direct_limited_descent_med_3,fine,1,1,15,3.039988,3.068183,Solved,12.500000
cgl_direct_limited_descent_med_3,total,27,2,261,4.697312,4.910654,Solved,12.500000
cgl_direct_limited_descent_med_4,coarse,26,1,246,1.661754,1.840305,Solved,12.500000
cgl_direct_limited_descent_med_4,fine,1,1,15,3.319910,3.344849,Solved,12.500000
