t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999973,0,0,-0.0000000000027978075878165864,79.99999999977544,0,0,3.705905105900024,5.000000279720733,296.47240847116973
1,0,0,49.96472347709648,0,0,-0.6598885579162879,79.97498636287047,0,0,3.5411809181620097,4.891147297457927,283.20589563846386
2,-0,-0,49.854106670377604,-0,-0,-1.3245452006407508,79.94908010302707,-0,-0,3.72776852422257,5.027932947126649,298.0316643486133
3,0,0,49.667950317041466,0,0,-2.022914337408142,79.92520200836458,0,0,3.6091278192693332,4.834490017931869,288.4602700291098
4,-0,-0,49.405652879625485,-0,-0,-2.6823085374841167,79.89831727520709,-0,-0,4.005293395226954,5.580603455105745,320.01620247213464
5,0,0,49.070049258982,0,0,-3.3617849865812213,79.87318811900262,0,0,3.3256036868561307,4.227289916198737,265.6265688895084
6,0,0,48.65513266082536,0,0,-4.090378931751779,79.85246898206272,0,0,3.544372132653162,4.685585934228004,283.02686578357407
7,-0,-0,48.164853605031965,-0,-0,-4.677600242136818,79.82003058230194,-0,-0,5.779194257384618,8.464198189265575,461.29546236550397
8,0,0,47.62508604476111,0,0,-4.971567893013102,79.76911534730644,0,0,8.45238962482061,11.282852151234719,674.2396429426914
9,0,0,47.067142341616396,0,0,-5.027414671890048,79.71189901026754,0,0,9.906418782899484,11.09940181677325,789.6594535759012
10,-0,-0,46.50901011700124,-0,-0,-4.999212443209809,79.65887184703536,-0,-0,10.068717903938346,10.11337394303016,802.0627091737751
11,-0,-0,45.95364480576833,-0,-0,-4.985801138012527,79.60847505320152,-0,-0,9.788146952926256,10.137212141594645,779.2194525191003
12,-0,-0,45.39821837487392,-0,-0,-4.996958913288364,79.55655551631277,-0,-0,9.677395350478609,10.503591485020948,769.9002404536585
13,0,0,44.84137641146069,0,0,-5.007302890450617,79.50432299453693,0,0,9.774752942409902,10.221977905950224,777.1351151251572
14,0,0,44.28409082256394,0,0,-5.004964946491374,79.45441930456836,0,0,9.872567632542559,9.773555203310972,784.4191282887463
