t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,0.00000000000003241720081511953,80.00000000000537,0,0,5.660210085946385,5.660210101120746,452.81680687574124
1,0,0,50.00000000000001,0,0,-0.10374474785127634,79.99358932687437,0,0,5.679472277244834,5.679472291401981,454.3213729392912
2,0,0,49.99740638130373,0,0,-0.2070079409201247,79.98715735399617,0,0,5.6977791185563404,5.697779131695989,455.7491549242796
3,0,0,49.99223118278072,0,0,-0.3098134629561861,79.98070516838965,0,0,5.715778235452031,5.715778247467895,457.1519738575873
4,0,0,49.984485846206816,0,0,-0.4121690070698562,79.97423312345556,0,0,5.73377659897158,5.733776609353883,458.55438640396727
5,0,0,49.974181621030084,0,0,-0.5140745920955382,79.967741224952,0,0,5.7519619596314495,5.751961967172102,459.9714055235755
6,0,0,49.96132975622769,0,0,-0.6155255431047243,79.96122926610636,0,0,5.770658701358644,5.770658704667905,461.42896343579014
7,0,0,49.94594161765008,0,0,-0.7165090755707314,79.95469667302746,0,0,5.790406365334599,5.790406365109013,462.97018455389525
8,0,0,49.92802889076081,0,0,-0.8169989164373404,79.94814226132237,0,0,5.811778187849629,5.811778189339677,464.64086935345244
9,0,0,49.90760391784988,0,0,-0.9169544617410743,79.94156419821083,0,0,5.836169657511673,5.836169666802282,466.5525313476195
10,0,0,49.88468005630635,0,0,-1.016300220303258,79.9349590722466,0,0,5.865400382329718,5.865400396521535,468.8505395038656
11,0,0,49.85927255079878,0,0,-1.1149152107449911,79.92832141405059,0,0,5.895278788638072,5.895278800104361,471.19973784369864
12,0,0,49.831399670530146,0,0,-1.2127832410290165,79.92165049896101,0,0,5.915950351130355,5.9159503618545815,472.8125163322459
13,0,0,49.80108008950444,0,0,-1.3101344822507353,79.91495675226456,0,0,5.927007748965144,5.927007753872145,473.6565679288864
14,0,0,49.76832672744817,0,0,-1.4072092885265852,79.90825105661357,0,0,5.938893983003249,5.93889398564525,474.5666313924353
15,0,0,49.73314649523501,0,0,-1.503986938951483,79.90153247749258,0,0,5.963843291675533,5.963843297213923,476.5202184604889
16,0,0,49.69554682176122,0,0,-1.600140856659575,79.89478624205414,0,0,6.001845741491399,6.001845742047011,479.51618257423826
17,0,0,49.65554330034473,0,0,-1.6953447131222705,79.88799759371422,0,0,6.025186722185388,6.025186723762175,481.3401023636251
18,0,0,49.61315968251668,0,0,-1.7899650450676174,79.8811831247384,0,0,6.032121310978494,6.032121314112096,481.85298707291014
19,0,0,49.56841055638999,0,0,-1.8844120122931374,79.8743613950386,0,0,6.041692920035094,6.04169291978388,482.57636373272913
20,0,0,49.52130025608266,0,0,-1.9786196892922427,79.86752942476076,0,0,6.058714209740946,6.058714207323737,483.8945354227011
21,0,0,49.47183476385036,0,0,-2.0724018340487027,79.86067879358052,0,0,6.081244460844976,6.081244459184186,485.6523105527814
22,0,0,49.42002471799914,0,0,-2.1656207225275623,79.8538032781788,0,0,6.108070067139397,6.108070067545289,487.7526255506818
23,0,0,49.365884199935955,0,0,-2.2581689708490624,79.84689802933988,0,0,6.138838279867331,6.138838282239139,490.167194151175
24,0,0,49.309429975664735,0,0,-2.349948013852365,79.83995859829292,0,0,6.173335350936255,6.173335354663542,492.87883883212874
25,0,0,49.25068127531842,0,0,-2.440864630078945,79.83298077945585,0,0,6.211342409849033,6.211342414325735,495.86997922009687
26,0,0,49.18965965956646,0,0,-2.5308310698327063,79.8259606161221,0,0,6.25266530476261,6.252665309547652,499.12501436377323
27,0,0,49.12638888282065,0,0,-2.619764437213629,79.81889437245609,0,0,6.297159130825771,6.297159135644569,502.6322795099296
28,0,0,49.06089477189031,0,0,-2.707585458942973,79.81177847775876,0,0,6.344736855271605,6.34473685997237,506.38473239260907
29,0,0,48.99320513541674,0,0,-2.7942170375611717,79.80460946103716,0,0,6.395371438344997,6.395371442854508,510.38011999539395
30,0,0,48.92334970947771,0,0,-2.8795827516025367,79.79738388319204,0,0,6.449095596058282,6.449095600348979,514.6209569780659
31,0,0,48.851360140687646,0,0,-2.96360536170107,79.79009826953589,0,0,6.506000458210416,6.5060004622789505,519.1144159022546
32,0,0,48.777270006645125,0,0,-3.0462053502458,79.78274904385422,0,0,6.566233487273551,6.566233491127829,523.8721584784975
33,0,0,48.701114872888986,0,0,-3.1272995130639534,79.7753324648466,0,0,6.629995975147483,6.6299959787994265,528.9101331579852
34,0,0,48.622932385062384,0,0,-3.206799613685258,79.76784456544887,0,0,6.697540315820309,6.697540319282153,534.2483548831817
35,0,0,48.542762394720256,0,0,-3.284611105789743,79.76028109526438,0,0,6.769167190510859,6.769167193793592,539.9106778959871
36,0,0,48.46064711707552,0,0,-3.360631926026965,79.75263746621859,0,0,6.845222387660501,6.845222390773625,545.9245394587311
37,0,0,48.37663131892485,0,0,-3.4347513663354463,79.74490870182964,0,0,6.92609216717839,6.926092170130373,552.3205875320981
38,0,0,48.29076253476646,0,0,-3.5068490621559807,79.73708939176986,0,0,7.012194488293148,7.0121944910921234,559.1319787455067
39,0,0,48.203091308212564,0,0,-3.5767941999486466,79.7291736563444,0,0,7.103961197463565,7.103961200118233,566.3929559605049
40,0,0,48.113671453213854,0,0,-3.6444451700120526,79.7211551311214,0,0,7.201803963226855,7.201803965747207,574.136130976333
41,0,0,48.022560323963546,0,0,-3.709650070931377,79.71302699002906,0,0,7.306056494260262,7.306056496658139,582.3878785176454
42,0,0,47.92981907219026,0,0,-3.7722486585748665,79.70478203365612,0,0,7.416889540926932,7.416889543216294,591.1615642272849
43,0,0,47.8355128557259,0,0,-3.83207642005169,79.69641287340372,0,0,7.5342049985713455,7.534205000768204,600.449112239004
