t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,-0.000000000000008743938338815974,79.99999999999947,0,0,4.577563454453033,5.001225108406469,366.2050763562402
1,-0,-0,49.96288884742884,-0,-0,-0.6795085568257079,79.97467235293868,-0,-0,3.660276878155112,5.022788530275949,292.72944405149235
2,0,0,49.8500684013893,0,0,-1.3464202881994467,79.94982297133146,0,0,3.8326420493048103,4.91384493765686,306.4190533544006
3,-0,-0,49.662827386219575,-0,-0,-2.02669559526652,79.92457361302567,-0,-0,3.552616322402665,5.115578861433805,283.94134477870836
4,-0,-0,49.39857354377514,-0,-0,-2.725511172992562,79.89884782872448,-0,-0,3.5854529755062092,5.055107956488136,286.47356168701805
5,0,0,49.05790676681179,0,0,-3.3912059040886984,79.87360327633775,0,0,4.143229948581045,5.0741327486441,330.9347051956036
6,0,0,48.64758701223883,0,0,-3.970741375266199,79.84615890390769,0,0,5.106267700669907,6.043119828515977,407.71586223358076
7,-0,-0,48.17933639557819,-0,-0,-4.428941453354843,79.81096866783487,-0,-0,6.295144316741482,8.089527475490307,502.42156582295314
8,-0,-0,47.66766562487693,-0,-0,-4.750915061807546,79.76438933028172,-0,-0,7.525239964648295,10.402893045367938,600.2461703440019
9,-0,-0,47.12759634932776,-0,-0,-4.942315961700803,79.70776920343246,-0,-0,8.615151473547158,11.957728937062964,686.694505306108
10,0,0,46.572457048464344,0,0,-5.027214680286306,79.64649421157043,0,0,9.422889409238339,12.257113576567532,750.5001067891696
11,0,0,46.01217292547258,0,0,-5.0412263171512794,79.58651783490026,0,0,9.888162466783102,11.552738574312638,786.9644185170248
12,0,0,45.45253388061536,0,0,-5.021349573782926,79.53117083319395,0,0,10.0450670647778,10.558616392227375,798.8959447597334
13,-0,-0,44.895588478290925,-0,-0,-4.9965991342619915,79.48003971915846,-0,-0,9.996215454544336,9.9774128394783,794.4996013684494
14,-0,-0,44.34086221358076,-0,-0,-4.982955545840206,79.43000568222035,-0,-0,9.864986827031206,10.151640027118574,783.5759597261176
15,-0,-0,43.78683593050869,-0,-0,-4.983681293990111,79.37737352860205,-0,-0,9.750608828507742,10.98133754673864,773.9777191117439
16,-0,-0,43.232147201661746,-0,-0,-4.993607726487398,79.31978608276853,-0,-0,9.703490859809694,12.072162335704084,769.6788192562046
17,0,0,42.67621381086424,0,0,-5.004785704810856,79.25708680176628,0,0,9.724985550471736,12.980855146325691,770.7740239196612
18,0,0,42.11926903031275,0,0,-5.01108613557745,79.19100264674306,0,0,9.784771510685307,13.421755592554742,774.8658666004562
19,0,0,41.56201133752516,0,0,-5.010423243244205,79.12407459335935,0,0,9.844235707121143,13.355297888998113,778.916040404865
20,0,0,41.005146780521116,0,0,-5.004545622580545,79.0584735681507,0,0,9.875433125267902,12.951841002940451,780.7366687080323
21,-0,-0,40.44905256518455,-0,-0,-4.997253740045688,78.99522334193544,-0,-0,9.869952528197398,12.477222677105901,779.6791043392539
22,-0,-0,39.893671281384535,-0,-0,-4.992227927893667,78.93405488963641,-0,-0,9.837398133087758,12.165409567778736,776.5057242083559
23,-0,-0,39.33862080935613,-0,-0,-4.991447870634903,78.87380951988874,-0,-0,9.797062870605522,12.131798737786696,772.7316707105143
24,-0,-0,38.78342224210735,-0,-0,-4.99468324210384,78.8131118177867,-0,-0,9.76782248657869,12.35170591187719,769.8324858510176
25,0,0,38.22772535063096,0,0,-5.000000023362833,78.75099189521033,0,0,9.760542591591662,12.697944816624682,768.6524105232902
26,0,0,37.67144003710512,0,0,-5.004855936123313,78.68722522886029,0,0,9.775254384372566,13.010679789877575,769.1876434125281
27,0,0,37.114738794315734,0,0,-5.007236579323754,78.62231343123513,0,0,9.8030745498754,13.166706983278305,770.740399850068
28,0,0,36.557952087413035,0,0,-5.006388845526049,78.55717934820832,0,0,9.831151643671987,13.122432343138563,772.3075428713734
29,0,0,36.00141528352001,0,0,-5.002947670194924,78.49274234528335,0,0,9.84822627940301,12.919474802088612,773.0142879072289
30,-0,-0,35.445333657287925,-0,-0,-4.998512520636026,78.42955404944496,-0,-0,9.848678474858827,12.657306143515132,772.4274607595455
31,-0,-0,34.88971428993054,-0,-0,-4.994918126196648,78.36762211839424,-0,-0,9.833878752189763,12.448234659768788,770.6576940097136
32,-0,-0,34.334381543961506,-0,-0,-4.993511513852743,78.30646120008905,-0,-0,9.810807573890456,12.373645320054836,768.2496226263927
33,-0,-0,33.77905999970196,-0,-0,-4.9946956443389805,78.24532293670673,-0,-0,9.78884753080921,12.45694816533325,765.9315362263509
34,-0,-0,33.2234866348892,-0,-0,-4.997868144628229,78.18349990557924,-0,-0,9.776125237809419,12.660595181225057,764.3316866072036
35,0,0,32.66750839532957,0,0,-5.001729061389855,78.12058585724648,0,0,9.776722490325646,12.905242441087735,763.7632887079573
36,0,0,32.11113155075315,0,0,-5.004808323933823,78.05660393849024,0,0,9.789599937969703,13.101853718181662,764.1429250743697
37,0,0,31.55450969515984,0,0,-5.006006780698154,77.99197018504111,0,0,9.80939918936958,13.184293680806228,765.0543691104788
38,0,0,30.997879812042456,0,0,-5.004963036273288,77.92731966434584,0,0,9.828652271774565,13.131201200941776,765.9205274522756
39,0,0,30.441472804534463,0,0,-5.0021360195350715,77.86326697530451,0,0,9.840521732699042,12.970673273521953,766.2151708494316
40,-0,-0,29.885431370209822,-0,-0,-4.998598296333713,77.80018874460295,-0,-0,9.841114247671841,12.767600767138797,765.6405459260706
41,-0,-0,29.329763068515067,-0,-0,-4.995631327559816,77.73810122949072,-0,-0,9.830639966393452,12.599220621770653,764.2152848581715
42,-0,-0,28.774342611535513,-0,-0,-4.994271886979708,77.67666888469884,-0,-0,9.813124075332771,12.527861252846225,762.2507895240901
43,-0,-0,28.218960015406232,-0,-0,-4.994964196431141,77.61533374211652,-0,-0,9.79486322897993,12.580121241087008,760.2315784756623
44,-0,-0,27.663396133127392,-0,-0,-4.997427909279309,77.55351598328252,-0,-0,9.782205706505154,12.739030039621884,758.644446611205
45,0,0,27.107498912755027,0,0,-5.000775560624236,77.49081513656539,0,0,9.779412385875741,12.951157478496045,757.8146373381348
46,0,0,26.551234652572408,0,0,-5.0038304474006665,77.42714433143375,0,0,9.78728797748046,13.145710801628836,757.8017588456859
47,0,0,25.994697759079543,0,0,-5.0055330528397235,77.36275472876399,0,0,9.802995135344656,13.258920975595489,758.3867082629351
48,0,0,25.438076731181038,0,0,-5.005299471408916,77.298144787823,0,0,9.821073279227038,13.255558753288579,759.1507443095113
49,0,0,24.88158859120056,0,0,-5.003214748680558,77.2338870241004,0,0,9.835302162151116,13.140581950141447,759.6186160394697
50,0,0,24.32540415880044,0,0,-5.0000000223477885,77.1704313225947,0,0,9.840791827305472,12.95724604050263,759.4181498690281
51,-0,-0,23.769589299687052,-0,-0,-4.996766508087293,77.10795068762204,-0,-0,9.835619595841786,12.772425402101032,758.4044707783775
52,-0,-0,23.2140818374559,-0,-0,-4.994638387647496,77.04628081403371,-0,-0,9.821485196371196,12.654011728502569,756.7089064504902
53,-0,-0,22.658712004204098,-0,-0,-4.994369156186935,76.9849739231363,-0,-0,9.80316885905986,12.647812420815121,754.696698978825
54,-0,-0,22.103259902603806,-0,-0,-4.99607881664817,76.92344975373419,-0,-0,9.786958342378997,12.76157993574223,752.8465982918804
55,-0,-0,21.547531050984006,-0,-0,-4.9992013742540635,76.8611942666025,-0,-0,9.778543699858222,12.961586565898072,751.5905469592648
56,0,0,20.991424692067227,0,0,-5.0026647302810385,76.79793984401289,0,0,9.781060589974267,13.183175271125842,751.1653027994889
57,0,0,20.43497135346673,0,0,-5.00524889444928,76.73376526025253,0,0,9.793934537773682,13.352173027670279,751.5254737958055
58,0,0,19.878325804561683,0,0,-5.006007330254709,76.66907866800956,0,0,9.81294161541357,13.410360261349233,752.3491926767277
59,0,0,19.321716197829083,0,0,-5.004610335516286,76.60448495215023,0,0,9.831520473445151,13.336549956346166,753.138562164786
60,0,0,18.765365224626247,0,0,-5.00148869765644,76.54057816966855,0,0,9.842958487130263,13.155864843036406,753.3857335049963
61,-0,-0,18.20940959357837,-0,-0,-4.997716805636883,76.47772754856386,-0,-0,9.842759507558013,12.933333544592854,752.7518799450582
62,-0,-0,17.653846268518656,-0,-0,-4.994659815811608,76.41593182283377,-0,-0,9.830390106339774,12.752983317939306,751.1984201579197
63,-0,-0,17.09852637022439,-0,-0,-4.993493026500447,76.35479801349499,-0,-0,9.809748018657894,12.688657891130097,749.0213285279061
64,-0,-0,16.543202243158564,-0,-0,-4.994755253504791,76.2936614369444,-0,-0,9.788077102599413,12.776173500689126,746.7682405844273
65,-0,-0,15.98761451638547,-0,-0,-4.998100675572072,76.23181515066703,-0,-0,9.773566653088134,12.996860911716178,745.0567264609381
66,0,0,15.43159023377778,0,0,-5.002358882595218,76.16877485267995,0,0,9.772363401171365,13.279565431724416,744.3489476823913
67,0,0,14.87511618079289,0,0,-5.005912781554687,76.10448472315367,0,0,9.786022994638994,13.522398807790612,744.7602374959339
68,0,0,14.318356947779757,0,0,-5.00728777353088,76.03938068320521,0,0,9.810404406189654,13.62857689889572,745.9770752984489
69,0,0,13.761604709383885,0,0,-5.005752324931687,75.97427029254048,0,0,9.836623566139458,13.54478291147236,747.3302975798526
70,0,0,13.205172456531336,0,0,-5.001697124203684,75.91005207931828,0,0,9.854006836751632,13.287895517571537,748.0181721677747
71,-0,-0,12.649266334453088,-0,-0,-4.996609905237783,75.84736147263226,-0,-0,9.854210668359212,12.94807019465162,747.4158785905103
72,-0,-0,12.09388651885024,-0,-0,-4.992592410178383,75.7862722241548,-0,-0,9.835064782403194,12.663108487333075,745.3628969414062
73,-0,-0,11.538802448158316,-0,-0,-4.991541424556179,75.726182047474,-0,-0,9.802515589239597,12.569143232277957,742.3070800339596
74,-0,-0,10.983625168272988,-0,-0,-4.994278999927056,75.6659616829603,-0,-0,9.769463493448763,12.742787190736667,739.2158503583736
75,0,0,10.427962184939082,0,0,-5.000000023398843,75.60435685317519,0,0,9.751292155914987,13.156237765002388,737.2401719353647
76,0,0,9.871600733951738,0,0,-5.006353873102314,75.540528764485,0,0,9.759243412665429,13.666147655041959,737.2184077340636
