group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_1,0.555166,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_2,0.595948,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_3,0.587819,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_4,0.590029,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_5,0.576504,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_6,0.562394,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_7,0.581088,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_8,0.577834,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_9,0.581921,,
cgl_direct_limited_descent_short,cgl_direct_limited_descent_short_10,0.581536,,
cgl_direct_limited_descent_short,set_1_avg,,0.579024,0.003884
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_1,0.560647,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_2,0.562328,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_3,0.687109,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_4,0.680460,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_5,0.559640,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_6,0.588926,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_7,0.581326,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_8,0.572099,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_9,0.579544,,
zoh_direct_limited_descent_short,zoh_direct_limited_descent_short_10,0.583839,,
zoh_direct_limited_descent_short,set_1_avg,,0.595592,0.015053
