t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000001,0,0,0.00000000000000031821279949063137,80.00000000000004,0,0,3.705904743489228,4.999999973372359,296.4723794791384
1,0,0,50.00000000000001,0,0,-0.30520476282553805,79.98867449078526,0,0,3.706429375614856,5.000707805734991,296.47237284914115
2,0,0,49.984739761858734,0,0,-0.610383294044795,79.97734898193812,0,0,3.7069539888959815,5.001415612622035,296.4723528299215
3,0,0,49.95422059715649,0,0,-0.9155355945999958,79.9660234739701,0,0,3.7074785830079113,5.002123393580016,296.47231939805204
4,0,0,49.908443817426495,0,0,-1.2206616654496,79.95469796739363,0,0,3.7080031576353463,5.002831148161547,296.47227253087595
5,0,0,49.84741073415401,0,0,-1.5257615075678326,79.9433724627224,0,0,3.7085277124726086,5.003538875928624,296.4722122065256
6,0,0,49.77112265877562,0,0,-1.830835121944202,79.93204696047052,0,0,3.709052247248951,5.0042465764578274,296.47213840594185
7,0,0,49.67958090267841,0,0,-2.135882509581754,79.92072146115336,0,0,3.709576761835764,5.004954249349407,296.4720511214433
8,0,0,49.57278677719932,0,0,-2.4409036714899663,79.90939596528678,0,0,3.710101256087025,5.005661894243697,296.4719503439659
9,0,0,49.45074159362482,0,0,-2.745898608685615,79.89807047338756,0,0,3.7106257288445543,5.006369510842058,296.4718359835873
10,0,0,49.31344666319055,0,0,-3.050867322243387,79.88674498597287,0,0,3.7111501814976458,5.007077098982045,296.47170815394935
11,0,0,49.16090329707838,0,0,-3.3558098131685044,79.8754195035605,0,0,3.7116746146204,5.007784658742423,296.4715669035207
12,0,0,48.99311280641995,0,0,-3.6607260824374848,79.8640940266676,0,0,3.712199026230196,5.0084921907707765,296.47141207655227
13,0,0,48.810076502298074,0,0,-3.965616131125975,79.85276855580979,0,0,3.7127234286847166,5.009199697212603,296.47124466249323
14,0,0,48.611795695741776,0,0,-4.270479959691739,79.84144309149777,0,0,3.7132478241367712,5.009907185513187,296.47106483544394
15,0,0,48.39827169775718,0,0,-4.575317568484901,79.8301176342255,0,0,3.7137722370482824,5.010614693795989,296.4708745502852
16,0,0,48.16950581933295,0,0,-4.880128956632487,79.81879218440054,0,0,7.412578680757279,9.818590050082797,591.6630772698832
17,0,0,47.925499371501324,0,0,-5.000000022594622,79.79660396758082,0,0,9.809999997490953,12.166118048629022,782.8046847217545
18,0,0,47.67549937037158,0,0,-5.000000022720075,79.76911932312971,0,0,9.809999996588633,12.170160511423605,782.5350602877808
19,0,0,47.42549936923558,0,0,-5.000000022890643,79.74163501765327,0,0,9.809999999448971,12.174533687929895,782.2654394792386
20,0,0,47.17549936809105,0,0,-5.000000022918195,79.7141503108492,0,0,9.810000000110794,12.178325259654446,781.9958145582625
21,0,0,46.92549936694515,0,0,-5.000000022912656,79.68666652198858,0,0,9.809999999962292,12.181864943466664,781.7261985777031
22,0,0,46.67549936579951,0,0,-5.000000022914541,79.65918422481654,0,0,9.809999999838459,12.186213895514957,781.456597232582
23,0,0,46.42549936465378,0,0,-5.000000022922618,79.6317015995617,0,0,9.810000000020906,12.190112739199233,781.186992693365
24,0,0,46.17549936350765,0,0,-5.000000022921573,79.60421966767387,0,0,9.809999999980104,12.19380683899934,780.9173949382969
25,0,0,45.92549936236157,0,0,-5.000000022922567,79.57673889632538,0,0,9.809999999885292,12.197567982213782,780.6478085638239
26,0,0,45.67549936121544,0,0,-5.000000022928303,79.5492591398484,0,0,9.810000000029543,12.201410816339644,780.378232164263
27,0,0,45.42549936006903,0,0,-5.000000022926826,79.52178021979942,0,0,9.810000000219135,12.205302747372365,780.1086639736584
28,0,0,45.175499358922686,0,0,-5.000000022915869,79.49430203135428,0,0,9.80999999982537,12.209217949810244,779.8391029137034
29,0,0,44.92549935777689,0,0,-5.000000022924601,79.466824527951,0,0,9.810000000132062,12.213141773876577,779.5695486296939
30,0,0,44.67549935663066,0,0,-5.000000022917997,79.43934769605096,0,0,9.810000000093444,12.217067151727557,779.3000009056831
