run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_direct_limited_descent_ultra_short_1,coarse,25,1,170,0.894684,0.981260,Solved,12.100000
cgl_direct_limited_descent_ultra_short_1,fine,3,1,15,0.043307,0.051039,Solved,12.100000
cgl_direct_limited_descent_ultra_short_1,total,28,2,185,0.937992,1.039155,Solved,12.100000
cgl_direct_limited_descent_ultra_short_2,coarse,25,1,170,0.894861,0.997127,Solved,12.100000
cgl_direct_limited_descent_ultra_short_2,fine,3,1,15,0.043295,0.051744,Solved,12.100000
cgl_direct_limited_descent_ultra_short_2,total,28,2,185,0.938156,1.055763,Solved,12.100000
cgl_direct_limited_descent_ultra_short_3,coarse,25,1,170,0.903438,1.004093,Solved,12.100000
cgl_direct_limited_descent_ultra_short_3,fine,3,1,15,0.044535,0.053125,Solved,12.100000
cgl_direct_limited_descent_ultra_short_3,total,28,2,185,0.947973,1.065046,Solved,12.100000
cgl_direct_limited_descent_ultra_short_4,coarse,25,1,170,0.909793,1.005455,Solved,12.100000
cgl_direct_limited_descent_ultra_short_4,fine,3,1,15,0.044199,0.052927,Solved,12.100000
cgl_direct_limited_descent_ultra_short_4,total,28,2,185,0.953992,1.065144,Solved,12.100000
cgl_direct_limited_descent_ultra_short_5,coarse,25,1,170,0.885103,0.976181,Solved,12.100000
cgl_direct_limited_descent_ultra_short_5,fine,3,1,15,0.044940,0.054859,Solved,12.100000
cgl_direct_limited_descent_ultra_short_5,total,28,2,185,0.930043,1.037534,Solved,12.100000
cgl_direct_limited_descent_ultra_short_6,coarse,25,1,170,0.889146,0.978082,Solved,12.100000
cgl_direct_limited_descent_ultra_short_6,fine,3,1,15,0.044644,0.055571,Solved,12.100000
cgl_direct_limited_descent_ultra_short_6,total,28,2,185,0.933790,1.040583,Solved,12.100000
cgl_direct_limited_descent_ultra_short_7,coarse,25,1,170,0.883692,0.979742,Solved,12.100000
cgl_direct_limited_descent_ultra_short_7,fine,3,1,15,0.043138,0.051652,Solved,12.100000
cgl_direct_limited_descent_ultra_short_7,total,28,2,185,0.926830,1.038886,Solved,12.100000
cgl_direct_limited_descent_ultra_short_8,coarse,25,1,170,0.904345,1.010127,Solved,12.100000
cgl_direct_limited_descent_ultra_short_8,fine,3,1,15,0.045611,0.055219,Solved,12.100000
cgl_direct_limited_descent_ultra_short_8,total,28,2,185,0.949956,1.073698,Solved,12.100000
cgl_direct_limited_descent_ultra_short_9,coarse,25,1,170,0.880450,0.971473,Solved,12.100000
cgl_direct_limited_descent_ultra_short_9,fine,3,1,15,0.044405,0.052340,Solved,12.100000
cgl_direct_limited_descent_ultra_short_9,total,28,2,185,0.924855,1.030877,Solved,12.100000
cgl_direct_limited_descent_ultra_short_10,coarse,25,1,170,0.872684,0.964298,Solved,12.100000
cgl_direct_limited_descent_ultra_short_10,fine,3,1,15,0.042993,0.051506,Solved,12.100000
cgl_direct_limited_descent_ultra_short_10,total,28,2,185,0.915677,1.023693,Solved,12.100000
cgl_direct_limited_descent_ultra_short_1,coarse,25,1,170,0.895458,0.993402,Solved,12.050000
cgl_direct_limited_descent_ultra_short_1,fine,2,1,12,0.042720,0.049596,Solved,12.050000
cgl_direct_limited_descent_ultra_short_1,total,27,2,182,0.938177,1.051658,Solved,12.050000
cgl_direct_limited_descent_ultra_short_2,coarse,25,1,170,0.882857,0.979918,Solved,12.050000
cgl_direct_limited_descent_ultra_short_2,fine,2,1,12,0.041792,0.047688,Solved,12.050000
cgl_direct_limited_descent_ultra_short_2,total,27,2,182,0.924649,1.034876,Solved,12.050000
cgl_direct_limited_descent_ultra_short_3,coarse,25,1,170,0.886152,0.994223,Solved,12.050000
cgl_direct_limited_descent_ultra_short_3,fine,2,1,12,0.043116,0.049239,Solved,12.050000
cgl_direct_limited_descent_ultra_short_3,total,27,2,182,0.929268,1.050469,Solved,12.050000
cgl_direct_limited_descent_ultra_short_4,coarse,25,1,170,0.888490,0.984532,Solved,12.050000
cgl_direct_limited_descent_ultra_short_4,fine,2,1,12,0.044355,0.052372,Solved,12.050000
cgl_direct_limited_descent_ultra_short_4,total,27,2,182,0.932845,1.043637,Solved,12.050000
cgl_direct_limited_descent_ultra_short_5,coarse,25,1,170,0.893118,0.985416,Solved,12.050000
cgl_direct_limited_descent_ultra_short_5,fine,2,1,12,0.043775,0.050185,Solved,12.050000
cgl_direct_limited_descent_ultra_short_5,total,27,2,182,0.936893,1.041670,Solved,12.050000
cgl_direct_limited_descent_ultra_short_6,coarse,25,1,170,0.906198,1.009131,Solved,12.050000
cgl_direct_limited_descent_ultra_short_6,fine,2,1,12,0.043406,0.051092,Solved,12.050000
cgl_direct_limited_descent_ultra_short_6,total,27,2,182,0.949604,1.067374,Solved,12.050000
cgl_direct_limited_descent_ultra_short_7,coarse,25,1,170,0.918498,1.026993,Solved,12.050000
cgl_direct_limited_descent_ultra_short_7,fine,2,1,12,0.051130,0.060345,Solved,12.050000
cgl_direct_limited_descent_ultra_short_7,total,27,2,182,0.969628,1.096820,Solved,12.050000
cgl_direct_limited_descent_ultra_short_8,coarse,25,1,170,0.902653,1.007078,Solved,12.050000
cgl_direct_limited_descent_ultra_short_8,fine,2,1,12,0.052628,0.061859,Solved,12.050000
cgl_direct_limited_descent_ultra_short_8,total,27,2,182,0.955281,1.075603,Solved,12.050000
cgl_direct_limited_descent_ultra_short_9,coarse,25,1,170,0.933968,1.042391,Solved,12.050000
cgl_direct_limited_descent_ultra_short_9,fine,2,1,12,0.044150,0.052074,Solved,12.050000
cgl_direct_limited_descent_ultra_short_9,total,27,2,182,0.978118,1.101676,Solved,12.050000
cgl_direct_limited_descent_ultra_short_10,coarse,25,1,170,0.915942,1.021185,Solved,12.050000
cgl_direct_limited_descent_ultra_short_10,fine,2,1,12,0.042311,0.050803,Solved,12.050000
cgl_direct_limited_descent_ultra_short_10,total,27,2,182,0.958253,1.079382,Solved,12.050000
