t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50,0,0,-0.000000000000000005205190208064587,80.00000000000004,0,0,4.358941432274292,5.0000001903876115,348.7153145819435
1,0,0,49.964347551483485,0,0,-0.616113968943741,79.9739724547031,0,0,4.563395999486992,5.018628510494594,364.952905962875
2,0,0,49.859407197838756,0,0,-1.2032922167243099,79.94748773316537,0,0,4.857396993986737,5.172416470451841,388.336686591869
3,-0,-0,49.68903801044093,-0,-0,-1.7527981432222857,79.91993816038487,-0,-0,5.214523987398889,5.425720409834004,416.74443460876273
4,-0,-0,49.45793848675733,-0,-0,-2.258689878694764,79.89088737751904,-0,-0,5.6125182231488635,5.748556729803807,448.3890612698591
5,-0,-0,49.17135169850312,-0,-0,-2.71736702618429,79.86004232517134,-0,-0,6.032847202797837,6.115975900636305,481.78343295672676
6,-0,-0,48.83481975314249,-0,-0,-3.1271657116755693,79.82722839161714,-0,-0,6.46029974447192,6.507485263820771,515.7078231802658
7,-0,-0,48.453982211938865,-0,-0,-3.4879985132717604,79.79236746374393,-0,-0,6.882610203661183,6.906518062179971,549.1797624802465
8,-0,-0,48.03441349346082,-0,-0,-3.8010359897597983,79.75545864094497,-0,-0,7.290110573109164,7.299946212935405,581.4261123015235
9,-0,-0,47.58149466017875,-0,-0,-4.068426674990771,79.71656139003561,-0,-0,7.675409204957852,7.677634418974435,611.857229080667
10,0,0,47.10031533789742,0,0,-4.293052547516887,79.67578093390058,0,0,8.033094924757235,8.032033292741115,640.043111446186
11,0,0,46.59560185360471,0,0,-4.4783171249009195,79.6332556790661,0,0,8.359465333392986,8.357809245176952,665.6914402343732
12,0,0,46.07166799723236,0,0,-4.627963469047406,79.58914649843602,0,0,8.65227811942999,8.65150896898088,688.6274307925261
13,0,0,45.53238511716541,0,0,-4.745919522796973,79.54362769559808,0,0,8.910524230813708,8.911256421139113,708.7754219884511
14,0,0,44.981168548457084,0,0,-4.836168328876399,79.49687948671381,0,0,9.134221781315718,9.136480284195796,726.1421281541719
15,0,0,44.42097764695132,0,0,-4.902640810106985,79.449081845294,0,0,9.324229593553977,9.327669959093784,740.8014801225823
16,0,0,43.854326962238446,0,0,-4.949128914542732,79.40040956424961,0,0,9.48207930686265,9.486158214612225,752.8809804855905
17,0,0,43.28330632791828,0,0,-4.979217050937762,79.35102839856373,0,0,9.60982500473059,9.613928689463172,762.5494968556048
18,0,0,42.709607879371205,0,0,-4.996229858629044,79.30109216076937,0,0,9.7099093429719,9.71344651298383,770.0064156797301
