run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_direct_limited_descent_ultra_short_1,coarse,32,1,160,0.467582,0.575731,Solved,15.500000
zoh_direct_limited_descent_ultra_short_1,fine,1,1,10,0.056864,0.061019,Solved,15.500000
zoh_direct_limited_descent_ultra_short_1,total,33,2,170,0.524446,0.646623,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,coarse,32,1,160,0.486062,0.590255,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,fine,1,1,10,0.052222,0.057235,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,total,33,2,170,0.538283,0.658181,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,coarse,32,1,160,0.473272,0.569982,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,fine,1,1,10,0.055122,0.059348,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,total,33,2,170,0.528394,0.637192,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,coarse,32,1,160,0.474341,0.577146,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,fine,1,1,10,0.052305,0.056770,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,total,33,2,170,0.526645,0.642044,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,coarse,32,1,160,0.469913,0.565957,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,fine,1,1,10,0.063945,0.071356,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,total,33,2,170,0.533858,0.646659,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,coarse,32,1,160,0.466723,0.567814,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,fine,1,1,10,0.052668,0.057800,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,total,33,2,170,0.519391,0.633782,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,coarse,32,1,160,0.470097,0.562819,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,fine,1,1,10,0.055126,0.060697,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,total,33,2,170,0.525223,0.632366,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,coarse,32,1,160,0.467997,0.561825,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,fine,1,1,10,0.053558,0.058533,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,total,33,2,170,0.521555,0.628560,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,coarse,32,1,160,0.471754,0.571308,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,fine,1,1,10,0.053955,0.058827,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,total,33,2,170,0.525709,0.638790,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,coarse,32,1,160,0.469769,0.560888,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,fine,1,1,10,0.054905,0.058849,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,total,33,2,170,0.524674,0.628682,Solved,15.500000
zoh_direct_limited_descent_ultra_short_1,coarse,32,1,160,0.482170,0.583881,Solved,15.500000
zoh_direct_limited_descent_ultra_short_1,fine,1,1,10,0.054187,0.058170,Solved,15.500000
zoh_direct_limited_descent_ultra_short_1,total,33,2,170,0.536358,0.651525,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,coarse,32,1,160,0.473224,0.584327,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,fine,1,1,10,0.052672,0.057405,Solved,15.500000
zoh_direct_limited_descent_ultra_short_2,total,33,2,170,0.525895,0.652560,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,coarse,32,1,160,0.472296,0.571913,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,fine,1,1,10,0.052850,0.058222,Solved,15.500000
zoh_direct_limited_descent_ultra_short_3,total,33,2,170,0.525146,0.639250,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,coarse,32,1,160,0.479837,0.591469,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,fine,1,1,10,0.053285,0.058592,Solved,15.500000
zoh_direct_limited_descent_ultra_short_4,total,33,2,170,0.533122,0.659111,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,coarse,32,1,160,0.472161,0.569427,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,fine,1,1,10,0.053019,0.058637,Solved,15.500000
zoh_direct_limited_descent_ultra_short_5,total,33,2,170,0.525181,0.636813,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,coarse,32,1,160,0.470182,0.570188,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,fine,1,1,10,0.053484,0.057546,Solved,15.500000
zoh_direct_limited_descent_ultra_short_6,total,33,2,170,0.523667,0.636257,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,coarse,32,1,160,0.475583,0.570785,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,fine,1,1,10,0.053574,0.057998,Solved,15.500000
zoh_direct_limited_descent_ultra_short_7,total,33,2,170,0.529158,0.636834,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,coarse,32,1,160,0.482903,0.592745,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,fine,1,1,10,0.052634,0.056327,Solved,15.500000
zoh_direct_limited_descent_ultra_short_8,total,33,2,170,0.535537,0.658303,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,coarse,32,1,160,0.471261,0.574507,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,fine,1,1,10,0.052688,0.056512,Solved,15.500000
zoh_direct_limited_descent_ultra_short_9,total,33,2,170,0.523948,0.640147,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,coarse,32,1,160,0.473228,0.575834,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,fine,1,1,10,0.052477,0.056542,Solved,15.500000
zoh_direct_limited_descent_ultra_short_10,total,33,2,170,0.525704,0.642101,Solved,15.500000
