t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,50.00000000000006,0,0,0.0000000000006493825002760162,80.00000000005141,0,0,5.101687914139512,5.1016879136059075,408.13503313142326
1,0,0,50.00000000000017,0,0,-0.47083120858480915,79.97689001707768,0,0,5.115405735379538,5.115405742891091,409.11424189117764
2,0,0,49.95291687914174,0,0,-0.940290635046324,79.95372459696215,0,0,5.129111211240127,5.129111215780938,410.09154521068405
3,0,0,49.85888781563715,0,0,-1.4083795139218387,79.9305038476816,0,0,5.146735862262443,5.1467358536461525,411.3811906415691
4,0,0,49.718049864245025,0,0,-1.874705927695181,79.90721008606609,0,0,5.1647507663669385,5.164750760596246,412.7008245302538
5,0,0,49.53057927147556,0,0,-2.3392308510581317,79.88384161432924,0,0,5.188867564289067,5.188867556152759,414.5066746633982
6,0,0,49.2966561863698,0,0,-2.8013440946289285,79.86037090548437,0,0,5.226332875948279,5.2263328653478185,417.3768819487564
7,0,0,49.01652177690696,0,0,-3.2597108070338625,79.83673770129917,0,0,5.286280353923004,5.286280342292348,422.03937803168185
8,0,0,48.69055069620362,0,0,-3.712082771641382,79.81284053234943,0,0,5.395315161113809,5.395315149368063,430.6154285757436
9,0,0,48.319342419039536,0,0,-4.153551255529878,79.78845783628776,0,0,5.649869801820442,5.649869790478566,450.7943984630658
10,0,0,47.9039872934866,0,0,-4.569564275347769,79.76293273231882,0,0,6.600391689769603,6.600391679125557,526.4665983580489
11,0,0,47.447030865951874,0,0,-4.890525106370799,79.73312368176687,0,0,9.200493827992075,9.20049381748202,733.5841123206249
12,0,0,46.95797835531485,0,0,-4.951475723571589,79.69159049392175,0,0,9.866561580465403,9.86656156999021,786.2819850535103
13,0,0,46.46283078295774,0,0,-4.945819565525045,79.64707456045969,0,0,9.856409380349659,9.85640936973081,785.0341728151235
14,0,0,45.96824882640529,0,0,-4.941178627490073,79.60262926002761,0,0,9.843804977143876,9.843804966312614,783.5927581035985
15,0,0,45.47413096365632,0,0,-4.937798129775681,79.55826555054571,0,0,9.829566449285284,9.829566438334389,782.0232578189733
16,0,0,44.980351150678814,0,0,-4.935841484847147,79.51399068168148,0,0,9.820681555344486,9.820681544330476,780.8815816794225
17,0,0,44.48676700219415,0,0,-4.934773329312693,79.4697804386055,0,0,9.815046079303578,9.815046068247343,779.999556917051
18,0,0,43.99328966926293,0,0,-4.934268721382331,79.42562012502114,0,0,9.811300849200064,9.811300838108746,779.2686541808616
19,0,0,43.499862797124756,0,0,-4.93413863646232,79.38150118741626,0,0,9.808842294941796,9.808842283824907,778.640626283101
20,0,0,43.00644893347857,0,0,-4.934254406968136,79.33741780306845,0,0,9.806388593769373,9.806388582640821,778.0135490031256
21,0,0,42.513023492781805,0,0,-4.934615547591194,79.2933699181554,0,0,9.802765236347073,9.802765225224297,777.2942901065026
22,0,0,42.01956193802273,0,0,-4.935339023956482,79.24936275017329,0,0,9.798057798772009,9.798057787671716,776.4898367420474
23,0,0,41.52602803562714,0,0,-4.936533244079276,79.20540112113252,0,0,9.793728632742988,9.79372862167771,775.7162048279292
24,0,0,41.032374711219255,0,0,-4.938160380804972,79.16148328652926,0,0,9.791847233093474,9.79184722206997,775.1371510867768
25,0,0,40.538558673138816,0,0,-4.93997565749562,79.11759823321218,0,0,9.794191244285594,9.794191233300262,774.892887884632
26,0,0,40.0445611073893,0,0,-4.9415565330670566,79.07372701197704,0,0,9.801875915056277,9.801875904092489,775.0708603124327
27,0,0,39.55040545408265,0,0,-4.9423689415614245,79.02984572422515,0,0,9.815246348048511,9.815246337082574,775.6974046315382
28,0,0,39.05616855992656,0,0,-4.941844306756568,78.98592898076824,0,0,9.832564973590536,9.83256496260235,776.6342787028113
29,0,0,38.56198412925096,0,0,-4.93958780939751,78.94195921697921,0,0,9.847759219345079,9.84775920831773,777.4014066721703
30,0,0,38.06802534831125,0,0,-4.935811887462998,78.89794604056208,0,0,9.85335277025216,9.853352759170143,777.4092951859777
31,0,0,37.574444159565,0,0,-4.931476610437778,78.85393242450728,0,0,9.849179046052761,9.849179034908683,776.6464989343175
32,0,0,37.081296498521276,0,0,-4.927558705832496,78.80996198954595,0,0,9.84156561535296,9.84156560415486,775.6134120635893
33,0,0,36.58854062793807,0,0,-4.924402144297195,78.7660500341213,0,0,9.834196672281182,9.834196661049008,774.6008271342888
34,0,0,36.09610041350841,0,0,-4.921982477069072,78.72219539782952,0,0,9.826515913453132,9.82651590221434,773.5649058187388
35,0,0,35.60390216580155,0,0,-4.920330885723754,78.6783994015157,0,0,9.817276693898497,9.817276682679362,772.4076167577376
36,0,0,35.11186907722923,0,0,-4.919603216333899,78.6346689146038,0,0,9.80636715997519,9.806367148794846,771.1204348796925
37,0,0,34.61990875559589,0,0,-4.9199665003363755,78.59101128906325,0,0,9.794768826780706,9.794768815646247,769.7807874392872
38,0,0,34.1279121055623,0,0,-4.921489617658299,78.54742949446475,0,0,9.783999079663252,9.783999068567946,768.5079778837572
39,0,0,33.63576314379652,0,0,-4.92408970969197,78.50391974779008,0,0,9.775561355600907,9.77556134452889,767.4198841496916
40,0,0,33.14335417282737,0,0,-4.927533574131873,78.46047159411151,0,0,9.770518663824584,9.770518652763213,766.5995020827451
41,0,0,32.650600815414236,0,0,-4.93148170774941,78.41706988089119,0,0,9.76925885008226,9.76925883903469,766.0766539314153
42,0,0,32.15745264463935,0,0,-4.935555822741178,78.3736977676329,0,0,9.771519811749258,9.771519800737712,765.8301404564735
43,0,0,31.663897062365276,0,0,-4.939403841566248,78.33033961373347,0,0,9.776655887998349,9.776655877050713,765.8087759935177
44,0,0,31.1699566782087,0,0,-4.942738252766408,78.28698267570866,0,0,9.783964127188138,9.783964116318002,765.9570301249328
45,0,0,30.675682852932113,0,0,-4.94534184004759,78.24361735311747,0,0,9.792849384521569,9.792849373717146,766.2279600392176
46,0,0,30.18114866892741,0,0,-4.9470569015954275,78.20023670250905,0,0,9.802705798396914,9.802705787626378,766.5739137596967
47,0,0,29.686442978767914,0,0,-4.947786321755731,78.15683647753505,0,0,9.812547091883216,9.812547081105457,766.9176384884287
48,0,0,29.19166434659239,0,0,-4.9475316125674045,78.11341680440319,0,0,9.820873086514396,9.820873075694557,767.1419527900447
49,0,0,28.696911185335697,0,0,-4.94644430391596,78.0699844417773,0,0,9.826384283347965,9.826384272464031,767.1456681199005
50,0,0,28.20226675494415,0,0,-4.944805875581158,78.02655187557559,0,0,9.828891500328155,9.828891489374328,766.9145125297588
51,0,0,27.707786167386086,0,0,-4.942916725548337,77.98313239951614,0,0,9.829071905000083,9.829071893984496,766.5018157319857
52,0,0,27.213494494831306,0,0,-4.941009535048325,77.93973628884049,0,0,9.827547379553561,9.827547368494358,765.95645112849
53,0,0,26.71939354132652,0,0,-4.939254797092963,77.8963710525424,0,0,9.82456024507712,9.824560233996012,765.2975902785843
54,0,0,26.225468061617274,0,0,-4.937798772585246,77.85304311451385,0,0,9.820215229373064,9.820215218292917,764.5336396461867
55,0,0,25.731688184358802,0,0,-4.9367772496479345,77.80975842283385,0,0,9.814721557988403,9.814721546925611,763.6811134144571
56,0,0,25.238010459394054,0,0,-4.936305093849088,77.76652199089835,0,0,9.808457664922361,9.808457653886888,762.7696386959803
57,0,0,24.744379950009197,0,0,-4.936459327356847,77.72333715519248,0,0,9.80192475673045,9.801924745721935,761.8383026371888
58,0,0,24.25073401727356,0,0,-4.9372668516837965,77.68020503986972,0,0,9.795665841674792,9.795665830684879,760.9293310833458
59,0,0,23.75700733210523,0,0,-4.938700267516311,77.63712437910206,0,0,9.790184760602456,9.790184749618737,760.0817919532824
60,0,0,23.26313730535365,0,0,-4.94068179145606,77.59409169579962,0,0,9.785885072972235,9.78588506198213,759.3268636767643
61,0,0,22.76906912620809,0,0,-4.943093284158831,77.55110174817597,0,0,9.78303073791547,9.78303072691096,758.6848121616156
62,0,0,22.27475979779226,0,0,-4.945790210367279,77.50814814738426,0,0,9.781733153440664,9.781733142423047,758.1640223950592
63,0,0,21.78018077675558,0,0,-4.948616895023207,77.46522402997662,0,0,9.781962498142734,9.781962487118557,757.7619163714567
