t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,0,0,49.99999999999999,0,0,-0.0000000000000009004701176935602,79.99999999999983,0,0,3.7059047969455743,5.000000018673497,296.4723837556453
1,-0,-0,49.96199031505979,-0,-0,-0.6800885331569977,79.97443168773525,-0,-0,3.745818223290391,5.233523927283547,299.56968361321117
2,0,0,49.84826343349492,0,0,-1.3595434130232442,79.94872886023745,0,0,3.668187616710163,4.8068802245087126,293.26693717684145
3,0,0,49.658023303786656,0,0,-2.0515881813024865,79.92562528628821,0,0,3.576622473376202,4.486107741152032,285.86378759758367
4,-0,-0,49.39046988940219,-0,-0,-2.739484639956822,79.90153477276797,-0,-0,3.7824290825075217,5.224370473102498,302.2218888615036
5,-0,-0,49.04829129413353,-0,-0,-3.381104458595218,79.87177586031504,-0,-0,4.406887735515822,6.597502763787943,351.98594945269105
6,-0,-0,48.63917521216758,-0,-0,-3.9327648889331606,79.83525086850305,-0,-0,5.369261593656017,7.796296521798349,428.65634630814657
7,0,0,48.174912954984066,0,0,-4.366496780951809,79.79410713914439,0,0,6.487021886442332,8.417546611021164,517.626119420754
8,0,0,47.66922777219957,0,0,-4.6757335777546425,79.75111999524962,0,0,7.57225421065227,8.59066734563661,603.8957541882634
9,0,0,47.13549340771122,0,0,-4.872333669515465,79.70759207957293,0,0,8.48861880239934,8.711075931465656,676.6073648206395
10,0,0,46.58505402605159,0,0,-4.979508283758273,79.66285927524773,0,0,9.169384024387696,9.117945993639664,730.4593491755018
11,-0,-0,46.026384079790944,-0,-0,-5.024324662114313,79.61512160397332,-0,-0,9.609454516298529,9.908546359508863,765.057889862958
12,-0,-0,45.46500344726562,-0,-0,-5.031891946236446,79.56275569892142,-0,-0,9.845271283956205,10.92804115830516,783.3169139550139
13,-0,-0,44.903908274495045,-0,-0,-5.021965041750351,79.5053361796076,-0,-0,9.932928083122173,11.880613662476511,789.7207864964936
14,-0,-0,44.34425108463506,-0,-0,-5.0077952391933565,79.44396455506126,-0,-0,9.930438454220138,12.478655909367454,788.9134005732819
15,0,0,43.78605157718829,0,0,-4.996609602020699,79.38090258758086,0,0,9.886413631189376,12.560785276312622,784.7924373979754
16,0,0,43.228796855470684,0,0,-4.990996890671379,79.31877653380684,0,0,9.83497039844133,12.142443514882983,780.097819250573
17,0,0,42.6718661097216,0,0,-4.990578602545367,79.25971264023109,0,0,9.795417615319737,11.396304296177663,776.3819853813
18,0,0,42.114773914234895,0,0,-4.993533968204986,79.20471083844183,0,0,9.774881918974945,10.583221494338746,774.2166958723238
19,0,0,41.557263087246604,0,0,-4.997747615373236,79.15342610362792,0,0,9.772196228609488,9.964660437976754,773.5028120513925
20,-0,-0,40.99929424779291,-0,-0,-5.001513047897199,79.10437125581072,-0,-0,9.78180563106407,9.726005036007233,773.7835841918721
21,-0,-0,40.4409799403282,-0,-0,-5.003836346670819,79.05542998500563,-0,-0,9.796940273757873,9.930863095415832,774.5013258793474
22,-0,-0,39.882502523923094,-0,-0,-5.004443010446244,79.00450008857455,-0,-0,9.811740665715122,10.51411762399756,775.1716662935609
23,-0,-0,39.324042307177685,-0,-0,-5.003606960666128,78.9500786589252,-0,-0,9.822339866418655,11.309914504318751,775.4745050684496
24,-0,-0,38.76572961623297,-0,-0,-5.001908409183352,78.89164227816111,-0,-0,9.827098518797706,12.102616951331449,775.2759409772356
25,0,0,38.20762401460644,0,0,-5.000000006179286,78.82974643295752,0,0,9.826269528911437,12.685096426304431,774.6023353459856
26,0,0,37.649716788359434,0,0,-4.998429195187948,78.76584699765962,0,0,9.821369171121829,12.909397140132848,773.5884614401131
27,0,0,37.09194910145292,0,0,-4.997536231668451,78.70191302264864,0,0,9.814482394933883,12.718753105877395,772.4185398084028
28,0,0,36.534237332539625,0,0,-4.9974257389089525,78.63994095153795,0,0,9.807659710868482,12.155658970933183,771.2737805354752
29,0,0,35.97649817015365,0,0,-4.997996162674017,78.58149073336581,0,0,9.802491517884318,11.346665363145355,770.2943963765235
30,0,0,35.4186681904835,0,0,-4.999005403305284,78.52734674592327,0,0,9.799885564679842,10.469515872357988,769.559011807982
31,-0,-0,34.8607151270378,-0,-0,-5.00015061332494,78.4773690995222,-0,-0,9.800030071561933,9.711338547751824,769.0805771123828
32,-0,-0,34.3026403274665,-0,-0,-5.001143679765792,78.430554348333,-0,-0,9.802499500190498,9.227525409716913,768.815469799198
33,-0,-0,33.74447365882329,-0,-0,-5.001769415285294,78.38527936147749,-0,-0,9.806449545860943,9.109817767240283,768.6812871965441
34,-0,-0,33.186263234810305,-0,-0,-5.001919485258807,78.33966659873727,-0,-0,9.810848708506636,9.369455478158244,768.578616875062
35,-0,-0,32.62806280247056,-0,-0,-5.001600582130157,78.29198885657107,-0,-0,9.814701668661758,9.937743562245778,768.4125136734358
36,-0,-0,32.069919535751374,-0,-0,-5.000919735518228,78.24102895282688,-0,-0,9.817231151207347,10.68279135175953,768.110266738208
37,-0,-0,31.51186447938435,-0,-0,-5.000052668738921,78.18632378941525,-0,-0,9.817997443728718,11.43815629468059,767.6331270990248
38,0,0,30.95390712243844,0,0,-4.999202762802993,78.12824889169329,0,0,9.816946638198084,12.037162069348474,766.9808503056116
39,0,0,30.396034704059456,0,0,-4.998558586181638,78.06793293499805,0,0,9.814389125996534,12.34600507222632,766.1890720862716
40,0,0,29.83821599421237,0,0,-4.998257278183282,78.00702512945291,0,0,9.810918508538421,12.289411045804313,765.3205666385713
41,0,0,29.280408557024295,0,0,-4.998359550888036,77.94736534327284,0,0,9.807287705586775,11.864330799937235,764.4522378139603
42,0,0,28.722567975866802,0,0,-4.998839932529904,77.89062291695441,0,0,9.804263488702897,11.139586315160914,763.6601903770213
43,0,0,28.164657252758516,0,0,-4.999593368147462,77.83797312287683,0,0,9.802482723457231,10.242028569853348,763.0053867659285
44,-0,-0,27.606654615367972,-0,-0,-5.000456701234366,77.78987059130873,-0,-0,9.802333035384743,9.332177526115204,762.5222183154897
