group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_1,zoh,0.400950,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_2,zoh,0.407631,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_3,zoh,0.412823,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_4,zoh,0.413433,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_5,zoh,0.415727,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_6,zoh,0.406178,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_7,zoh,0.433865,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_8,zoh,0.413049,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_9,zoh,0.413853,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,zoh_direct_limited_descent_very_short_10,zoh,0.400440,11.160000,0.100000,0.090000,0.010000,24,,
zoh_direct_limited_descent_very_short,set_1_avg,zoh,,11.160000,0.100000,0.090000,0.010000,24,0.411795,0.002995
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_1,cgl,0.500166,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_2,cgl,0.507642,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_3,cgl,0.495753,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_4,cgl,0.499930,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_5,cgl,0.500803,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_6,cgl,0.492107,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_7,cgl,0.511681,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_8,cgl,0.497996,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_9,cgl,0.497586,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,cgl_direct_limited_descent_very_short_10,cgl,0.494993,11.130000,0.100000,0.090000,0.010000,20,,
cgl_direct_limited_descent_very_short,set_1_avg,cgl,,11.130000,0.100000,0.090000,0.010000,20,0.499866,0.001858
