t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,0.0000000000000007824410834172293,0.0000000000000015612163247234812,0.00000000000000015888504706044452,80.00000000000018,-0.5147990978698581,-1.0295981957416949,12.390635335097292,12.443991563651139,995.5193525012503
1,10,20,50,-0.0772198646804772,-0.15443972936125122,0.3870953002645936,79.91547797003722,-0.3641637730134089,-0.728327546027783,8.974810491233152,9.011675394035834,720.1723739778569
2,9.988417020297929,19.976834040595815,50.05806429503969,-0.13184443063248785,-0.26368886126541735,0.26181687394956626,79.85432466011714,-0.19925656957588767,-0.3985131391525203,5.031027777727758,5.0507180607578634,403.32170725012475
3,9.968640355703057,19.937280711406,50.097336826132135,-0.16173291606887036,-0.32346583213829405,-0.45502895939126986,79.82007090794414,-0.1935536038370244,-0.38710720767472556,5.009773930508168,5.028433787857621,401.3699689938238
4,9.944380418292726,19.88876083658526,50.029082482223444,-0.19076595664442345,-0.3815319132895018,-1.1750628698150445,79.78598288290922,-0.18855433518346237,-0.37710867036730156,5.006063069865292,5.023786190100799,400.8277464635248
5,9.915765524796063,19.831531049591835,49.85282305175117,-0.21904910692194227,-0.43809821384459596,-1.8956534093352506,79.75194090167683,-0.18372933607221514,-0.36745867214483874,5.006858714465959,5.023685207861217,400.64867329868764
6,9.882908158757772,19.765816317515146,49.5684750403509,-0.2466085073327741,-0.49321701466632084,-2.616124602165357,79.7179141288406,-0.17897746903855444,-0.35795493807756323,5.009704820128692,5.025664492499017,400.63551794072725
7,9.845916882657857,19.691833765315195,49.176056350026094,-0.2734551276885568,-0.5469102553779545,-3.3361688791460526,79.68388847613846,-0.1742417131609223,-0.34848342632214724,5.01312613028792,5.028243331749896,400.6700083565209
8,9.804898613504573,19.609797227008507,48.675631018154185,-0.29959138466269475,-0.5991827693262758,-4.055699959602865,79.64985989791887,-0.16931408536320164,-0.33862817072672496,5.011004804091482,5.025286258405196,400.2633738904898
9,9.759959905805168,19.51991981160956,48.067276024213754,-0.32498849746717473,-0.6499769949352839,-4.775549238989143,79.61586585056584,-0.28833105467828296,-0.5766621093571497,8.785192138114631,8.808817673812618,701.3216736900622
