t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,49.99999999999999,0.00000000000000015512945937056396,0.00000000000000031073449701275134,-0.0000000000000001462191239466194,80.00000000000004,-0.27456200742255854,-0.549124014845119,3.8608068747782176,4.999999998873368,312.74527607172496
1,10,20,49.99999999999999,-0.006864050185563664,-0.013728100371127367,-0.1487298281305449,79.99433704493235,-0.2756867073992438,-0.5513734147984908,3.8624155542987766,5.000353930472654,312.88187121484117
2,9.999828398745361,19.99965679749072,49.996281754296746,-0.013756217870544618,-0.027512435741089355,-0.2974194392730757,79.98867408991067,-0.2768760321185112,-0.553752064237031,3.8641098725294016,5.000707855746973,313.02713791031965
3,9.9994844932986,19.998968986597195,49.98884626831491,-0.020678118673507266,-0.04135623734701486,-0.44606669245984093,79.98301113499892,-0.2781357819426854,-0.5562715638853782,3.8658982543061664,5.001061774637335,313.1819228721529
4,9.998967540331762,19.99793508066351,49.97769460100346,-0.02763151322207427,-0.05526302644414906,-0.594669236102187,79.97734818026129,-0.2794724695866961,-0.5589449391733847,3.867790258354167,5.001415687084701,313.34718584228625
5,9.998276752501212,19.996553505002435,49.962827870100845,-0.03461832496174155,-0.06923664992348344,-0.7432244796433332,79.97168522576148,-0.2808934323707718,-0.5617868647415372,3.8697967732599357,5.0017695930300565,313.5240189576688
6,9.997411294377166,19.994822588754335,49.94424725810977,-0.04164066077101073,-0.08328132154202163,-0.8917295603118353,79.96602227156369,-0.2824069662647675,-0.5648139325295352,3.871930255244952,5.002123492414348,313.71367021079317
7,9.996370277857892,19.99274055571578,49.92195401910201,-0.04870083492762982,-0.0974016698552598,-1.040181303930712,79.96035931773194,-0.28402248679088615,-0.5680449735817817,3.874205018452766,5.0024773851784685,313.91757204259494
8,9.995152756984705,19.990305513969396,49.89594948650374,-0.05580139709740187,-0.11160279419480414,-1.1885761784693931,79.95469636433094,-0.2857507232330844,-0.5715014464661695,3.8766375916942493,5.0028312712634095,314.13737641681035
9,9.993757722057262,19.987515444114525,49.866235082042,-0.06294516517822889,-0.1258903303564582,-1.3369102386770373,79.94903341142447,-0.2876039544183369,-0.5752079088366768,3.8792471599602627,5.003185150610135,314.3749981426105
10,9.99218409292781,19.984368185855615,49.83281232607505,-0.07013526403868722,-0.14027052807737495,-1.4851790596780312,79.94337045907707,-0.2895962967416401,-0.5791925934832867,3.8820561149690715,5.003539023159667,314.6326687807056
11,9.990430711326846,19.98086142265369,49.795682849583145,-0.07737517145722815,-0.15475034291445694,-1.6333776568038052,79.93770750735317,-0.2917440583231125,-0.5834881166462366,3.8850907472204885,5.003892888853102,314.91300424822305
12,9.98849633204042,19.976992664080836,49.754848408163014,-0.08466877291530588,-0.16933754583061272,-1.7815003881232936,79.93204455631721,-0.2940661775190982,-0.5881323550381936,3.8883821234741975,5.004246747631678,315.2190903218309
13,9.98637961271753,19.97275922543506,49.71031089845997,-0.09202042735328327,-0.18404085470656742,-1.9295408350364391,79.9263816060337,-0.29658476990424115,-0.5931695398084826,3.891967209707553,5.004600599436779,315.55459176124
14,9.984079102033697,19.968158204067404,49.66207237758405,-0.09943504660088925,-0.19887009320177937,-2.077491654793751,79.92071865656719,-0.29932581593229673,-0.5986516318645928,3.8958903226838113,5.00495444420997,315.9238929426963
15,9.981593225868682,19.96318645173736,49.6101350862142,-0.10691819199919661,-0.2138363839983941,-2.225344396726656,79.91505570798225,-0.3023200327010498,-0.6046400654021099,3.9002050266898154,5.005308281893197,316.33228101697114
16,9.978920271068693,19.957840542137397,49.55450147629608,-0.1144761928167228,-0.22895238563344675,-2.3730892710594116,79.90939276034364,-0.30560398895247537,-0.6112079779049554,3.9049766411779054,5.005662112428769,316.7861871785739
17,9.976058366248283,19.95211673249656,49.49517424451956,-0.12211629254053466,-0.24423258508107057,-2.520714855029965,79.90372981371618,-0.3092215446564487,-0.618443089312923,3.9102855985466096,5.006015935759539,317.29350842605777
18,9.97300545893477,19.946010917869536,49.4321563731438,-0.12984683115694584,-0.25969366231389357,-2.6682077150663,79.89806686816465,-0.313225728272799,-0.6264514565456196,3.916232003073929,5.00636975182919,317.86404245544645
19,9.969759288155847,19.939518576311688,49.36545118026718,-0.1376774743637658,-0.275354948727534,-2.815551914989453,79.8924039237537,-0.31768121058975124,-0.6353624211795097,3.9229419152344396,5.006723560582404,318.5100841117747
20,9.966317351296755,19.932634702593504,49.29506238239243,-0.14561950462850956,-0.29123900925702173,-2.962728367108593,79.8867409805486,-0.32266760069942513,-0.6453352013988704,3.930576159558501,5.007077361965372,319.2472565696952
21,9.96267686368104,19.925353727362076,49.22099417321471,-0.15368619464599517,-0.30737238929199345,-3.109713963119631,79.88107803861426,-0.3282838873205254,-0.656567774641057,3.939342897039749,5.007431155926409,320.0956900275104
22,9.958834708814893,19.917669417629778,49.14325132413673,-0.1618932918290083,-0.3237865836580199,-3.2564803906936386,79.8754150980155,-0.3346544920613268,-0.6693089841226769,3.949515936331628,5.007784942416909,321.0817255419241
23,9.954787376519166,19.90957475303833,49.06183931436935,-0.17025965413054148,-0.3405193082610868,-3.4029924922853487,79.86975215881759,-0.34193761054654653,-0.683875221093078,3.9614620038404573,5.008138721392898,322.24043033538027
24,9.950530885165902,19.901061770331804,48.97676450206223,-0.17880809439420514,-0.3576161887884137,-3.5492059421893383,79.86408922108564,-0.3503368161369993,-0.7006736322740411,3.9756823695992742,5.008492492817529,323.6193978067825
25,9.946060682806046,19.892121365612095,48.88803435350755,-0.18756651479763015,-0.37513302959526484,-3.695063882949358,79.85842628488473,-0.3601173020367618,-0.7202346040735718,3.9928781441969936,5.008846256665445,325.28463537917617
26,9.941371519936107,19.88274303987221,48.7956577564338,-0.1965694473485492,-0.39313889469710417,-3.840491929344434,79.85276335027996,-0.37162858736592325,-0.7432571747319027,4.0140558395016015,5.009200012930764,327.32994118260194
27,9.936457283752395,19.87291456750479,48.69964545820017,-0.2058601620326973,-0.4117203240654018,-3.985390533356895,79.8471004173367,-0.38533569673402696,-0.7706713934680859,4.040703734378653,5.009553761642506,329.89228060183854
28,9.931310779701572,19.86262155940316,48.600010694866285,-0.21549355445104804,-0.430987108902104,-4.12962293999743,79.84143748611996,-0.401859503705198,-0.8037190074104062,4.07509709974941,5.009907502898212,333.1777702427868
29,9.925923440840302,19.851846881680604,48.49677012136634,-0.22554004204367803,-0.4510800840873642,-4.272995512503695,79.8357745566949,-0.4220196904356539,-0.8440393808713677,4.120845624407791,5.0102612369446655,337.5068275922834
30,9.920284939789205,19.840569879578425,48.389945233553746,-0.2360905343045694,-0.47218106860914855,-4.415224371893502,79.8301116291262,-0.44684523480086685,-0.8936904696018035,4.183906216307397,5.010614964409649,343.3940716992328
31,9.914382676431599,19.828765352863186,48.279564624256395,-0.24726166517459114,-0.49452333034919377,-4.555876716485819,79.8244487034778,-0.4774143678506697,-0.9548287357014114,4.274479895809952,5.010968687163455,351.6880841803585
32,9.908201134802235,19.816402269604467,48.165667706344266,-0.25919702437085795,-0.5183940487417291,-4.694264719090571,79.81878577981178,-0.514033691503005,-1.0280673830060805,4.410387782105515,5.011322413477606,363.7904676724953
33,9.901721209192962,19.803442418385917,48.04831108836701,-0.2720478666584331,-0.5440957333168813,-4.829255024537935,79.81312285818049,-0.5532173263771137,-1.1064346527543283,4.62146333277627,5.0116763237562045,381.83861206681746
34,9.894920012526498,19.78984002505299,47.92757971275355,-0.28587829981786106,-0.5717565996357397,-4.958968441218529,79.80745993843279,-1.2199647636855675,-2.439929527371192,10.18075151468461,10.911692437440008,841.1618122626854
