group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_1,cgl,0.033749,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_2,cgl,0.033271,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_3,cgl,0.033493,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_4,cgl,0.034116,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_5,cgl,0.035839,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_6,cgl,0.033294,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_7,cgl,0.034996,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_8,cgl,0.035829,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_9,cgl,0.034525,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,cgl_offset_descent_extreme_short_10,cgl,0.033517,7.580000,0.010000,0.500000,0.010000,5,,
cgl_offset_descent_extreme_short,set_1_avg,cgl,,7.580000,0.010000,0.500000,0.010000,5,0.034263,0.000315
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_1,zoh,0.030740,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_2,zoh,0.031971,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_3,zoh,0.031610,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_4,zoh,0.030372,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_5,zoh,0.032276,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_6,zoh,0.032236,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_7,zoh,0.032753,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_8,zoh,0.030640,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_9,zoh,0.032408,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,zoh_offset_descent_extreme_short_10,zoh,0.032944,7.300000,0.010000,0.500000,0.010000,5,,
zoh_offset_descent_extreme_short,set_1_avg,zoh,,7.300000,0.010000,0.500000,0.010000,5,0.031795,0.000290
