t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50,0.000000000000012000873137246943,0.00000000000002401140593984998,-0.000000000000009690682827065547,79.99999999999663,-0.44368285654894785,-0.8873657130985095,4.169090832552633,5.000000009097917,342.84075142655837
1,10.000000000000004,20.000000000000007,50,-0.0044368285654654985,-0.008873657130937117,-0.05640909167449301,79.99773476985611,-0.4446586474775026,-0.8893172949554734,4.1717873610098914,5.0001415855144975,343.0813294852477
2,9.999955631714352,19.999911263428704,49.99943590908326,-0.00888341504022857,-0.01776683008046793,-0.11279121806440372,79.99546953971844,-0.44564052289648853,-0.8912810457935153,4.17451397501191,5.000283160925003,343.3245288251516
3,9.999866797563952,19.999733595127903,49.99830799690261,-0.013339820269181518,-0.026679640538379203,-0.1691460783142942,79.99320430958784,-0.44662850580118163,-0.8932570116028365,4.177271129257967,5.000424735325634,343.5703859873627
4,9.999733399361263,19.999466798722526,49.99661653611947,-0.01780610532718142,-0.03561221065438373,-0.22547336702172405,79.99093907946829,-0.44762261800329206,-0.8952452360072444,4.180059285629159,5.000566308712604,343.81893801089427
5,9.999555338307992,19.999110676615985,49.99436180244926,-0.02228233150720245,-0.04456466301443239,-0.28177277416544194,79.98867384936398,-0.4486228802069471,-0.8972457604144123,4.18287891365404,5.000707881082124,344.07022247125695
6,9.999332514992924,19.998665029985844,49.991544074707605,-0.026768560309260055,-0.05353712061855276,-0.338043985028911,79.98640861927892,-0.4496293119710382,-0.8992586239428428,4.185730490687305,5.000849452430398,344.32427749203265
7,9.999064829389832,19.998129658779664,49.98816363485731,-0.03126485342895859,-0.06252970685795749,-0.3942866801220474,79.98414338921728,-0.45064193165837363,-0.901283863317403,4.188614502053384,5.00099102275362,344.5811417530583
8,9.998752180855545,19.997504361711087,49.98422076805608,-0.035771272745530505,-0.07154254549110786,-0.4505005351015229,79.98187815918308,-0.4516607563782119,-0.9033215127571448,4.191531441183154,5.001132592047989,344.8408544978589
9,9.998394468128092,19.996788936256184,49.97971576270507,-0.040287880309300826,-0.08057576061865569,-0.5066852206897007,79.97961292918042,-0.4526858019269107,-0.9053716038546064,4.1944818097530785,5.001274160309753,345.10345554108
