run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_descent_long_1,coarse,16,1,141,5.744130,5.883937,Solved,7.500000
cgl_offset_descent_long_1,fine,1,1,16,1.917658,1.933576,Solved,7.500000
cgl_offset_descent_long_1,total,17,2,157,7.661788,7.829474,Solved,7.500000
cgl_offset_descent_long_2,coarse,16,1,141,5.681704,5.822163,Solved,7.500000
cgl_offset_descent_long_2,fine,1,1,16,1.882872,1.900437,Solved,7.500000
cgl_offset_descent_long_2,total,17,2,157,7.564576,7.734502,Solved,7.500000
cgl_offset_descent_long_3,coarse,16,1,141,5.662612,5.796771,Solved,7.500000
cgl_offset_descent_long_3,fine,1,1,16,1.899414,1.917009,Solved,7.500000
cgl_offset_descent_long_3,total,17,2,157,7.562025,7.725318,Solved,7.500000
cgl_offset_descent_long_4,coarse,16,1,141,5.685527,5.817220,Solved,7.500000
cgl_offset_descent_long_4,fine,1,1,16,1.893834,1.908273,Solved,7.500000
cgl_offset_descent_long_4,total,17,2,157,7.579361,7.735504,Solved,7.500000
cgl_offset_descent_long_5,coarse,16,1,141,5.711302,5.848164,Solved,7.500000
cgl_offset_descent_long_5,fine,1,1,16,1.887112,1.903489,Solved,7.500000
cgl_offset_descent_long_5,total,17,2,157,7.598414,7.763667,Solved,7.500000
cgl_offset_descent_long_6,coarse,16,1,141,5.645784,5.786174,Solved,7.500000
cgl_offset_descent_long_6,fine,1,1,16,1.921458,1.938782,Solved,7.500000
cgl_offset_descent_long_6,total,17,2,157,7.567242,7.736647,Solved,7.500000
cgl_offset_descent_long_7,coarse,16,1,141,5.685425,5.820322,Solved,7.500000
cgl_offset_descent_long_7,fine,1,1,16,1.911377,1.927530,Solved,7.500000
cgl_offset_descent_long_7,total,17,2,157,7.596802,7.760623,Solved,7.500000
cgl_offset_descent_long_8,coarse,16,1,141,5.696610,5.838301,Solved,7.500000
cgl_offset_descent_long_8,fine,1,1,16,1.888085,1.905359,Solved,7.500000
cgl_offset_descent_long_8,total,17,2,157,7.584695,7.757696,Solved,7.500000
cgl_offset_descent_long_9,coarse,16,1,141,5.653383,5.787906,Solved,7.500000
cgl_offset_descent_long_9,fine,1,1,16,1.899280,1.915657,Solved,7.500000
cgl_offset_descent_long_9,total,17,2,157,7.552663,7.714809,Solved,7.500000
cgl_offset_descent_long_10,coarse,16,1,141,5.656419,5.792084,Solved,7.500000
cgl_offset_descent_long_10,fine,1,1,16,1.910594,1.928900,Solved,7.500000
cgl_offset_descent_long_10,total,17,2,157,7.567013,7.731497,Solved,7.500000
cgl_offset_descent_long_1,coarse,16,1,141,5.713938,5.860427,Solved,7.500000
cgl_offset_descent_long_1,fine,1,1,17,2.169869,2.186607,Solved,7.500000
cgl_offset_descent_long_1,total,17,2,158,7.883807,8.057380,Solved,7.500000
cgl_offset_descent_long_2,coarse,16,1,141,5.708537,5.841080,Solved,7.500000
cgl_offset_descent_long_2,fine,1,1,17,2.171651,2.187586,Solved,7.500000
cgl_offset_descent_long_2,total,17,2,158,7.880188,8.041104,Solved,7.500000
cgl_offset_descent_long_3,coarse,16,1,141,5.710233,5.847196,Solved,7.500000
cgl_offset_descent_long_3,fine,1,1,17,2.198676,2.216042,Solved,7.500000
cgl_offset_descent_long_3,total,17,2,158,7.908909,8.074869,Solved,7.500000
cgl_offset_descent_long_4,coarse,16,1,141,5.694613,5.829146,Solved,7.500000
cgl_offset_descent_long_4,fine,1,1,17,2.180061,2.197835,Solved,7.500000
cgl_offset_descent_long_4,total,17,2,158,7.874675,8.039375,Solved,7.500000
cgl_offset_descent_long_5,coarse,16,1,141,5.686283,5.829452,Solved,7.500000
cgl_offset_descent_long_5,fine,1,1,17,2.214699,2.234378,Solved,7.500000
cgl_offset_descent_long_5,total,17,2,158,7.900982,8.076001,Solved,7.500000
cgl_offset_descent_long_6,coarse,16,1,141,5.931850,6.066145,Solved,7.500000
cgl_offset_descent_long_6,fine,1,1,17,2.241981,2.265465,Solved,7.500000
cgl_offset_descent_long_6,total,17,2,158,8.173831,8.342439,Solved,7.500000
cgl_offset_descent_long_7,coarse,16,1,141,5.944196,6.077371,Solved,7.500000
cgl_offset_descent_long_7,fine,1,1,17,2.234372,2.252665,Solved,7.500000
cgl_offset_descent_long_7,total,17,2,158,8.178568,8.341392,Solved,7.500000
cgl_offset_descent_long_8,coarse,16,1,141,5.825638,5.963990,Solved,7.500000
cgl_offset_descent_long_8,fine,1,1,17,2.181560,2.197588,Solved,7.500000
cgl_offset_descent_long_8,total,17,2,158,8.007198,8.172101,Solved,7.500000
cgl_offset_descent_long_9,coarse,16,1,141,5.806835,5.951780,Solved,7.500000
cgl_offset_descent_long_9,fine,1,1,17,2.236414,2.253489,Solved,7.500000
cgl_offset_descent_long_9,total,17,2,158,8.043249,8.215501,Solved,7.500000
cgl_offset_descent_long_10,coarse,16,1,141,5.869215,6.013404,Solved,7.500000
cgl_offset_descent_long_10,fine,1,1,17,2.252907,2.271922,Solved,7.500000
cgl_offset_descent_long_10,total,17,2,158,8.122122,8.295566,Solved,7.500000
cgl_offset_descent_long_1,coarse,16,1,141,5.680746,5.818095,Solved,7.500000
cgl_offset_descent_long_1,fine,1,1,17,2.316161,2.334524,Solved,7.500000
cgl_offset_descent_long_1,total,17,2,158,7.996906,8.164802,Solved,7.500000
cgl_offset_descent_long_2,coarse,16,1,141,5.708485,5.846445,Solved,7.500000
cgl_offset_descent_long_2,fine,1,1,17,2.289411,2.306332,Solved,7.500000
cgl_offset_descent_long_2,total,17,2,158,7.997896,8.164241,Solved,7.500000
cgl_offset_descent_long_3,coarse,16,1,141,5.674373,5.814533,Solved,7.500000
cgl_offset_descent_long_3,fine,1,1,17,2.349984,2.368833,Solved,7.500000
cgl_offset_descent_long_3,total,17,2,158,8.024357,8.194052,Solved,7.500000
cgl_offset_descent_long_4,coarse,16,1,141,5.721912,5.856790,Solved,7.500000
cgl_offset_descent_long_4,fine,1,1,17,2.312603,2.330818,Solved,7.500000
cgl_offset_descent_long_4,total,17,2,158,8.034515,8.199430,Solved,7.500000
cgl_offset_descent_long_5,coarse,16,1,141,5.712367,5.849459,Solved,7.500000
cgl_offset_descent_long_5,fine,1,1,17,2.340306,2.360193,Solved,7.500000
cgl_offset_descent_long_5,total,17,2,158,8.052673,8.220679,Solved,7.500000
cgl_offset_descent_long_6,coarse,16,1,141,5.566686,5.706498,Solved,7.500000
cgl_offset_descent_long_6,fine,1,1,17,2.307655,2.330060,Solved,7.500000
cgl_offset_descent_long_6,total,17,2,158,7.874340,8.047492,Solved,7.500000
cgl_offset_descent_long_7,coarse,16,1,141,5.705991,5.851805,Solved,7.500000
cgl_offset_descent_long_7,fine,1,1,17,2.328064,2.344235,Solved,7.500000
cgl_offset_descent_long_7,total,17,2,158,8.034056,8.209119,Solved,7.500000
cgl_offset_descent_long_8,coarse,16,1,141,5.735219,5.868002,Solved,7.500000
cgl_offset_descent_long_8,fine,1,1,17,2.328697,2.346384,Solved,7.500000
cgl_offset_descent_long_8,total,17,2,158,8.063917,8.224539,Solved,7.500000
cgl_offset_descent_long_9,coarse,16,1,141,5.705638,5.841798,Solved,7.500000
cgl_offset_descent_long_9,fine,1,1,17,2.323284,2.343383,Solved,7.500000
cgl_offset_descent_long_9,total,17,2,158,8.028922,8.194290,Solved,7.500000
cgl_offset_descent_long_10,coarse,16,1,141,5.541950,5.685392,Solved,7.500000
cgl_offset_descent_long_10,fine,1,1,17,2.311223,2.330481,Solved,7.500000
cgl_offset_descent_long_10,total,17,2,158,7.853173,8.024926,Solved,7.500000
cgl_offset_descent_long_1,coarse,16,1,141,5.698833,5.839651,Solved,7.500000
cgl_offset_descent_long_1,fine,1,1,17,2.986494,3.008964,Solved,7.500000
cgl_offset_descent_long_1,total,17,2,158,8.685327,8.860934,Solved,7.500000
cgl_offset_descent_long_2,coarse,16,1,141,5.723331,5.865579,Solved,7.500000
cgl_offset_descent_long_2,fine,1,1,17,2.991299,3.009981,Solved,7.500000
cgl_offset_descent_long_2,total,17,2,158,8.714630,8.887119,Solved,7.500000
