t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.00000000000013,20.000000000000252,50.000000000000064,0.0000000000005248413908461538,0.0000000000010483111392057485,0.000000000002084421748759944,80.00000000072245,-0.32029246333722355,-0.6405849180968745,3.9221584277475374,5.0000016588571965,318.96094338462893
1,9.99917488208681,19.998349763847536,49.984594356388804,-0.02295827713475757,-0.04591655437895661,-0.4259661301182356,79.98362273616725,-0.31925425236948374,-0.638508507074893,3.921177638263414,5.000841881176817,318.7851660725644
2,9.996679373638361,19.993358747014753,49.938409765036205,-0.04615965979862503,-0.09231931994021318,-0.8514845529831575,79.96724327128224,-0.32499701317971424,-0.6499940224314593,3.9301282040406273,5.001427190578675,319.6092038492733
3,9.992490294726512,19.984980589028083,49.86148263550662,-0.0697259853797071,-0.13945197096534317,-1.2764841568322471,79.95086832038061,-0.3260428252764489,-0.6520856535443837,3.9333335659690225,5.003595790347503,319.82978167812405
4,9.986593610006663,19.973187219460467,49.753840905951265,-0.0934605808201615,-0.18692116207452594,-1.7010397883272328,79.93448570515436,-0.3315272862278613,-0.6630545721259669,3.942619656915333,5.004779874504439,320.673819654345
5,9.978964927347691,19.957929854222236,49.61552575598496,-0.11761941313924575,-0.23523882644223254,-2.1250482543718054,79.91811253014161,-0.3358277989731022,-0.6716555953141414,3.9476450070013747,5.002668769884907,321.1455695028347
6,9.969581626625153,19.9391632525643,49.446568363125266,-0.1419762075158582,-0.283952415241255,-2.5486361518623393,79.90173615200612,-0.3384346904540888,-0.6768693838977233,3.95608363399616,5.008279832120945,321.82935434158986
7,9.958427333310636,19.91685466579114,49.24701189233255,-0.1666556181918256,-0.3333112367901543,-2.9714700165426304,79.88534918917584,-0.34462367317941334,-0.6892473464927117,3.966536732520482,5.00887049519533,322.7925776570423
8,9.945472110796498,19.890944220875188,49.016907142361994,-0.19178291939872058,-0.38356583903626246,-3.393745542160216,79.86897575383831,-0.34996054810025184,-0.699921093256104,3.9718188668438987,5.004262348222663,323.32345481156256
9,9.930688454041263,19.861376907434284,48.756286314445,-0.2172121085723706,-0.43442421724685976,-3.815576007313019,79.85260911711839,-0.3535241678490634,-0.7070483361559017,3.9807332332845564,5.0080626470513865,324.07897602604976
10,9.914055761791664,19.828111522834245,48.46519751394032,-0.24295867489867867,-0.48591735005661546,-4.236482990973793,79.8362232371623,-0.3592098392632866,-0.7184196809365128,3.996263002007142,5.01556477914826,325.42714093024193
11,9.895544513936988,19.791089027030797,48.143716619716166,-0.2692000860403976,-0.5384001724388668,-4.656348304130123,79.81983038334761,-0.36669731225095725,-0.733394623964614,4.0077967730022905,5.013206893303522,326.5281809194937
12,9.875117124617143,19.750234248419382,47.79190296186742,-0.29594682187575283,-0.5918936439502089,-5.075638112220742,79.80346106682717,-0.37283929133786087,-0.7456785801644359,4.013440815621947,5.005723762371794,327.1236526914852
13,9.85274129331682,19.7054825858846,47.409791874255156,-0.32308645301783656,-0.6461729060817644,-5.494375902275205,79.78710588915399,-0.3780008254570527,-0.7560016505192793,4.025210707234134,5.00843929076649,328.1641275027479
14,9.828388612899424,19.656777225049623,46.997447323153025,-0.3506557572485732,-0.7013115146164085,-5.911833587425374,79.77072626410721,-0.38512515639472494,-0.7702503147239241,4.048111450998239,5.020691620331771,330.14686928679754
15,9.802021674151774,19.6040433475056,46.5549834747358,-0.3788347380258485,-0.7576694763166176,-6.327557577667467,79.75431766338107,-0.39458102180635124,-0.7891620445554213,4.070523099987672,5.025296824965991,332.18060321580566
16,9.773592317081475,19.547184633343136,46.082512359305376,-0.4077033870565462,-0.8154067743555271,-6.74204901460428,79.73792393977388,-0.40372751378961697,-0.807455026002318,4.081780042446542,5.01431596287178,333.3379782629445
17,9.74305337317977,19.486106745562587,45.58009653567675,-0.43717044461729404,-0.8743408893091803,-7.155943869385221,79.72157676999862,-0.4112193691992771,-0.8224387364053111,4.089897797409167,5.00262082392274,334.19196396205507
18,9.710364675179875,19.4207293495822,45.04778697960486,-0.4671765540924912,-0.9343531081642403,-7.568800752804754,79.70524393062168,-0.41918309452082353,-0.8383661890620971,4.11302707688953,5.009522723112959,336.2348882213493
19,9.675483333288899,19.350966665779683,44.485706564823815,-0.4978630840476267,-0.9957261681542906,-7.979246190004068,79.68886166084533,-0.4302857979606737,-0.8605715975382779,4.155189307382443,5.032021922573383,339.88329480060065
20,9.638351570487336,19.27670314013905,43.89406721335586,-0.5294604981010235,-1.0589209963869874,-8.386465495065424,79.67241802356833,-0.4439601444458437,-0.8879202897013158,4.198124332842957,5.044325687542512,343.69900806580574
21,9.598899454569125,19.19779890829823,43.27308392521545,-0.5620407745719365,-1.1240815493236658,-8.79121152184368,79.65598454394964,-0.456906667618348,-0.9138133339985718,4.22176877650434,5.026977455307332,345.9963858146804
22,9.557060150783862,19.11412030077122,42.62288251958355,-0.5954651156086352,-1.1909302312512937,-9.194887720788202,79.63964554744182,-0.4673632179702036,-0.9347264339444523,4.231363901434373,4.993762887771212,347.10994420122285
23,9.512777824249929,19.025555647756374,41.9435279546612,-0.6296213317759877,-1.2592426634520073,-9.597441406367416,79.62339084619357,-0.4778910050013991,-0.9557820093344703,4.259157634380701,4.984157271776493,349.6393814186997
24,9.465995367875443,18.9319907350189,41.235178855642516,-0.6646801846473491,-1.3293603691974354,-9.99637722806295,79.60709234283999,-0.49293066109912226,-0.9858613232498548,4.333725248382445,5.023306431666636,355.97882853315815
25,9.416633777712002,18.833267554649595,40.4982204857946,-0.7010312022037476,-1.4020624044063312,-10.38840058065775,79.590616452221,-0.5132039542273978,-1.0264079095197904,4.444453786050916,5.086289909760299,365.337930574871
26,9.364589682038373,18.729179363243492,39.73320778044514,-0.7388793537765691,-1.4777587075852523,-10.77262705878949,79.57398979477472,-0.5329559152758452,-1.0659118297571464,4.538872224174469,5.105585475408737,373.41803036081456
27,9.309763584363312,18.61952716787014,38.94061046842431,-0.7778828687001665,-1.5557657373079297,-11.152287604165938,79.55745639011954,-0.5440643259063248,-1.0881286491673594,4.565746310060078,5.02721948738931,375.9127220200609
28,9.25209828578166,18.50419657074121,38.12057360814515,-0.8172923378412145,-1.6345846753758753,-11.532359113681629,79.54131768913034,-0.5449148084425024,-1.0898296143079587,4.537515371397089,4.879352451425012,373.7062945288136
29,9.1915842648268,18.383168528901052,37.272998140205175,-0.8566989274516448,-1.7133978544543131,-11.913429857893986,79.5256020117815,-0.5470693596095599,-1.0941387186129308,4.564063551347441,4.800540093661207,375.77088640722013
30,9.128200047837643,18.256400094984755,36.398102598049284,-0.8969801031792279,-1.7939602059309392,-12.28528652151804,79.50975518487563,-0.573377424476374,-1.1467548503106224,4.823945412511622,4.9971354674738855,396.8664554604287
31,9.061797704683077,18.123595408704134,35.497318516756195,-0.9407606416473677,-1.8815212829846313,-12.624777939878975,79.49257122041693,-0.6469763593226975,-1.2939527200402536,5.479735946971732,5.645044407121867,450.52303827967125
32,8.991988215794162,17.983976430929637,34.57409749730604,-0.9919182819339325,-1.983836563609712,-12.900523747284751,79.47246404428162,-0.7772777840392039,-1.5545555675142122,6.582901562711185,6.789000096113339,541.0866635535234
33,8.918096010748103,17.83619202084508,33.63415787302545,-1.0542344868090485,-2.108468973248869,-13.083154173827218,79.44798920220003,-0.9516949244086784,-1.9033898461820349,8.024173168957784,8.297671808176327,659.5425973472145
