t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,-0.000000000000000013840935396900056,-0.000000000000000027661514299600367,-0.000000000000000092529203448681,79.9999999999999,-1.4346321763005763,-2.869264352601122,12.08095884964755,12.499616591414638,999.9693247559517
1,10,20,50,-0.01793290220375723,-0.03586580440751408,0.028386985620594194,79.99292158591048,-1.4347610338795445,-2.869522067759036,12.082043967171765,12.500739311695746,999.9706569904133
2,9.999775838722453,19.999551677444906,50.00035483732025,-0.03586741512725155,-0.07173483025450207,0.05678753521024119,79.98584316241902,-1.434867076878637,-2.8697341537571965,12.082936957717923,12.501663247574088,999.9560732625962
3,9.999327496033363,19.998654992066726,50.00106468151038,-0.053803253588234526,-0.10760650717646705,0.08519924718171512,79.97876484218351,-1.4349946568282488,-2.869989313656661,12.084011309789298,12.50277482995636,999.9564854799734
4,9.99865495536351,19.99730991072702,50.00212967210015,-0.07174068679858764,-0.14348137359717533,0.11362438855408127,79.9716865190581,-1.4350928273512487,-2.870185654702529,12.084838006745038,12.503630174907434,999.9363901843175
5,9.997758196778527,19.995516393557054,50.00354997695708,-0.08967934714047827,-0.179358694280957,0.14205986363839418,79.96460833820124,-1.4351300432495067,-2.8702600864989845,12.0851514083251,12.503954436567122,999.8738166905702
6,9.99663720493927,19.99327440987854,50.00532572525256,-0.10761847268109712,-0.21523694536219432,0.17049925624245785,79.9575306002872,-1.434997733049168,-2.869995466098292,12.084037240109225,12.502801656938926,999.6931435699005
7,9.995291974030756,19.990583948061513,50.00745696595559,-0.12555594434421175,-0.251111888688423,0.19892472174382309,79.95045414126267,-0.8276299166913266,-1.6552598333826496,6.969426577947547,7.210947487779315,576.518523936015
8,9.993722524726454,19.98744504945291,50.00994352497739,-0.13590131830285335,-0.27180263660570614,0.16341755396816735,79.9463731028365,-0.5743476293844828,-1.1486952587689672,4.83655050353196,5.0041579794078235,400.0642783889663
9,9.992023758247669,19.984047516495338,50.01198624440199,-0.14308066367015937,-0.2861613273403183,0.10124943526231675,79.94354112020113,-0.5743599114099388,-1.1487198228198685,4.83665393882889,5.004264998559801,400.05866219146355
10,9.990235249951793,19.980470499903582,50.01325186234277,-0.15026016256278363,-0.30052032512556665,0.03908260949767778,79.94070917732299,-0.5743603274186959,-1.1487206548373667,4.836657451213963,5.004268632039973,400.044780861708
11,9.988356997919757,19.976713995839514,50.01374039496149,-0.15743966665551734,-0.31487933331103374,-0.023084172362147774,79.93787733270806,-0.5743676829247599,-1.1487353658494908,4.836719400874148,5.00433272790463,400.0357332366588
