run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_descent_med_1,coarse,16,1,139,0.677257,0.752474,Solved,7.500000
cgl_offset_descent_med_1,fine,1,1,18,0.854709,0.865610,Solved,7.500000
cgl_offset_descent_med_1,total,17,2,157,1.531966,1.625351,Solved,7.500000
cgl_offset_descent_med_2,coarse,16,1,139,0.667062,0.733788,Solved,7.500000
cgl_offset_descent_med_2,fine,1,1,18,0.860892,0.873163,Solved,7.500000
cgl_offset_descent_med_2,total,17,2,157,1.527954,1.613658,Solved,7.500000
cgl_offset_descent_med_3,coarse,16,1,139,0.673157,0.742891,Solved,7.500000
cgl_offset_descent_med_3,fine,1,1,18,0.865290,0.877126,Solved,7.500000
cgl_offset_descent_med_3,total,17,2,157,1.538447,1.626703,Solved,7.500000
cgl_offset_descent_med_4,coarse,16,1,139,0.674089,0.752898,Solved,7.500000
cgl_offset_descent_med_4,fine,1,1,18,0.857648,0.867788,Solved,7.500000
cgl_offset_descent_med_4,total,17,2,157,1.531737,1.627350,Solved,7.500000
cgl_offset_descent_med_5,coarse,16,1,139,0.675706,0.748362,Solved,7.500000
cgl_offset_descent_med_5,fine,1,1,18,0.865361,0.875424,Solved,7.500000
cgl_offset_descent_med_5,total,17,2,157,1.541066,1.630085,Solved,7.500000
cgl_offset_descent_med_6,coarse,16,1,139,0.664323,0.742741,Solved,7.500000
cgl_offset_descent_med_6,fine,1,1,18,0.863517,0.874826,Solved,7.500000
cgl_offset_descent_med_6,total,17,2,157,1.527840,1.623754,Solved,7.500000
cgl_offset_descent_med_7,coarse,16,1,139,0.671940,0.743194,Solved,7.500000
cgl_offset_descent_med_7,fine,1,1,18,0.866623,0.877606,Solved,7.500000
cgl_offset_descent_med_7,total,17,2,157,1.538563,1.626660,Solved,7.500000
cgl_offset_descent_med_8,coarse,16,1,139,0.677887,0.747434,Solved,7.500000
cgl_offset_descent_med_8,fine,1,1,18,0.864844,0.875356,Solved,7.500000
cgl_offset_descent_med_8,total,17,2,157,1.542731,1.628839,Solved,7.500000
cgl_offset_descent_med_9,coarse,16,1,139,0.682605,0.762784,Solved,7.500000
cgl_offset_descent_med_9,fine,1,1,18,0.861102,0.871829,Solved,7.500000
cgl_offset_descent_med_9,total,17,2,157,1.543707,1.641896,Solved,7.500000
cgl_offset_descent_med_10,coarse,16,1,139,0.669467,0.742245,Solved,7.500000
cgl_offset_descent_med_10,fine,1,1,18,0.859727,0.872683,Solved,7.500000
cgl_offset_descent_med_10,total,17,2,157,1.529194,1.620466,Solved,7.500000
cgl_offset_descent_med_1,coarse,16,1,139,0.675824,0.736926,Solved,7.500000
cgl_offset_descent_med_1,fine,1,1,21,1.525041,1.538544,Solved,7.500000
cgl_offset_descent_med_1,total,17,2,160,2.200865,2.280946,Solved,7.500000
cgl_offset_descent_med_2,coarse,16,1,139,0.675986,0.751300,Solved,7.500000
cgl_offset_descent_med_2,fine,1,1,21,1.498584,1.514132,Solved,7.500000
cgl_offset_descent_med_2,total,17,2,160,2.174570,2.271602,Solved,7.500000
cgl_offset_descent_med_3,coarse,16,1,139,0.679653,0.750858,Solved,7.500000
cgl_offset_descent_med_3,fine,1,1,21,1.533822,1.547805,Solved,7.500000
cgl_offset_descent_med_3,total,17,2,160,2.213475,2.305330,Solved,7.500000
cgl_offset_descent_med_4,coarse,16,1,139,0.677381,0.752049,Solved,7.500000
cgl_offset_descent_med_4,fine,1,1,21,1.559249,1.571763,Solved,7.500000
cgl_offset_descent_med_4,total,17,2,160,2.236630,2.330671,Solved,7.500000
cgl_offset_descent_med_5,coarse,16,1,139,0.685305,0.749958,Solved,7.500000
cgl_offset_descent_med_5,fine,1,1,21,1.549526,1.564837,Solved,7.500000
cgl_offset_descent_med_5,total,17,2,160,2.234831,2.321588,Solved,7.500000
cgl_offset_descent_med_6,coarse,16,1,139,0.684842,0.747324,Solved,7.500000
cgl_offset_descent_med_6,fine,1,1,21,1.544535,1.558007,Solved,7.500000
cgl_offset_descent_med_6,total,17,2,160,2.229377,2.310516,Solved,7.500000
cgl_offset_descent_med_7,coarse,16,1,139,0.688725,0.758997,Solved,7.500000
cgl_offset_descent_med_7,fine,1,1,21,1.555693,1.570388,Solved,7.500000
cgl_offset_descent_med_7,total,17,2,160,2.244418,2.335409,Solved,7.500000
cgl_offset_descent_med_8,coarse,16,1,139,0.694435,0.762416,Solved,7.500000
cgl_offset_descent_med_8,fine,1,1,21,1.562004,1.575764,Solved,7.500000
cgl_offset_descent_med_8,total,17,2,160,2.256439,2.343308,Solved,7.500000
cgl_offset_descent_med_9,coarse,16,1,139,0.687954,0.758030,Solved,7.500000
cgl_offset_descent_med_9,fine,1,1,21,1.542307,1.557175,Solved,7.500000
cgl_offset_descent_med_9,total,17,2,160,2.230261,2.323099,Solved,7.500000
cgl_offset_descent_med_10,coarse,16,1,139,0.684863,0.754483,Solved,7.500000
cgl_offset_descent_med_10,fine,1,1,21,1.518576,1.533740,Solved,7.500000
cgl_offset_descent_med_10,total,17,2,160,2.203439,2.294033,Solved,7.500000
cgl_offset_descent_med_1,coarse,16,1,139,0.670321,0.735638,Solved,7.500000
cgl_offset_descent_med_1,fine,1,1,19,1.203489,1.215057,Solved,7.500000
