group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s
cgl_offset_descent_med,cgl_offset_descent_med_1,1.205696,
cgl_offset_descent_med,cgl_offset_descent_med_2,1.248978,
cgl_offset_descent_med,cgl_offset_descent_med_3,1.235542,
cgl_offset_descent_med,cgl_offset_descent_med_4,1.250558,
cgl_offset_descent_med,cgl_offset_descent_med_5,1.247258,
cgl_offset_descent_med,cgl_offset_descent_med_6,1.243304,
cgl_offset_descent_med,cgl_offset_descent_med_7,1.225195,
cgl_offset_descent_med,cgl_offset_descent_med_8,1.227417,
cgl_offset_descent_med,cgl_offset_descent_med_9,1.214502,
cgl_offset_descent_med,cgl_offset_descent_med_10,1.184951,
cgl_offset_descent_med,set_1_avg,,1.228340
zoh_offset_descent_med,zoh_offset_descent_med_1,1.062157,
zoh_offset_descent_med,zoh_offset_descent_med_2,1.036673,
zoh_offset_descent_med,zoh_offset_descent_med_3,1.032653,
zoh_offset_descent_med,zoh_offset_descent_med_4,1.032307,
zoh_offset_descent_med,zoh_offset_descent_med_5,1.068257,
zoh_offset_descent_med,zoh_offset_descent_med_6,1.045462,
zoh_offset_descent_med,zoh_offset_descent_med_7,1.092196,
zoh_offset_descent_med,zoh_offset_descent_med_8,1.094530,
zoh_offset_descent_med,zoh_offset_descent_med_9,1.065499,
zoh_offset_descent_med,zoh_offset_descent_med_10,1.048746,
zoh_offset_descent_med,set_1_avg,,1.057848
