group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_med,cgl_offset_descent_med_1,1.017656,,
cgl_offset_descent_med,cgl_offset_descent_med_2,0.978344,,
cgl_offset_descent_med,cgl_offset_descent_med_3,0.982135,,
cgl_offset_descent_med,cgl_offset_descent_med_4,0.953362,,
cgl_offset_descent_med,cgl_offset_descent_med_5,0.984087,,
cgl_offset_descent_med,cgl_offset_descent_med_6,1.000908,,
cgl_offset_descent_med,cgl_offset_descent_med_7,0.993350,,
cgl_offset_descent_med,cgl_offset_descent_med_8,0.969925,,
cgl_offset_descent_med,cgl_offset_descent_med_9,0.976312,,
cgl_offset_descent_med,cgl_offset_descent_med_10,0.994610,,
cgl_offset_descent_med,set_1_avg,,0.985069,0.005616
zoh_offset_descent_med,zoh_offset_descent_med_1,1.039934,,
zoh_offset_descent_med,zoh_offset_descent_med_2,1.031194,,
zoh_offset_descent_med,zoh_offset_descent_med_3,1.026516,,
zoh_offset_descent_med,zoh_offset_descent_med_4,1.048348,,
zoh_offset_descent_med,zoh_offset_descent_med_5,1.034870,,
zoh_offset_descent_med,zoh_offset_descent_med_6,1.014697,,
zoh_offset_descent_med,zoh_offset_descent_med_7,1.024771,,
zoh_offset_descent_med,zoh_offset_descent_med_8,1.024000,,
zoh_offset_descent_med,zoh_offset_descent_med_9,1.036571,,
zoh_offset_descent_med,zoh_offset_descent_med_10,1.091902,,
zoh_offset_descent_med,set_1_avg,,1.037280,0.006762
