run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
zoh_offset_descent_med_1,coarse,16,1,137,0.225289,0.281434,Solved,7.500000
zoh_offset_descent_med_1,fine,1,1,20,1.028555,1.042619,Solved,7.500000
zoh_offset_descent_med_1,total,17,2,157,1.253844,1.330754,Solved,7.500000
zoh_offset_descent_med_2,coarse,16,1,137,0.227643,0.291451,Solved,7.500000
zoh_offset_descent_med_2,fine,1,1,20,1.059652,1.073057,Solved,7.500000
zoh_offset_descent_med_2,total,17,2,157,1.287296,1.371714,Solved,7.500000
zoh_offset_descent_med_3,coarse,16,1,137,0.229452,0.291505,Solved,7.500000
zoh_offset_descent_med_3,fine,1,1,20,1.024408,1.039028,Solved,7.500000
zoh_offset_descent_med_3,total,17,2,157,1.253860,1.337659,Solved,7.500000
zoh_offset_descent_med_4,coarse,16,1,137,0.229638,0.300330,Solved,7.500000
zoh_offset_descent_med_4,fine,1,1,20,1.029693,1.043846,Solved,7.500000
zoh_offset_descent_med_4,total,17,2,157,1.259331,1.351362,Solved,7.500000
zoh_offset_descent_med_5,coarse,16,1,137,0.226229,0.288101,Solved,7.500000
zoh_offset_descent_med_5,fine,1,1,20,1.029589,1.042953,Solved,7.500000
zoh_offset_descent_med_5,total,17,2,157,1.255818,1.337722,Solved,7.500000
zoh_offset_descent_med_6,coarse,16,1,137,0.236057,0.306129,Solved,7.500000
zoh_offset_descent_med_6,fine,1,1,20,1.025308,1.039093,Solved,7.500000
zoh_offset_descent_med_6,total,17,2,157,1.261365,1.352311,Solved,7.500000
zoh_offset_descent_med_7,coarse,16,1,137,0.230056,0.293917,Solved,7.500000
zoh_offset_descent_med_7,fine,1,1,20,1.028484,1.043229,Solved,7.500000
zoh_offset_descent_med_7,total,17,2,157,1.258540,1.343658,Solved,7.500000
zoh_offset_descent_med_8,coarse,16,1,137,0.227386,0.289398,Solved,7.500000
zoh_offset_descent_med_8,fine,1,1,20,1.027173,1.041528,Solved,7.500000
zoh_offset_descent_med_8,total,17,2,157,1.254559,1.336828,Solved,7.500000
