t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,-0.0000000000000000007496696685438499,-0.0000000000000000014980997267178328,-0.000000000000000005742646984782984,80.00000000000004,-1.434675433398543,-2.869350866796738,12.081322203773523,12.499992567736845,999.9994053994257
1,10,20,50,-0.035866885834963586,-0.07173377166991847,0.05678305509433808,79.98584337235327,-1.4349297182589846,-2.869859436516,12.083463522539045,12.50220809251857,999.9996582762775
2,9.999103327854126,19.998206655708252,50.001419576377366,-0.0717401287914382,-0.14348025758281846,0.1136196431578142,79.97168674134879,-1.4351830786797481,-2.8703661573539265,12.08559705670066,12.504415562873922,999.9992042602108
3,9.99730982463434,19.99461964926868,50.004260067456315,-0.10761970575843191,-0.21523941151666665,0.1705095695753307,79.95753011699271,-1.1214637911507346,-2.2429275823016996,9.443784348909892,9.771052553739942,781.2692288202477
4,9.99461933199038,19.989238663980768,50.008522806695694,-0.13565630053720026,-0.2713126010742091,0.161354178298078,79.94646975919574,-0.5742560884090807,-1.14851217681844,4.835778655751175,5.003359419870379,400.0009225421765
5,9.99122792447695,19.982455848953908,50.01255666115315,-0.1500127027474273,-0.30002540549467016,0.036998644691857326,79.94080679120026,-0.5742961811490404,-1.1485923622984509,4.836116274668636,5.00370873874317,400.00051351014986
6,9.987477606908264,19.974955213816543,50.013481627270444,-0.1643701072761533,-0.3287402145521314,-0.0873484484414268,79.93514382900959,-0.574336604930719,-1.1486732098631898,4.836456681286906,5.004060941971469,400.0003311082158
7,9.98336835422636,19.96673670845274,50.011297916059405,-0.17872852239942127,-0.35745704479871115,-0.21168703140925413,79.92948086941526,-0.5743771360152271,-1.1487542720298898,4.836797991522443,5.0044140800968355,400.0002194586305
8,9.978900141166374,19.957800282332773,50.006005740274176,-0.19308795079980196,-0.3861759015994584,-0.3360170816211931,79.92381791141578,-0.5744177175238507,-1.1488354350482928,4.837139726386925,5.0047676575625815,400.00013893148605
9,9.97407294239638,19.948145884792787,49.99760531323364,-0.20744839373789825,-0.4148967874756657,-0.46033858846152004,79.91815495457044,-0.5744583306060098,-1.1489166612119683,4.837481727100877,5.0051215100784985,400.00007638812974
10,9.968886732552932,19.937773465105895,49.9860968485221,-0.22180985200304848,-0.44361970400596495,-0.5846515452839981,79.9124919986247,-0.574498963344389,-1.1489979266887664,4.837823893332961,5.00547553383759,400.00002352695583
11,9.963341486252855,19.926682972505745,49.971480559890004,-0.2361723260866582,-0.4723446521731841,-0.7089559479506741,79.90682904344163,-0.5745396075683475,-1.1490792151356226,4.838166156281637,5.005829657674126,399.99997465608885
12,9.957437178100689,19.914874356201413,49.95375666119124,-0.25053581627586685,-0.5010716325515747,-0.8332517940436333,79.90116608896466,-0.5745802579569015,-1.1491605159145915,4.838508471151912,5.0061838352321235,399.99992607034505
13,9.951173782693791,19.902347565387625,49.93292536634015,-0.26490032272478947,-0.5298006454494395,-0.9575390822648354,79.89550313518978,-0.5746209116430568,-1.1492418232860062,4.838850813787503,5.006538041511463,399.999875771901
14,9.944551274625672,19.88910254925139,49.908986889283526,-0.27926584551586586,-0.5585316910315896,-1.081817811920148,79.88984018214119,-0.5746615672994144,-1.1493231345982684,4.83919317302033,5.006892264963971,399.9998228372602
