run_name,pass,attempts,successes,iterations,clarabel_solve_time_s,wall_time_s,last_status,time_of_flight_s
cgl_offset_descent_short_1,coarse,16,1,139,0.667462,0.729245,Solved,7.500000
cgl_offset_descent_short_1,fine,1,1,17,0.462814,0.472473,Solved,7.500000
cgl_offset_descent_short_1,total,17,2,156,1.130276,1.207556,Solved,7.500000
cgl_offset_descent_short_2,coarse,16,1,139,0.679445,0.759119,Solved,7.500000
cgl_offset_descent_short_2,fine,1,1,17,0.449106,0.456983,Solved,7.500000
cgl_offset_descent_short_2,total,17,2,156,1.128551,1.221110,Solved,7.500000
cgl_offset_descent_short_3,coarse,16,1,139,0.670038,0.733152,Solved,7.500000
cgl_offset_descent_short_3,fine,1,1,17,0.444240,0.452611,Solved,7.500000
cgl_offset_descent_short_3,total,17,2,156,1.114278,1.191690,Solved,7.500000
cgl_offset_descent_short_4,coarse,16,1,139,0.671153,0.737167,Solved,7.500000
cgl_offset_descent_short_4,fine,1,1,17,0.461665,0.469290,Solved,7.500000
cgl_offset_descent_short_4,total,17,2,156,1.132818,1.211417,Solved,7.500000
cgl_offset_descent_short_5,coarse,16,1,139,0.670786,0.732370,Solved,7.500000
cgl_offset_descent_short_5,fine,1,1,17,0.444735,0.453328,Solved,7.500000
cgl_offset_descent_short_5,total,17,2,156,1.115520,1.190909,Solved,7.500000
cgl_offset_descent_short_6,coarse,16,1,139,0.697027,0.770771,Solved,7.500000
cgl_offset_descent_short_6,fine,1,1,17,0.449963,0.457680,Solved,7.500000
cgl_offset_descent_short_6,total,17,2,156,1.146990,1.235432,Solved,7.500000
cgl_offset_descent_short_7,coarse,16,1,139,0.667604,0.733443,Solved,7.500000
cgl_offset_descent_short_7,fine,1,1,17,0.453561,0.462348,Solved,7.500000
cgl_offset_descent_short_7,total,17,2,156,1.121165,1.200487,Solved,7.500000
cgl_offset_descent_short_8,coarse,16,1,139,0.667726,0.727145,Solved,7.500000
cgl_offset_descent_short_8,fine,1,1,17,0.448665,0.455882,Solved,7.500000
cgl_offset_descent_short_8,total,17,2,156,1.116391,1.187356,Solved,7.500000
cgl_offset_descent_short_9,coarse,16,1,139,0.669232,0.745060,Solved,7.500000
cgl_offset_descent_short_9,fine,1,1,17,0.457763,0.465348,Solved,7.500000
cgl_offset_descent_short_9,total,17,2,156,1.126995,1.215528,Solved,7.500000
cgl_offset_descent_short_10,coarse,16,1,139,0.662912,0.724589,Solved,7.500000
cgl_offset_descent_short_10,fine,1,1,17,0.445125,0.452885,Solved,7.500000
cgl_offset_descent_short_10,total,17,2,156,1.108037,1.182077,Solved,7.500000
cgl_offset_descent_short_1,coarse,16,1,139,0.662296,0.729640,Solved,7.500000
cgl_offset_descent_short_1,fine,1,1,16,0.463997,0.472917,Solved,7.500000
cgl_offset_descent_short_1,total,17,2,155,1.126293,1.208193,Solved,7.500000
cgl_offset_descent_short_2,coarse,16,1,139,0.662376,0.729465,Solved,7.500000
cgl_offset_descent_short_2,fine,1,1,16,0.477330,0.485450,Solved,7.500000
cgl_offset_descent_short_2,total,17,2,155,1.139707,1.220743,Solved,7.500000
cgl_offset_descent_short_3,coarse,16,1,139,0.684879,0.760982,Solved,7.500000
cgl_offset_descent_short_3,fine,1,1,16,0.469530,0.477283,Solved,7.500000
cgl_offset_descent_short_3,total,17,2,155,1.154409,1.243942,Solved,7.500000
cgl_offset_descent_short_4,coarse,16,1,139,0.656268,0.720674,Solved,7.500000
cgl_offset_descent_short_4,fine,1,1,16,0.478590,0.485880,Solved,7.500000
cgl_offset_descent_short_4,total,17,2,155,1.134858,1.211344,Solved,7.500000
cgl_offset_descent_short_5,coarse,16,1,139,0.654537,0.717429,Solved,7.500000
cgl_offset_descent_short_5,fine,1,1,16,0.468151,0.476041,Solved,7.500000
cgl_offset_descent_short_5,total,17,2,155,1.122688,1.199851,Solved,7.500000
cgl_offset_descent_short_6,coarse,16,1,139,0.680061,0.757254,Solved,7.500000
cgl_offset_descent_short_6,fine,1,1,16,0.472039,0.480866,Solved,7.500000
cgl_offset_descent_short_6,total,17,2,155,1.152100,1.243482,Solved,7.500000
cgl_offset_descent_short_7,coarse,16,1,139,0.667958,0.736848,Solved,7.500000
cgl_offset_descent_short_7,fine,1,1,16,0.468213,0.477352,Solved,7.500000
cgl_offset_descent_short_7,total,17,2,155,1.136171,1.220415,Solved,7.500000
cgl_offset_descent_short_8,coarse,16,1,139,0.663030,0.722581,Solved,7.500000
cgl_offset_descent_short_8,fine,1,1,16,0.466888,0.475806,Solved,7.500000
cgl_offset_descent_short_8,total,17,2,155,1.129918,1.203298,Solved,7.500000
cgl_offset_descent_short_9,coarse,16,1,139,0.661138,0.725951,Solved,7.500000
cgl_offset_descent_short_9,fine,1,1,16,0.475154,0.483354,Solved,7.500000
cgl_offset_descent_short_9,total,17,2,155,1.136292,1.214425,Solved,7.500000
cgl_offset_descent_short_10,coarse,16,1,139,0.685845,0.758743,Solved,7.500000
cgl_offset_descent_short_10,fine,1,1,16,0.480425,0.488827,Solved,7.500000
cgl_offset_descent_short_10,total,17,2,155,1.166269,1.253154,Solved,7.500000
