t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000592,20.000000000001183,50.00000000000033,0.0000000000024005832227001322,0.000000000004801215140094029,0.000000000008256812504161726,80.00000000308465,-0.37436198396479714,-0.7487239696177508,4.634111898513474,5.916293799998122,376.7288898281945
1,9.999174078243927,19.99834815650948,49.98477141596601,-0.022422035602248556,-0.04484407112051031,-0.42676517199534186,79.98362411317065,-0.31315811343732414,-0.6263162268232879,3.904833478250601,4.990056644360615,317.30487096897593
2,9.99671432099923,19.9934286419969,49.93867309366414,-0.045700943415409416,-0.09140188684412212,-0.8477919258530053,79.96695755287935,-0.3209708518305484,-0.6419417035865308,3.9687328302096834,5.065884445065224,322.5152927326531
3,9.992582788175671,19.985165576342638,49.86197231931106,-0.06847442469111986,-0.13694884936058438,-1.2754378836982374,79.95067893221314,-0.3121470226638151,-0.6242940447622163,3.8508121938839968,4.914364572259211,312.8915900421755
4,9.986809577153668,19.973619154316964,49.75421877208216,-0.09136472673338109,-0.1827294534018521,-1.7043495864322922,79.93449754988714,-0.32307275450665107,-0.6461455088617704,3.9245911763938035,4.997527830402325,318.98067242609807
5,9.979348270697594,19.95869654140592,49.61569473823413,-0.11516091321304738,-0.23032182641647844,-2.1267005753590875,79.91797912733732,-0.333457597530676,-0.6669151951663018,3.995417174451393,5.0771791526497525,324.8184464347132
6,9.970148974457116,19.940297948910004,49.44672657539873,-0.13930976696325692,-0.278619533978937,-2.547798470223852,79.90141757129653,-0.333228986222796,-0.6664579722648468,3.9628335521964764,5.030377179291401,322.1846458011761
7,9.959208618587297,19.918417237159428,49.247184812762434,-0.1632992293834305,-0.32659845881105076,-2.9726953100732287,79.88509261335044,-0.33099508450136206,-0.6619901684935827,3.9090158737618386,4.957340148777209,317.82014612621373
8,9.946535039463798,19.893070078912118,49.01682474204869,-0.1873340668442998,-0.37466813367939633,-3.399583213015485,79.86890648004194,-0.3351372147730712,-0.6702744290717535,3.9138211590818797,4.954765735376869,318.2711368884131
9,9.932107039825482,19.864214079638476,48.75566651863957,-0.21189964032487646,-0.42379928060186367,-3.8240364968794305,79.85261955317345,-0.3448949848621859,-0.6897899695500921,3.9687018625681447,5.0116230866911025,322.8392843499636
10,9.915876309458266,19.83175261890316,48.46397111182608,-0.237199432338181,-0.4743988646235143,-4.244391417528775,79.83614529421611,-0.35446914756725195,-0.7089382951808599,4.017962929255622,5.06027794188125,326.96062606788774
11,9.897794566555921,19.795589133094936,48.141979862852764,-0.2630528610618142,-0.5261057220692954,-4.66260594318444,79.81959480047938,-0.35994311083870895,-0.7198862216578503,4.025715397047403,5.05781939857694,327.69010571228927
12,9.877832838077914,19.75566567614022,47.789737616582826,-0.28916312833639274,-0.5783262565804481,-5.081610540525093,79.8031301994272,-0.3620276684323906,-0.7240553365665449,4.000684249671576,5.01540443622183,325.7375173164138
13,9.85597861190992,19.711957223816977,47.407129152462005,-0.3154058728888387,-0.630811745599017,-5.502594660131239,79.78681724285897,-0.36424724863707436,-0.7284944967206202,3.976942898510615,4.974229295880762,323.8937478902208
14,9.83221891991515,19.66443783985264,46.99404261370617,-0.34191181435200063,-0.6838236284144736,-5.92436227094199,79.77059261940505,-0.3696332204077802,-0.7392664402209678,3.9816689777333085,4.966399710523181,324.39112826055845
15,9.806525371873166,19.61305074380161,46.5505036332772,-0.36894658494358634,-0.7378931695014059,-6.3446094368244115,79.75433572671483,-0.37874570709356686,-0.7574914137826133,4.017262839088723,4.9937338585561095,327.43639860311725
16,9.778851104770737,19.557702209630595,46.07668986249054,-0.3967282952812413,-0.793456590122394,-6.761687747307628,79.73796514355284,-0.38990672317220787,-0.7798134462162828,4.065362865258919,5.033180371264435,331.53461359533316
17,9.749138812013593,19.49827762414613,45.5728426714896,-0.4253203756855872,-0.8506407509187033,-7.175529601283553,79.7214877194235,-0.4008267783296111,-0.8016535566995446,4.103706778768948,5.057524834133755,334.8655504366357
18,9.717331986048144,19.434663972240372,45.03915775925756,-0.4546495789579252,-0.909299157469062,-7.587323430145331,79.70497892420056,-0.41021762267050543,-0.8204352453244662,4.121666663631364,5.054136566450313,336.55448422119304
19,9.683381384437334,19.366762769042463,44.47573171326962,-0.48460783300784477,-0.9692156655616598,-7.998421585025034,79.68852190788877,-0.4184014347172665,-0.836802869163535,4.1250829862479526,5.030539131245195,337.0702817248794
20,9.647243593728426,19.294487187651942,43.88258952689492,-0.5151550067755969,-1.0303100130577751,-8.409331910232641,79.67215223166257,-0.426772320934577,-0.8535446413033411,4.129685237519849,5.006124907436817,337.69127231607655
21,9.608874254202798,19.217748508635736,43.25976143906695,-0.5463566257349202,-1.0927132509084212,-8.819426585270469,79.6558427985105,-0.4366632727472847,-0.8733265448009602,4.149168137238997,4.997457645066403,339.5336283859715
22,9.568221512337189,19.136443024948683,42.60735038732242,-0.5783422953238333,-1.1566845900148326,-9.227459528905882,79.63953371897884,-0.44841139024805005,-0.896822780001713,4.185993559937674,5.00691888171001,342.80084001036073
23,9.525224331701486,19.05044866372844,41.92554444600611,-0.6112222857199272,-1.222444570767959,-9.6324705453265,79.62318397073714,-0.4611952177111622,-0.9223904354960558,4.2304291181689155,5.021313808450773,346.7042098981371
24,9.479816468598159,18.95963293757518,41.21456947817638,-0.6450248761837507,-1.2900497517202334,-10.03442750914687,79.6068094867928,-0.4737462006061205,-0.9474924021285974,4.268428821601393,5.021164928503514,350.10403197840617
25,9.43193255457358,18.863865109575496,40.4746214152568,-0.6797069945689397,-1.3594139885935401,-10.434088483676375,79.59047934348703,-0.4855757966254473,-0.9711515950886498,4.294390928855666,4.9959910497239886,352.5482066718784
26,9.381510142536516,18.763020285541085,39.705842059236154,-0.7152541194327542,-1.4305082384951255,-10.831952473862382,79.57426240758674,-0.49811075692311235,-0.9962215164553508,4.322531763724776,4.958167333126715,355.1977279395586
27,9.32848203601546,18.656964072524463,38.90839534681516,-0.7518411288670047,-1.5036822575823305,-11.226615062727063,79.5581406368074,-0.5151658124416434,-1.030331627925006,4.391221702025287,4.9486902246087805,361.1782490454406
28,9.272756563155383,18.54551312681331,38.082665520811176,-0.7899932671736918,-1.5799865344226394,-11.613159307448221,79.54192193530783,-0.5424550097626719,-1.0849100225649015,4.557529305890303,5.031571437116375,375.1340785367837
29,9.21418831475775,18.428376630010426,37.22954917011234,-0.8306782541455926,-1.6613565085656854,-11.982273950718522,79.52518887122302,-0.5862197883006207,-1.1724395792190194,4.88304607850052,5.278037915532978,402.0736233836089
30,9.152546335260872,18.3050926709942,36.35076896574471,-0.8752789036275069,-1.7505578076748214,-12.320588222562344,79.50730916640599,-0.6513845169473576,-1.3027690357810668,5.415325222076903,5.7454816098309145,445.8599212835667
31,9.087489148493567,18.17497829742548,35.449114701826275,-0.9254328059271077,-1.8508656123536664,-12.612329157729736,79.48751413636113,-0.7398250163602018,-1.4796500337303156,6.170873375666978,6.457938904340443,507.8274542909784
32,9.01855542288717,18.03711084617086,34.5285251658837,-0.9827681236734481,-1.965536247863127,-12.841981991116853,79.46502940074028,-0.8493060731425577,-1.6986121464447888,7.1251871284295865,7.394354439749545,585.9698444383755
33,8.945175676508828,17.89035135336892,33.59396021616494,-1.0485980929301622,-2.0971961863439965,-12.997307819423376,79.43922544559635,-0.9734353078276501,-1.946870615127887,8.213137927275183,8.48838392325162,674.969421326234
34,8.866705246367712,17.73341049304207,32.651065160003775,-1.1236510730694282,-2.2473021465592766,-13.071943757921316,79.40974899731694,-1.1026718527323942,-2.205343704492206,9.339898936116484,9.63997033614336,767.0880566969174
35,8.782473368731383,17.564946737728917,31.705683296439176,-1.207904336652588,-2.4158086736500404,-13.066909584640145,79.3766011493849,-1.2261206235176583,-2.45224124587576,10.39958418729331,10.735539294082262,853.6886482528906
36,8.691839205620955,17.38367841147421,30.763311892296755,-1.3005617745333105,-2.601123549338077,-12.990631727988891,79.34014266675317,-1.3336278542278115,-2.667255707332701,11.2967112091216,11.67138405498696,926.9852525138455
37,8.594244107037653,17.18848821428174,29.828611364811334,-1.4001772928937526,-2.800354585996747,-12.857479573198082,79.30102617356746,-1.417627009571599,-2.835254018215353,11.965014359433505,12.374201797651002,981.5721375580384
38,8.489250662952678,16.978501326094033,28.905064012310877,-1.50488824838083,-3.009776496923944,-12.685179285214915,79.26007331953795,-1.4742749792953078,-2.9485499579417587,12.379073739158155,12.813824483144863,1015.3611381961838
39,8.376562715027676,16.75312543023339,27.99484200139194,-1.6126971208820324,-3.225394241895155,-12.491728082572495,79.21812756960156,-1.503630724947202,-3.0072614495409047,12.556307243470863,13.005514638589563,1029.7301660678988
40,8.25602538519076,16.512050770554257,27.098895083553096,-1.72173127192833,-3.4434625439708544,-12.292516790979711,79.17591707598773,-1.508896008590578,-3.0177920170878885,12.549451282562806,13.002031770055526,1028.8987750991146
