group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_short,cgl_offset_descent_short_1,0.463997,,
cgl_offset_descent_short,cgl_offset_descent_short_2,0.477330,,
cgl_offset_descent_short,cgl_offset_descent_short_3,0.469530,,
cgl_offset_descent_short,cgl_offset_descent_short_4,0.478590,,
cgl_offset_descent_short,cgl_offset_descent_short_5,0.468151,,
cgl_offset_descent_short,cgl_offset_descent_short_6,0.472039,,
cgl_offset_descent_short,cgl_offset_descent_short_7,0.468213,,
cgl_offset_descent_short,cgl_offset_descent_short_8,0.466888,,
cgl_offset_descent_short,cgl_offset_descent_short_9,0.475154,,
cgl_offset_descent_short,cgl_offset_descent_short_10,0.480425,,
cgl_offset_descent_short,set_1_avg,,0.472032,0.001758
zoh_offset_descent_short,zoh_offset_descent_short_1,0.481862,,
zoh_offset_descent_short,zoh_offset_descent_short_2,0.493550,,
zoh_offset_descent_short,zoh_offset_descent_short_3,0.478816,,
zoh_offset_descent_short,zoh_offset_descent_short_4,0.469643,,
zoh_offset_descent_short,zoh_offset_descent_short_5,0.483291,,
zoh_offset_descent_short,zoh_offset_descent_short_6,0.479193,,
zoh_offset_descent_short,zoh_offset_descent_short_7,0.486790,,
zoh_offset_descent_short,zoh_offset_descent_short_8,0.475990,,
zoh_offset_descent_short,zoh_offset_descent_short_9,0.473598,,
zoh_offset_descent_short,zoh_offset_descent_short_10,0.480857,,
zoh_offset_descent_short,set_1_avg,,0.480359,0.002134
