t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,-0.0000000000000000011656978134019445,-0.000000000000000002452874053121576,-0.0000000000000000033294368893778883,80.00000000000004,-1.4346727324659965,-2.8693454649314036,12.081299507048262,12.499969082309127,999.9975264782483
1,10,20,50,-0.07173363662329983,-0.14346727324657024,0.11356497535241317,79.97168930301477,-1.2670174832141716,-2.5340349664280333,10.669483960440859,11.03922798593028,882.8257105295021
2,9.996413318168836,19.99282663633767,50.005678248767616,-0.13508451078400843,-0.2701690215679719,0.15653917337445614,79.9466953131442,-0.5742566640449169,-1.1485133280896607,4.835783554582993,5.003364486132679,400.0024560070477
3,9.989659092629633,19.97931818525927,50.013505207436346,-0.16379734398625426,-0.32759468797245495,-0.09217164889639419,79.93536973486663,-0.5743362139464603,-1.1486724278928024,4.836453442178862,5.004057588089933,400.0011933722646
4,9.981469225430322,19.96293845086065,50.00889662499152,-0.19251415468357727,-0.38502830936709503,-0.3408489767874511,79.92404419245014,-0.5744169725863318,-1.1488339451725667,4.837133508675826,5.004761221681028,400.0007569480043
5,9.971843517696142,19.943687035392294,49.99185417615214,-0.2212350033128939,-0.4424700066257234,-0.5894923013536599,79.91271866250334,-0.5744980232587682,-1.1489960465174314,4.837816034557466,5.005467399870791,400.0005079939828
6,9.960781767530499,19.921563535061008,49.96237956108446,-0.24995990447583227,-0.49991980895159505,-0.8381014996257865,79.90139313971866,-0.5745791867009974,-1.1491583734017934,4.838499510291851,5.006174560813009,400.00032160354135
7,9.948283772306707,19.896567544613426,49.92047448610318,-0.27868886381088215,-0.5573777276216847,-1.086676524111194,79.89006762232474,-0.5746604037206686,-1.149320807441258,4.839183437449561,5.006882188806618,400.00015653481813
8,9.934349329116163,19.868698658232343,49.86614065989762,-0.3074218839969156,-0.6148437679937476,-1.3352173522387158,79.87874210971805,-0.5747416500633565,-1.149483300126679,4.839867611820101,5.007590072560176,399.99999589137735
9,9.918978234916317,19.837956469832655,49.799379792285684,-0.3361589665000834,-0.6723179330000815,-1.583723971647711,79.86741660177334,-0.5748229135764481,-1.149645827152667,4.840551931107851,5.0082981062304635,399.999831210471
10,9.902170286591312,19.804340573182653,49.72019359370329,-0.36490011217890583,-0.7298002243577149,-1.8321963750923183,79.85609109860471,-0.5749041874200269,-1.1498083748398618,4.841236337764101,5.009006230272217,399.9996577324509
11,9.883925280982366,19.767850561964767,49.62858377494868,-0.39364532154990717,-0.787290643099708,-2.0806345582041135,79.8447656004616,-0.5749854674472796,-1.1499709348944867,4.841920796927999,5.009714408611659,399.999472575266
12,9.864243014904872,19.72848602980978,49.524552047038476,-0.42239459492227116,-0.8447891898444323,-2.3290385183577134,79.83344010767456,-0.5750667509898095,-1.1501335019794567,4.842605286201051,5.0104226180680635,399.99927388822573
13,9.843123285158757,19.68624657031756,49.40810012112059,-0.45114793247176166,-0.9022958649434052,-2.577408254047661,79.82211462062676,-0.5751480362429605,-1.1502960724857543,4.843289790476061,5.011130843007248,399.999060424044
