t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000018,20.000000000000036,50.00000000000001,0.00000000000007711724677021956,0.00000000000015423381327168698,0.00000000000033482816431554976,80.00000000010058,-0.297062969149704,-0.5941259382996997,3.8893918874350817,5.000000019618006,315.656535288955
1,9.99915222672992,19.99830445345684,49.98464828146662,-0.02392517341636554,-0.04785034683270787,-0.41538135278534866,79.98298148838461,-0.3545470465800952,-0.7090940931540356,4.31857511363696,5.274219709467206,351.1845791143175
2,9.99642445208584,19.992848904167463,49.93995677566574,-0.05124975556335221,-0.10249951112616207,-0.8059134153920126,79.96523304262041,-0.39089089470530575,-0.7817817894011596,4.576424345712438,5.446671741112958,372.56966821311585
3,9.991621233464853,19.98324246692549,49.867315157350596,-0.08057791391419511,-0.16115582782708998,-1.1827940478747887,79.9470634503774,-0.410072150163188,-0.8201443003158947,4.69807760399827,5.534170063020798,382.68454707810565
4,9.984638748071092,19.969277496138705,49.76738542212694,-0.11079095670927976,-0.22158191341644576,-1.5548136156554697,79.9287273133838,-0.4157074393320795,-0.831414878654203,4.714414199021139,5.552519986705284,384.072003277076
5,9.975445515962752,19.950891031923152,49.640266594215554,-0.14102129531128382,-0.28204259061970827,-1.9286532749986613,79.91042856301992,-0.4110612685018086,-0.8221225369951739,4.652396852435422,5.516441782912617,378.9612812627172
6,9.96406499896488,19.928129997928686,49.48563855460278,-0.17062710422106225,-0.3412542084386635,-2.309158953908122,79.89232419639843,-0.39905622530456947,-0.7981124506027537,4.53539555476704,5.439515423885753,369.2896164698727
7,9.950560021143193,19.90112004228655,49.30288671568018,-0.1991677696223601,-0.39833553924084086,-2.699592339913001,79.87452816173516,-0.38228435910097835,-0.7645687181978392,4.383493754181338,5.334144456742664,356.72472341413703
8,9.935018950249836,19.870037900500908,49.09120917431387,-0.2263802078134026,-0.4527604156227028,-3.101860143162769,79.85711532977685,-0.3630196120749955,-0.7260392241481033,4.2137774615340255,5.2115370936891345,342.68694038316806
9,9.917543573950933,19.83508714790395,48.84970788423974,-0.2521561256695608,-0.5043122513349826,-3.5167228608527177,79.8401254954936,-0.3432311768497537,-0.686462353699639,4.040607848005098,5.081702703261147,328.37060440384994
10,9.898238599706524,19.796477199415726,48.57746530070972,-0.2765202863636983,-0.5530405727233855,-3.943984227259042,79.82356736110879,-0.3245976604946949,-0.6491953209912186,3.8758779026565797,4.953461983048919,314.76455689568996
