group_name,run_name,method,fine_clarabel_solve_time_s,time_of_flight_s,zoh_coarse_dt_s,zoh_fine_dt_s,cgl_fine_search_delta_t_s,cgl_fine_nodes,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_1,cgl,0.115694,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_2,cgl,0.101171,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_3,cgl,0.112235,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_4,cgl,0.100481,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_5,cgl,0.124929,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_6,cgl,0.127168,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_7,cgl,0.115242,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_8,cgl,0.117387,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_9,cgl,0.108514,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,cgl_offset_descent_ultra_short_10,cgl,0.108107,7.300000,0.050000,0.200000,0.010000,10,,
cgl_offset_descent_ultra_short,set_1_avg,cgl,,7.300000,0.050000,0.200000,0.010000,10,0.113093,0.002820
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_1,zoh,0.122920,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_2,zoh,0.122377,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_3,zoh,0.121995,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_4,zoh,0.109431,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_5,zoh,0.115278,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_6,zoh,0.132703,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_7,zoh,0.109578,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_8,zoh,0.107949,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_9,zoh,0.108409,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,zoh_offset_descent_ultra_short_10,zoh,0.111288,7.300000,0.050000,0.200000,0.010000,10,,
zoh_offset_descent_ultra_short,set_1_avg,zoh,,7.300000,0.050000,0.200000,0.010000,10,0.116193,0.002651
