t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10.000000000000002,20.000000000000004,50,0.0000000000000043105629186371574,0.000000000000008621470109578525,0.00000000000000437865113236825,80.00000000000452,-0.44347131347056096,-0.8869426269416444,4.1685263556877326,5.000000000840481,342.78806053814907
1,10.000000000000002,20.000000000000004,50,-0.022173565673519472,-0.04434713134706507,-0.2820736822156048,79.98867449073204,-0.4484464119117662,-0.8968928238245149,4.182395104414984,5.000707832566002,344.0252328831436
2,9.998891321716329,19.997782643432654,49.98589631588922,-0.044595886269103574,-0.08919177253828238,-0.5634539269948515,79.97734898182865,-0.4535777926502567,-0.9071555853004832,4.197073165776906,5.001415638721563,345.3325913097621
3,9.996661527402873,19.993323054805742,49.95772361953947,-0.06727477590161224,-0.13454955180329822,-0.8441002687060023,79.96602347380603,-0.4588676634754745,-0.9177353269506361,4.212625153273422,5.002123418831827,346.7152709488856
4,9.993297788607794,19.98659557721558,49.91551860610418,-0.09021815907538185,-0.18043631815082176,-1.1239690110423275,79.9546979671769,-0.46431709965437407,-0.9286341993088948,4.229120846174059,5.002831172420162,348.17874973838155
5,9.988786880654025,19.97757376130804,49.85932015555207,-0.11343401405809647,-0.2268680281162584,-1.403012968733621,79.94337246245522,-0.4699258228762911,-0.9398516457529125,4.246635663494932,5.003538899008811,349.7288723928496
6,9.983115179951122,19.966230359902227,49.78916950711538,-0.136930305201907,-0.2738606104038959,-1.681181185558871,79.93204696015573,-0.47569203129743387,-0.9513840625955025,4.265251471405716,5.0042465981187725,351.37190191105634
7,9.976268664691027,19.952537329382036,49.705110447837434,-0.16071490676677475,-0.3214298135336632,-1.9584186119885818,79.92072146079404,-0.48161207965488995,-0.9632241593103343,4.285057158531019,5.004954269269864,353.11454610043086
8,9.96823291935269,19.936465838705352,49.607189517238005,-0.1847955107495153,-0.369591021499172,-2.2346657540620276,79.90939596488691,-0.48767998205846547,-0.97535996411751,4.306148841478693,5.0056619119807015,354.963947104846
9,9.958993143815214,19.9179862876304,49.4954562295349,-0.20917950985243472,-0.4183590197050398,-2.5098583119880904,79.89807047295213,-0.49388685113832065,-0.9877737022772697,4.32863002326273,5.006369525768637,356.9276638321856
10,9.948534168322594,19.897068336645148,49.36996331393549,-0.23387385240934688,-0.4677477048188956,-2.783926810824951,79.88674498550827,-0.5002202819590346,-1.0004405639186142,4.352611741763292,5.007077110149853,359.01365064560315
11,9.936840475702127,19.873680951404207,49.23076697339425,-0.25888486650729486,-0.5177697330148188,-3.056796223736783,79.87541950307504,-0.5066636391325786,-1.013327278265849,4.378212563372,5.007784664639226,361.2302194822678
12,9.923896232376762,19.847792464753468,49.077927162207416,-0.28421804846392,-0.5684360969281037,-3.328385595568181,79.8640940261734,-0.5131952277742178,-1.0263904555490981,4.405558311462061,5.008492188750491,363.58597632031064
13,9.909685329953568,19.81937065990706,48.911507882429,-0.30987780985262725,-0.6197556197055512,-3.5986076799950757,79.85276855532474,-0.5197873433215334,-1.0395746866436288,4.434781431023939,5.00919968199611,366.0897246434298
14,9.894191439460938,19.788382878921784,48.73157749842925,-0.3358671770187002,-0.6717343540377254,-3.867368608443876,79.84144309105159,-0.5264052061912348,-1.0528104123833637,4.466019887241996,5.009907143887329,368.7503290233276
15,9.877398080610003,19.754796161219904,48.53820906800706,-0.3621874373282584,-0.7243748746568864,-4.134567614081774,79.83011763387807,-0.5330058010225448,-1.0660116020454313,4.499415498650876,5.010614573934156,371.57653310542065
16,9.859288708743593,19.71857741748706,48.33148068730297,-0.3888377273793821,-0.7776754547591509,-4.400096839149228,79.81879218432844,-0.5395366626984821,-1.0790733253970433,4.535111652287318,5.0113219716453985,374.57673129218426
17,9.839846822374625,19.679693644749104,48.11147584534551,-0.4158145605143027,-0.8316291210289961,-4.663841256534861,79.80746674292853,-0.5459346734218785,-1.0918693468446745,4.57325042520157,5.0120293365286255,377.7587007657413
18,9.81905609434891,19.638112188697654,47.878283782518764,-0.4431112941853932,-0.8862225883712229,-4.92567873527478,79.79614131020507,-0.552124901843131,-1.1042498036869823,4.613968902776983,5.012736668090178,381.1292812914587
19,9.796900529639641,19.593801059279095,47.631999845755026,-0.4707175392775464,-0.9414350785555652,-5.18548029013593,79.78481588668595,-0.5580194321893891,-1.1160388643789563,4.657393585682918,5.013443965835158,384.69391744352765
20,9.773364652675763,19.54672930535132,47.37272583124823,-0.4986185108870125,-0.9972370217745063,-5.443110610851782,79.77349047289974,-0.5635163452273323,-1.1270326904549053,4.703632253959136,5.014151229267568,388.4560247193989
21,9.748433727131415,19.496867454262595,47.100570300705655,-0.5267943281483758,-1.053588656297245,-5.698428998153825,79.76216506937588,-0.5684992757354054,-1.1369985514711143,4.752764226575849,5.014858457890127,392.4162739053429
22,9.722094010723996,19.444188021447737,46.81564885079795,-0.5552192919351427,-1.1104385838707942,-5.951290786825031,79.75083967664548,-0.5728358899578598,-1.145671779916101,4.804802978271114,5.015565651204428,396.5697124788936
23,9.694333046127241,19.3886660922542,46.518084311456704,-0.5838610864330326,-1.1677221728665927,-6.201550637911474,79.73951429524018,-0.5757382103163505,-1.1514764206334698,4.848259505069002,5.016272808710596,399.9951555202891
24,9.66513999180559,19.33027998361087,46.20800677956113,-0.612647996948847,-1.22529599389826,-6.449637662658024,79.72818892569259,-0.5758193695085961,-1.1516387390176528,4.848942942850447,5.016979929906873,399.99472191958404
25,9.63450759195815,19.26901518391596,45.88552489642822,-0.6414389654242737,-1.2828779308491363,-6.6976905155155,79.71686356853694,-0.5759005249541006,-1.151801049908634,4.849626355935548,5.01768701429151,399.9942702900527
26,9.602435643686936,19.204871287373507,45.55064037065245,-0.6702339916719756,-1.340467983344562,-6.945709197718723,79.70553822430773,-0.5759816758154643,-1.1519633516314742,4.850309724628143,5.018394061360817,399.9937990796702
27,9.56892394410334,19.13784788820628,45.20335491076652,-0.6990330754627458,-1.3980661509261296,-7.193693711487315,79.69421289354075,-0.576062822264046,-1.1521256445285615,4.850993054920194,5.019101070610154,399.9933087620618
28,9.533972290330201,19.067944580659976,44.843670225192156,-0.7278362165759452,-1.4556724331525517,-7.441644058741305,79.68288757677296,-0.576143964265239,-1.1522879285310925,4.851676347842759,5.0198080415336594,399.9927994191296
29,9.497580479501405,18.995160959002348,44.471588022255084,-0.7566434147892042,-1.5132868295791004,-7.6895602413491675,79.67156227454225,-0.5762251017931022,-1.1524502035866857,4.85235960301723,5.020514973624309,399.99227102456825
30,9.459748308761945,18.919496617523397,44.08711001018762,-0.7854546698788564,-1.5709093397584293,-7.9374422611983055,79.66023698738758,-0.5763062347930349,-1.1526124695863311,4.853042819977562,5.021221866374059,399.9917235440674
31,9.420475575268005,18.840951150535478,43.690237897127716,-0.8142699816185053,-1.62853996323774,-8.185290120199427,79.64891171584893,-0.5763873632088583,-1.1527747264181682,4.853725998287668,5.021928719273841,399.9911569455848
32,9.37976207618708,18.75952415237359,43.28097339111775,-0.8430893497789455,-1.686178699558643,-8.433103820285044,79.63758646046719,-0.5764684869834037,-1.1529369739668578,4.854409137495608,5.022635531813533,399.99057119581164
33,9.337607608698134,18.67521521739566,42.85931820010349,-0.871912774128113,-1.7438255482569802,-8.680883363410267,79.62626122178455,-0.5765496060569116,-1.1530992121143497,4.855092237128083,5.023342303482093,399.9899662597518
34,9.294011969991729,18.588023939982815,42.42527403193298,-0.9007402544309557,-1.8014805088626924,-8.92862875155386,79.61493600034365,-0.5766307203717568,-1.1532614407438342,4.855775296705901,5.024049033767611,399.9893421020237
35,9.248974957270184,18.49794991453968,41.978842594355285,-0.929571790449541,-1.8591435808998789,-9.176339986718567,79.60361079668888,-0.5767118298697747,-1.153423659740073,4.8564583157504435,5.0247557221574874,399.98869868734687
36,9.202496367747708,18.404992735494687,41.520025595019355,-0.9584073819430271,-1.9168147638868773,-9.424017070931047,79.59228561136557,-0.5767929344949543,-1.1535858689902496,4.857141293782356,5.025462368138608,399.98803598047635
37,9.154575998650555,18.309151997300347,41.04882474147281,-0.9872470286677724,-1.9744940573363847,-9.671660006241929,79.5809604449196,-0.5768740341895469,-1.1537480683795136,4.857824230310316,5.026168971197613,399.98735394522055
38,9.105213647217168,18.21042729443353,40.56524174116071,-1.016090730377247,-2.032181460755355,-9.919268794726415,79.5696352978982,-0.5769551288948918,-1.1539102577901639,4.858507124835334,5.026875530821242,399.9866525447697
39,9.054409110698307,18.108818221395765,40.06927830142439,-1.0449384868219893,-2.089876973644859,-10.16684343848465,79.55831017084971,-0.5770362185532524,-1.1540724371068756,4.8591899768801845,5.027582046496897,399.98593174406886
40,9.002162186357209,18.004324372713523,39.560936129500156,-1.0737902977496496,-2.1475805955001976,-10.414383939640642,79.54698506432338,-0.577117303103833,-1.154234606207742,4.859872785932026,5.028288517713428,399.9851915052062
41,8.948472671469727,17.896945342938512,39.04021693251813,-1.102646162904839,-2.2052923258105803,-10.661890300344043,79.53565997886966,-0.5771983824873446,-1.154396764975319,4.860555551519775,5.028994943962344,399.9844317936063
42,8.893340363324485,17.786680726647987,38.50712241750092,-1.1315060820292038,-2.2630121640593415,-10.909362522768056,79.52433491503945,-0.5772794566444753,-1.154558913289075,4.861238273153416,5.029701324739765,399.98365257320785
43,8.836765059223026,17.673530118445022,37.96165429136252,-1.1603700548614253,-2.3207401097237907,-11.156800609110386,79.51300987338547,-0.5773605255154718,-1.154721051030837,4.86192095034602,5.0304076595495655,399.98285380825996
44,8.778746556479957,17.557493112958834,37.403814260907,-1.1892380811371965,-2.3784761622753283,-11.404204561593088,79.50168485446096,-0.5774415890447131,-1.1548831780893103,4.862603582659384,5.031113947908822,399.9820354669456
45,8.719284652423097,17.43856930484507,36.833604032827346,-1.2181101605894302,-2.4362203211797895,-11.651574382460122,79.49035985882,-0.5775226471754267,-1.1550452943512657,4.863286169628265,5.03182018935813,399.98119751535125
46,8.658379144393628,17.316758288786083,36.25102531370434,-1.2469862929481994,-2.4939725858973483,-11.89891007397871,79.4790348870179,-0.5776036998582345,-1.1552073997168362,4.863968710865312,5.03252638348226,399.9803399258875
