group_name,run_name,fine_clarabel_solve_time_s,set_avg_fine_clarabel_solve_time_s,set_std_error_fine_clarabel_solve_time_s
cgl_offset_descent_very_short,cgl_offset_descent_very_short_1,0.200753,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_2,0.197669,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_3,0.193637,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_4,0.197446,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_5,0.203008,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_6,0.195570,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_7,0.209106,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_8,0.203772,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_9,0.205574,,
cgl_offset_descent_very_short,cgl_offset_descent_very_short_10,0.205683,,
cgl_offset_descent_very_short,set_1_avg,,0.201222,0.001589
zoh_offset_descent_very_short,zoh_offset_descent_very_short_1,0.206599,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_2,0.200244,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_3,0.206487,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_4,0.204374,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_5,0.205992,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_6,0.208829,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_7,0.209223,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_8,0.210997,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_9,0.214991,,
zoh_offset_descent_very_short,zoh_offset_descent_very_short_10,0.217574,,
zoh_offset_descent_very_short,set_1_avg,,0.208531,0.001600
