t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,9.999999999999915,19.99999999999983,49.999999999999964,-0.00000000000008761843216107958,-0.00000000000017525951373925875,-0.0000000000004215538342400392,79.9999999999989,-0.33535760906943063,-0.6707152181385084,6.3816858425740435,6.425592405459115,514.0473928228
1,9.997173261111099,19.99434652222203,49.9717591202726,-0.04356252012024096,-0.0871250402403371,-0.4302693080204117,79.96155914131906,-0.33569249367808573,-0.671384987354345,6.607045307838432,6.649733186174842,531.708263827227
2,9.988692192211811,19.977384384423292,49.88954186082204,-0.087101685467782,-0.17420337093533161,-0.83188367695874,79.92184729660923,-0.3350083920577049,-0.6700167841124038,6.8232374935722575,6.864591311403352,548.6023465556905
3,9.974568230528536,19.949136461056604,49.75699086569625,-0.13048934146626634,-0.2609786829322639,-1.2060224225271832,79.88092035512445,-0.33336837029031674,-0.6667367405767115,7.030425828980345,7.070347313719794,564.7448856633688
4,9.954828920855416,19.90965784171022,49.5775970829308,-0.17360541843263125,-0.34721083686500287,-1.5538435910214783,79.83883309340163,-0.3308339369222997,-0.6616678738399951,7.228774610837025,7.267181601241026,580.1511637823123
5,9.929516879255797,19.859033758510854,49.35470253262752,-0.21633772940906937,-0.43267545881792796,-1.8764838467108083,79.79563917062795,-0.32746504296438134,-0.6549300859236827,7.418449003486147,7.455274482016808,594.8364966028957
6,9.898688783005205,19.797377566009548,49.09150308965003,-0.2585817679948998,-0.5171635359896721,-2.1750583592272688,79.75139112445852,-0.32332008189163985,-0.6466401637779051,7.59961503884107,7.634806188421733,608.8162283844933
7,9.862414386775752,19.72482877355052,48.79105128093597,-0.30024050617844195,-0.6004810123568699,-2.4506606909553486,79.70614036725618,-0.3184558896435022,-0.6369117792814923,7.772439616384659,7.80595690154788,622.105727862004
8,9.820775565061941,19.641551130122778,48.4562590974262,-0.34122419216888794,-0.6824483843378999,-2.7043626844214064,79.65993718273592,-0.31292774462374584,-0.6258554892419778,7.937090503169305,7.968906775598218,634.7203845219619
9,9.773865380847912,19.54773076169459,48.0899008206108,-0.381450148228175,-0.7629002964566334,-2.937214349683148,79.61283072298316,-0.3067893677004975,-0.6135787353955944,8.093736333816906,8.123835962280719,646.6756052266649
10,9.721787180516108,19.443574361030866,47.694615863691936,-0.42084256850285884,-0.841685137006176,-3.1502437517191018,79.56486900582706,-0.3000929222062343,-0.6001858444072775,8.242546610518868,8.270924635203233,657.9868111681343
11,9.664653714997367,19.329307429993257,47.272911627363555,-0.4593323168559858,-0.918664633712618,-3.3444568978180933,79.51609891254613,-0.29288901393778266,-0.5857780278706628,8.383691703036124,8.410353014269068,668.6694351360151
12,9.602586287162433,19.205172574323257,46.827166370207955,-0.49685672469896547,-0.9937134493987747,-3.520837624968726,79.46656618588041,-0.28522669115631905,-0.5704533823080881,8.517342848699116,8.542301390073321,678.7389190850924
13,9.535713925454875,19.071427850908016,46.35963209370909,-0.5333593888234434,-1.0667187776479339,-3.680347487248851,79.41631542833369,-0.2771534445873699,-0.5543068891705911,8.643672152407792,8.66695014829993,688.2107119893521
14,9.464172583765468,18.92834516752906,45.8724374418829,-0.5687899692331747,-1.137579938467602,-3.8239256432150524,79.3653901007401,-0.26871520742081195,-0.5374304148379122,8.762852586631633,8.78447979411948,697.1002679702391
15,9.388104367547948,18.77620873509389,45.36759061552437,-0.6031039869758954,-1.2062079739532485,-3.952488743292115,79.31383252107797,-0.25995635531087097,-0.5199127106184918,8.875057991409609,8.895070976587705,705.4230446874134
