t,x,y,z,vx,vy,vz,mass,ux,uy,uz,sigma,thrust_force
0,10,20,50,-0.00000000000000017775857906868118,-0.00000000000000034017623547527457,-0.00000000000000013943423826172814,79.9999999999999,-0.24279996362496625,-0.4855999272499995,6.199735934692113,6.223462398759145,497.87699538962636
1,9.999999999999998,19.999999999999996,50.000000000000014,-0.25493996180621475,-0.5098799236125,-3.790777268573283,79.70449386479434,-0.2848546240909428,-0.5697092481820409,8.806890994046862,8.82989456425744,703.7822850194904
2,9.732313040103474,19.464626080206873,46.019683867998054,-0.5540373171017048,-1.108074634203643,-4.844041724824078,79.28709960416388,-0.2550322050813738,-0.5100644101629209,9.994892851460666,10.011148200871434,793.75491223885
3,9.150573857146684,18.301147714293048,40.933440056932774,-0.8218211324371472,-1.6436422648747098,-4.64990423079038,78.8165101563422,-0.18757313331636133,-0.37514626663262596,9.999659095386448,10.00845135654324,788.8312153528607
4,8.28766166808768,16.575323336174602,36.051040614602876,-1.0187729224193265,-2.037545844838967,-4.4507621806346105,78.3488394209371,-0.12044693675516478,-0.24089387351029207,9.958988922881963,9.962629963356074,780.5605026888873
5,7.217950099547387,14.435900199093687,31.37774032493654,-1.1452422060122496,-2.290484412024773,-4.294323811608552,77.88606580675832,-0.054597753229539324,-0.1091955064589441,9.885298986647063,9.886052739235003,769.9857615667149
6,6.015445783234523,12.030891566467677,26.868700322747557,-1.2025698469032657,-2.4051396938066647,-4.215259875629137,77.42955129262867,0.009499960631969704,0.01899992126411376,9.796519516393428,9.796542457748465,758.5418936576839
7,4.752747443986094,9.505494887970677,22.442677453336962,-1.1925948882396975,-2.3851897764793453,-4.229414383416036,76.97980974127071,0.0719296591470157,0.14385931829422885,9.712949012336814,9.714280528589,747.8034736293927
8,3.5005228113344127,7.001045622667365,18.001792350750122,-1.117068746135331,-2.234137492270405,-4.331317920462383,76.53642419470431,0.1334065266877073,0.26681305337550254,9.651796326647391,9.656404978438596,739.0667144827279
9,2.327600627892315,4.65520125578344,13.453908534264619,-0.9769918931132383,-1.9539837862261273,-4.497431777482623,76.09821128990428,0.19507286607027519,0.39014573214061216,9.62434316000751,9.634222682204285,733.1471199456461
10,1.3017591401234148,2.603518280246006,8.731605167907867,-0.7721653837394495,-1.544330767478485,-4.69237145947474,75.66350541061547,0.29005729317862067,0.5801145863571991,10.82802711745042,10.84743451600584,820.7549266237125
11,0.49098548719699275,0.981970974393597,3.8046151354593905,-0.46760522590189785,-0.9352104518034257,-3.6234429861518,75.17702944821383,0.44533831038275984,0.8906766207651675,13.260898082049335,13.298234748090465,999.7217897342935
12,0.000000000000000049266171787896576,0.00000000000000009879079001077699,0.00000000000000031356954390160247,-0.000000000000000010254491441779886,-0.000000000000000022028455621520573,-0.00000000000000033656612280843216,74.5849077553009,0,0,0,0,0
