run_type,ground_truth_csv,candidate_csv,rmse_x,rmse_y,rmse_z,rmse_vx,rmse_vy,rmse_vz,rmse_mass,rmse_ux,rmse_uy,rmse_uz,rmse_sigma,rmse_thrust_force,rmse_xyz,rmse_vxyz,rmse_uxyz
ultra_short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_zoh_offset_limited_descent_ultra_short_1.csv,0.5224749077,1.044949815,1.682130035,0.3192191608,0.6384383217,0.4597582352,0.5417227704,0.4904635039,0.9809270211,0.955803327,2.399684792,78.54993096,2.048038476,0.8490477007,1.454761929
very_short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_zoh_offset_limited_descent_very_short_1.csv,0.5240176227,1.048035245,1.653869997,0.3077530474,0.6155060948,0.6744174827,0.5495349071,0.5283441962,1.056688388,1.568745988,2.764524458,129.3850613,2.026883892,0.9635344477,1.96384875
short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_zoh_offset_limited_descent_short_1.csv,0.5359556793,1.071911359,1.003740833,0.3202029977,0.6404059955,0.5377061066,0.5492764495,0.5131136319,1.026227266,1.535898271,2.719717378,125.4839208,1.563246017,0.8954203794,1.917136276
med,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_zoh_offset_limited_descent_med_1.csv,0.5411376255,1.082275251,0.9035936434,0.3207495033,0.6414990066,0.5215887409,0.5447615561,0.5132429403,1.026485883,1.577754265,2.752676216,129.1406048,1.510175858,0.8868235642,1.95099977
long,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_zoh_offset_limited_descent_long_1.csv,0.543962229,1.087924458,0.8527098956,0.3212150449,0.6424300899,0.5191234812,0.5421638905,0.5115862229,1.023172448,1.572438798,2.752925187,128.7095874,1.485459087,0.8862193375,1.944522074
ultra_short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_cgl_offset_limited_descent_ultra_short_1.csv,0.4835368991,0.9670737981,0.999376729,0.3004006603,0.6008013206,0.7450100853,0.5722826434,0.5118442171,1.023688436,1.844621789,2.942017207,147.0718411,1.472342864,1.003116549,2.170841326
very_short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_cgl_offset_limited_descent_very_short_1.csv,0.5363078391,1.072615678,0.9085637268,0.3192264463,0.6384528926,0.5104034537,0.5616813811,0.5284000342,1.056800063,2.024700642,3.043264604,159.2146511,1.504532664,0.8775188349,2.34423669
short,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_cgl_offset_limited_descent_short_1.csv,0.5136187727,1.027237545,1.010933796,0.3121551593,0.6243103187,0.5418887405,0.5718079774,0.5123112058,1.024622414,1.951795197,2.987716968,153.973607,1.530035411,0.8836558293,2.263143467
med,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_cgl_offset_limited_descent_med_1.csv,0.5129598055,1.025919611,1.03838558,0.3117820451,0.6235640903,0.5464842009,0.5719960806,0.5117443285,1.023488659,1.968349306,3.002584841,155.3316486,1.547217962,0.8858245877,2.276798253
long,trajectory_zoh_truth_5_vel_limit_offset.csv,trajectory_cgl_offset_limited_descent_long_1.csv,0.5131421649,1.02628433,1.04270504,0.3118731315,0.623746263,0.5469528816,0.5720223249,0.5120627415,1.024125485,1.990995389,3.017608271,157.1855367,1.550421945,0.8862740577,2.296759434
